source,alpha
CALCE_CX2_16.pkl,0.010541125
CALCE_CX2_33.pkl,0.0
CALCE_CX2_34.pkl,0.5118545
CALCE_CX2_35.pkl,0.07818501
CALCE_CX2_36.pkl,0.0
CALCE_CX2_38.pkl,0.39941934
