epoch,train_mse,validation_mse,gradient_norm_max,learning_rate,elapsed_seconds
1,0.9373360872268677,0.8649329543113708,2.6077539920806885,0.001,0.006032558158040047
2,0.8932685852050781,0.8272585272789001,2.5396053791046143,0.001,0.013750320998951793
3,0.850886344909668,0.7903414964675903,2.508234739303589,0.001,0.021502337185665965
4,0.810397207736969,0.7537938952445984,2.4556589126586914,0.001,0.028862689156085253
5,0.7700196504592896,0.7173511385917664,2.407158613204956,0.001,0.03649996011517942
6,0.7305377125740051,0.6807882189750671,2.359933376312256,0.001,0.04385456116870046
7,0.6898574233055115,0.6439208388328552,2.3265388011932373,0.001,0.05150313302874565
8,0.6495896577835083,0.6065543293952942,2.298067331314087,0.001,0.058989491080865264
9,0.6095701456069946,0.568484902381897,2.2605326175689697,0.001,0.0665757569950074
10,0.5700387358665466,0.5295214653015137,2.2236499786376953,0.001,0.07392296311445534
11,0.5255521535873413,0.4894985258579254,2.188978910446167,0.001,0.0815406481269747
12,0.4842761754989624,0.4482462406158447,2.153184413909912,0.001,0.0889448921661824
13,0.4407535791397095,0.4056113362312317,2.111473321914673,0.001,0.09659934509545565
14,0.3971247375011444,0.36145836114883423,2.065005302429199,0.001,0.10397863201797009
15,0.3541858494281769,0.315700501203537,2.014605760574341,0.001,0.1116238790564239
16,0.30620303750038147,0.2683626115322113,1.9481136798858643,0.001,0.11899158405140042
17,0.2574278712272644,0.21965943276882172,1.863175868988037,0.001,0.12664400320500135
18,0.20974846184253693,0.17011816799640656,1.7634820938110352,0.001,0.13402028498239815
19,0.16316667199134827,0.1208488866686821,1.640033483505249,0.001,0.14166795602068305
20,0.11757518351078033,0.07399450987577438,1.4793881177902222,0.001,0.1490661681164056
21,0.0725644901394844,0.03353479504585266,1.2358933687210083,0.001,0.156686888076365
22,0.03469253331422806,0.006328103132545948,0.9115174412727356,0.001,0.16406703717075288
23,0.008462324738502502,0.002762478543445468,0.4665365517139435,0.001,0.171731639187783
24,0.0012702951207756996,0.03181977570056915,0.15109305083751678,0.001,0.1791164071764797
25,0.01963360793888569,0.07847318798303604,0.9081941246986389,0.001,0.18577041197568178
26,0.05157807841897011,0.1059962660074234,1.5691708326339722,0.001,0.1921603011433035
27,0.07194023579359055,0.10140861570835114,1.9268219470977783,0.001,0.19880353519693017
28,0.06613986194133759,0.07707364857196808,1.8032490015029907,0.001,0.2051861910149455
29,0.04890241473913193,0.04818814620375633,1.5042906999588013,0.001,0.2118380421306938
30,0.029094316065311432,0.024516034871339798,1.1060633659362793,0.001,0.21823687804862857
31,0.013649502769112587,0.009425458498299122,0.7093701362609863,0.001,0.2248834080528468
32,0.004704826511442661,0.002236477332189679,0.37376588582992554,0.001,0.23125691711902618
33,0.0012014408130198717,0.0007327582570724189,0.09354384243488312,0.001,0.23891896498389542
34,0.001696666469797492,0.0025619661901146173,0.1396808922290802,0.001,0.246283994987607
35,0.004361595492810011,0.005847510881721973,0.3049410581588745,0.001,0.25299150007776916
36,0.0077413711696863174,0.009297511540353298,0.4221152663230896,0.001,0.259353046072647
37,0.011068293824791908,0.012114749290049076,0.5089120864868164,0.001,0.26593821216374636
38,0.013696450740098953,0.013884790241718292,0.5646286606788635,0.001,0.27228524000383914
39,0.015317186713218689,0.014459744095802307,0.5973775386810303,0.001,0.2789926549885422
40,0.015868589282035828,0.013888738118112087,0.6078246235847473,0.001,0.28533906303346157
41,0.015087852254509926,0.012374961748719215,0.5872014164924622,0.001,0.2919933181256056
42,0.01367534976452589,0.010191072709858418,0.5593055486679077,0.001,0.2984346142038703
43,0.01159908901900053,0.007656474597752094,0.5179281830787659,0.001,0.30509362812153995
44,0.009311459958553314,0.005118703003972769,0.46447309851646423,0.001,0.3114611750934273
45,0.00674982275813818,0.002920929342508316,0.38997626304626465,0.001,0.3181743810418993
46,0.0045107281766831875,0.0013436967274174094,0.31226208806037903,0.001,0.3249824959784746
47,0.002621646737679839,0.0005763205699622631,0.219204381108284,0.001,0.33142259903252125
48,0.0013753867242485285,0.0006668640417046845,0.1257636994123459,0.001,0.3391508711501956
49,0.000818049069494009,0.0015075607225298882,0.043607164174318314,0.001,0.3455576221458614
50,0.0008600205765105784,0.002841291716322303,0.07481358200311661,0.001,0.3522319751791656
