iteration,source,support_loss,query_loss,path_mean_query_loss,path_dispersion,path_worst_query_loss,alpha,query_loss_step_1
1,CALCE_CX2_16.pkl,0.90522563457489,0.4284741878509521,0.4284741878509521,0.0,0.4284741878509521,0.0872612372040748,0.4284741878509521
1,CALCE_CX2_33.pkl,0.9297099113464355,0.3598175346851349,0.3598175346851349,0.0,0.3598175346851349,0.0900270864367485,0.3598175346851349
1,CALCE_CX2_34.pkl,0.929173469543457,0.3286736905574798,0.3286736905574798,0.0,0.3286736905574798,0.0,0.3286736905574798
1,CALCE_CX2_35.pkl,0.9808707237243652,0.3857834637165069,0.3857834637165069,0.0,0.3857834637165069,0.1738954335451126,0.3857834637165069
1,CALCE_CX2_36.pkl,0.923243761062622,0.3093122243881225,0.3093122243881225,0.0,0.3093122243881225,0.0,0.3093122243881225
1,CALCE_CX2_38.pkl,0.931708574295044,0.2946780920028686,0.2946780920028686,0.0,0.2946780920028686,0.6488162279129028,0.2946780920028686
2,CALCE_CX2_16.pkl,0.8644021153450012,0.3988656997680664,0.3988656997680664,0.0,0.3988656997680664,0.0867097005248069,0.3988656997680664
2,CALCE_CX2_33.pkl,0.8884600400924683,0.3320141434669494,0.3320141434669494,0.0,0.3320141434669494,0.0901352986693382,0.3320141434669494
2,CALCE_CX2_34.pkl,0.8857429027557373,0.3033706247806549,0.3033706247806549,0.0,0.3033706247806549,0.0,0.3033706247806549
2,CALCE_CX2_35.pkl,0.9376778602600098,0.3567442297935486,0.3567442297935486,0.0,0.3567442297935486,0.1729627847671508,0.3567442297935486
2,CALCE_CX2_36.pkl,0.8819486498832703,0.2842232882976532,0.2842232882976532,0.0,0.2842232882976532,0.0,0.2842232882976532
2,CALCE_CX2_38.pkl,0.8913425207138062,0.2715272605419159,0.2715272605419159,0.0,0.2715272605419159,0.6501922011375427,0.2715272605419159
3,CALCE_CX2_16.pkl,0.8228439092636108,0.3679485917091369,0.3679485917091369,0.0,0.3679485917091369,0.0860250517725944,0.3679485917091369
3,CALCE_CX2_33.pkl,0.8467625975608826,0.3050110638141632,0.3050110638141632,0.0,0.3050110638141632,0.0902662873268127,0.3050110638141632
3,CALCE_CX2_34.pkl,0.8449534773826599,0.2773620784282684,0.2773620784282684,0.0,0.2773620784282684,0.0,0.2773620784282684
3,CALCE_CX2_35.pkl,0.8957139253616333,0.3282505869865417,0.3282505869865417,0.0,0.3282505869865417,0.1718644797801971,0.3282505869865417
3,CALCE_CX2_36.pkl,0.8415417671203613,0.258511334657669,0.258511334657669,0.0,0.258511334657669,0.0,0.258511334657669
3,CALCE_CX2_38.pkl,0.8515204191207886,0.2475468814373016,0.2475468814373016,0.0,0.2475468814373016,0.6518442034721375,0.2475468814373016
4,CALCE_CX2_16.pkl,0.7814131379127502,0.3357173204421997,0.3357173204421997,0.0,0.3357173204421997,0.0850850194692611,0.3357173204421997
4,CALCE_CX2_33.pkl,0.8040215373039246,0.2764912247657776,0.2764912247657776,0.0,0.2764912247657776,0.0903944075107574,0.2764912247657776
4,CALCE_CX2_34.pkl,0.8034007549285889,0.2496529668569564,0.2496529668569564,0.0,0.2496529668569564,0.0,0.2496529668569564
4,CALCE_CX2_35.pkl,0.850942850112915,0.2992498576641083,0.2992498576641083,0.0,0.2992498576641083,0.1705752611160278,0.2992498576641083
4,CALCE_CX2_36.pkl,0.7979958057403564,0.2336960583925247,0.2336960583925247,0.0,0.2336960583925247,0.0,0.2336960583925247
4,CALCE_CX2_38.pkl,0.8083212971687317,0.2231850326061248,0.2231850326061248,0.0,0.2231850326061248,0.6539453268051147,0.2231850326061248
5,CALCE_CX2_16.pkl,0.7381336092948914,0.3041646778583526,0.3041646778583526,0.0,0.3041646778583526,0.0843962803483009,0.3041646778583526
5,CALCE_CX2_33.pkl,0.7606840133666992,0.249427929520607,0.249427929520607,0.0,0.249427929520607,0.0906927511096,0.249427929520607
5,CALCE_CX2_34.pkl,0.7599171996116638,0.2229659259319305,0.2229659259319305,0.0,0.2229659259319305,0.0,0.2229659259319305
5,CALCE_CX2_35.pkl,0.8058128356933594,0.2680038213729858,0.2680038213729858,0.0,0.2680038213729858,0.1694324016571045,0.2680038213729858
5,CALCE_CX2_36.pkl,0.7514143586158752,0.2091408222913742,0.2091408222913742,0.0,0.2091408222913742,0.0,0.2091408222913742
5,CALCE_CX2_38.pkl,0.7643824219703674,0.2000608146190643,0.2000608146190643,0.0,0.2000608146190643,0.6554785966873169,0.2000608146190643
6,CALCE_CX2_16.pkl,0.6953803300857544,0.2713613212108612,0.2713613212108612,0.0,0.2713613212108612,0.0837508738040924,0.2713613212108612
6,CALCE_CX2_33.pkl,0.7165250778198242,0.220684140920639,0.220684140920639,0.0,0.220684140920639,0.0910743400454521,0.220684140920639
6,CALCE_CX2_34.pkl,0.7150779962539673,0.19772969186306,0.19772969186306,0.0,0.19772969186306,0.0,0.19772969186306
