iteration,weighted_meta_loss,ema_source_meta_loss,weighted_path_mean_query_loss,weighted_path_dispersion,weighted_path_worst_query_loss,alpha_entropy,effective_sources,mmd_objective,rbf_sigma,qp_solver_status,learning_rate,elapsed_seconds,eta_seconds,iteration_seconds,cuda_allocated_bytes,cuda_reserved_bytes
1,0.32806041836738586,0.32806041836738586,0.32806041836738586,0.0,0.32806041836738586,1.0144473314285278,2.1416873931884766,0.0006220188862776643,0.026551626140110363,OSQP:optimal,0.001,3.283254007110372,7548.200962346746,3.282969893887639,67896320,591396864
2,0.30276012420654297,0.327554412484169,0.30276012420654297,0.0,0.30276012420654297,1.0123207569122314,2.1353423595428467,0.000618008316084051,0.026536297618000835,OSQP:optimal,0.001,6.271913876989856,7206.429044661345,2.9853410911746323,67954688,591396864
3,0.27696162462234497,0.32654255672693255,0.27696162462234497,0.0,0.27696162462234497,1.009737491607666,2.127720355987549,0.0006097650066294591,0.026547782213577932,OSQP:optimal,0.001,9.485742175020278,7262.916592007193,3.1893171861302108,67957248,591396864
4,0.2505532205104828,0.32502277000260354,0.2505532205104828,0.0,0.2505532205104828,1.0063549280166626,2.117966413497925,0.0005922208314520505,0.026632633692668096,OSQP:optimal,0.001,12.580314581049606,7221.100569522474,3.0640769090969115,67959296,591396864
5,0.22483578324317932,0.3230190302674151,0.22483578324317932,0.0,0.22483578324317932,1.0039958953857422,2.1110076904296875,0.0005846973743834916,0.02660292791920002,OSQP:optimal,0.001,15.696524320170283,7204.70466295816,3.087354116141796,67956224,591396864
6,0.19849693775177002,0.32052858841710213,0.19849693775177002,0.0,0.19849693775177002,1.0018894672393799,2.1047472953796387,0.0005794774471555852,0.026534737719211873,OSQP:optimal,0.001,18.92680066707544,7236.34678837851,3.2057547350414097,67955200,591396864
7,0.17202778160572052,0.31755857228087453,0.17202778160572052,0.0,0.17202778160572052,0.9995092153549194,2.097768783569336,0.000573515107866629,0.026462142873946236,OSQP:optimal,0.001,22.043991487007588,7220.9817828154855,3.0872528478503227,67954176,591396864
8,0.14580616354942322,0.3141235241062455,0.14580616354942322,0.0,0.14580616354942322,0.9966328144073486,2.089494466781616,0.0005665852836501672,0.02639240190049066,OSQP:optimal,0.001,25.291513081174344,7246.0184977564495,3.222607026109472,67957248,591396864
9,0.1194525808095932,0.3102301052403124,0.1194525808095932,0.0,0.1194525808095932,0.9932900667190552,2.080031633377075,0.0005600160510050856,0.026317117656086405,OSQP:optimal,0.001,28.419637731043622,7234.376671313437,3.1018547529820353,67957248,591396864
10,0.09563154727220535,0.3059381340809502,0.09563154727220535,0.0,0.09563154727220535,0.9884001016616821,2.0666329860687256,0.0005467644699903573,0.02631505732394017,OSQP:optimal,0.001,31.675549449166283,7253.700823859079,3.230067237978801,67956224,591396864
11,0.07239469140768051,0.30126726522748487,0.07239469140768051,0.0,0.07239469140768051,0.9822838306427002,2.0502636432647705,0.000530832795789693,0.026351089559989504,OSQP:optimal,0.001,34.7989659991581,7241.3484701884445,3.097042939160019,67957248,591396864
12,0.052105434238910675,0.2962840286077134,0.052105434238910675,0.0,0.052105434238910675,0.977027177810669,2.036255359649658,0.0005262143559859878,0.02627051863575073,OSQP:optimal,0.001,37.93118475098163,7232.212559187164,3.1069655888713896,67958272,593494016
13,0.0358169749379158,0.2910746875343175,0.0358169749379158,0.0,0.0358169749379158,0.9710570573806763,2.020667314529419,0.0005213933901997425,0.026203600191191674,OSQP:optimal,0.001,41.201659756014124,7248.322758615715,3.2456521899439394,67959296,593494016
