step,loss,voltage_nll,voltage_huber,endpoint_nll,endpoint_huber,kl,q_monotonic,endpoint_monotonic,temporal_smoothness,kl_coefficient,gradient_norm,prior_std,posterior_std,validation_voltage_rmse_v,validation_voltage_crps_v,best_validation_score,best_step,stale_validations,elapsed_seconds,sampling_seconds,cells,cut_cycles,future_counts
1,843.0234375,804.5473022460938,0.24603772163391113,76.84680938720703,0.0070734210312366486,0.6399999856948853,0.0016132650198414922,0.0002727088867686689,0.0055703711695969105,2.0000000000000003e-06,2165.0791015625,0.10002250969409943,0.09997594356536865,0.37853772372655536,0.3451762346231901,0.3451762346231901,1,0,1.0701663489453495,0.0287475548684597,MATR_b1c29|MATR_b1c15|MATR_b2c13|MATR_b2c44,627|290|226|211,64|64|64|64
2,844.9246215820312,818.4717407226562,0.24760688841342926,52.801307678222656,0.005412007682025433,0.6399999856948853,0.0015674915630370378,0.0002599353902041912,0.005447572562843561,4.000000000000001e-06,2059.843994140625,0.10002734512090683,0.09998209774494171,,,0.3451762346231901,1,0,1.1345655438490212,0.034409592859447,MATR_b4c4|MATR_b3c41|MATR_b1c41|MATR_b4c26,599|435|617|434,64|64|64|64
3,794.457275390625,759.388427734375,0.24050898849964142,70.03473663330078,0.0067695206962525845,0.6399999856948853,0.001563990954309702,0.000279046013019979,0.005406205542385578,5.999999999999999e-06,2104.92578125,0.10004861652851105,0.09996550530195236,,,0.3451762346231901,1,0,1.1811274969950318,0.03346143523231149,MATR_b3c21|MATR_b1c23|MATR_b4c8|MATR_b2c36,569|332|423|267,64|64|64|64
4,799.2958984375,762.9013061523438,0.2428825944662094,72.68513488769531,0.006938186939805746,0.6399999856948853,0.001596846617758274,0.0002862562832888216,0.005472772289067507,8.000000000000001e-06,2091.59033203125,0.10005176067352295,0.09998128563165665,,,0.3451762346231901,1,0,1.2134653967805207,0.02074051508679986,MATR_b1c45|MATR_b2c4|MATR_b3c11|MATR_b1c29,203|335|258|512,64|64|64|64
5,762.9445190429688,733.1356201171875,0.2389208972454071,59.51601028442383,0.006184135563671589,0.6399999856948853,0.0016797924181446433,0.0002939758123829961,0.005738641135394573,1e-05,2116.718017578125,0.10004691034555435,0.09995558857917786,,,0.3451762346231901,1,0,1.260262849740684,0.03379239188507199,MATR_b2c31|MATR_b3c28|MATR_b4c41|MATR_b3c4,370|411|401|289,64|64|64|64
6,747.486083984375,715.3865966796875,0.23334507644176483,64.09910583496094,0.006530841812491417,0.6399999856948853,0.0017674138071015477,0.00032478690263815224,0.00612027058377862,1.1999999999999999e-05,2027.1378173828125,0.10004458576440811,0.09997802972793579,,,0.3451762346231901,1,0,1.300763560924679,0.02829039329662919,MATR_b3c10|MATR_b2c23|MATR_b2c17|MATR_b2c28,329|293|209|413,64|64|64|64
7,732.4143676757812,699.1498413085938,0.23166556656360626,66.4296875,0.0067165307700634,0.6399999856948853,0.0019420541357249022,0.00037230743328109384,0.00672115059569478,1.4e-05,2058.265380859375,0.10004882514476776,0.09996236860752106,,,0.3451762346231901,1,0,1.3308212389238179,0.017320085782557726,MATR_b2c44|MATR_b2c36|MATR_b3c22|MATR_b1c20,177|255|758|336,64|64|64|64
8,709.4694213867188,680.8496704101562,0.2314556986093521,57.14089584350586,0.006125882267951965,0.6413383483886719,0.002223015995696187,0.0004090548609383404,0.007788919378072023,1.6000000000000003e-05,2179.458740234375,0.10002116858959198,0.09995722770690918,,,0.3451762346231901,1,0,1.3594535789452493,0.016565419267863035,MATR_b3c22|MATR_b4c44|MATR_b2c45|MATR_b3c21,639|686|188|502,64|64|64|64
9,681.072509765625,651.1953735351562,0.22787122428417206,59.65667724609375,0.006428983993828297,0.6495226621627808,0.002512498525902629,0.00039762284723110497,0.008749440312385559,1.8e-05,2270.986328125,0.10001271963119507,0.09998348355293274,,,0.3451762346231901,1,0,1.4154042298905551,0.04285019310191274,MATR_b3c5|MATR_b2c20|MATR_b1c1|MATR_b1c38,574|304|948|455,64|64|64|64
10,646.0113525390625,618.8983154296875,0.22298027575016022,54.13077163696289,0.006094951182603836,0.6933629512786865,0.0029531028121709824,0.0004397112934384495,0.010141710750758648,2e-05,2358.541748046875,0.10003766417503357,0.09997668862342834,,,0.3451762346231901,1,0,1.4648156268522143,0.03726488770917058,MATR_b3c44|MATR_b1c0|MATR_b4c28|MATR_b3c21,437|1196|656|577,64|64|64|64
11,692.0645141601562,662.2279052734375,0.22971908748149872,59.57487487792969,0.006300796288996935,0.7548235654830933,0.003225123742595315,0.0004506170516833663,0.011396002024412155,2.2000000000000003e-05,2318.367919921875,0.10001478344202042,0.09999586641788483,,,0.3451762346231901,1,0,1.5029067848809063,0.02558854501694441,MATR_b2c14|MATR_b4c31|MATR_b4c4|MATR_b3c26,235|649|286|714,64|64|64|64
12,604.4267578125,572.8018798828125,0.21568599343299866,63.1566162109375,0.0066943541169166565,0.9234281778335571,0.003789417212828994,0.000601195206400007,0.013115336187183857,2.3999999999999997e-05,2450.6259765625,0.10001903027296066,0.10001517832279205,,,0.3451762346231901,1,0,1.5484806359745562,0.034218207001686096,MATR_b2c39|MATR_b3c40|MATR_b1c28|MATR_b4c40,227|454|548|400,64|64|64|64
