epoch,meta_loss,checkpoint_selection_meta_loss,checkpoint_selection_metric,mean_support_loss,gradient_norm,elapsed_seconds,outer_learning_rate,CALCE_CX2_16_support_loss,CALCE_CX2_16_query_loss,CALCE_CX2_33_support_loss,CALCE_CX2_33_query_loss,CALCE_CX2_34_support_loss,CALCE_CX2_34_query_loss,CALCE_CX2_35_support_loss,CALCE_CX2_35_query_loss,CALCE_CX2_36_support_loss,CALCE_CX2_36_query_loss
1,0.36660274863243103,0.3705563902854919,deterministic_post_update_meta_query_loss,0.9296289682388306,1.4899738930736406,2.983163733035326,0.0001329291894316216,0.9025200009346008,0.4330276548862457,0.9283583760261536,0.3632645606994629,0.9249039888381958,0.3338041603565216,0.9775413274765015,0.3904902935028076,0.9148209691047668,0.31242695450782776
2,0.3628791570663452,0.36728870272636416,deterministic_post_update_meta_query_loss,0.9242498278617859,1.4837966056652907,5.748204544885084,0.0001329291894316216,0.8978933095932007,0.4288349747657776,0.9232489466667175,0.35949406027793884,0.9188137054443359,0.3293454051017761,0.9723854064941406,0.3863849937915802,0.9089078903198242,0.3103364109992981
3,0.35971346497535706,0.36400728225708007,deterministic_post_update_meta_query_loss,0.9188539385795593,1.4810631026923347,8.533328443998471,0.0001329291894316216,0.8934780359268188,0.42606663703918457,0.9182595610618591,0.3563941419124603,0.9146022796630859,0.326808899641037,0.966239333152771,0.3811863660812378,0.9016909599304199,0.3081112504005432
4,0.3565126955509186,0.36071230173110963,deterministic_post_update_meta_query_loss,0.9138768315315247,1.4793284149634935,11.443055593874305,0.0001329291894316216,0.8875153064727783,0.420897513628006,0.9127535223960876,0.35390251874923706,0.9089145064353943,0.32321402430534363,0.9625296592712402,0.37949666380882263,0.8976710438728333,0.305052787065506
5,0.3512488305568695,0.3574050009250641,deterministic_post_update_meta_query_loss,0.9085778594017029,1.4745788702205136,14.265883535845205,0.0001329291894316216,0.8837307095527649,0.4161544740200043,0.9069145917892456,0.3475654125213623,0.9027501940727234,0.3190399408340454,0.9561011791229248,0.37433552742004395,0.8933922052383423,0.29914888739585876
6,0.34783023595809937,0.3540843605995178,deterministic_post_update_meta_query_loss,0.9038426280021667,1.4709530900692172,17.089650346897542,0.0001329291894316216,0.8777952194213867,0.41243991255760193,0.9031277298927307,0.34436333179473877,0.8995437026023865,0.31615346670150757,0.9517092704772949,0.37038400769233704,0.8870372772216797,0.2958104908466339
7,0.3451889157295227,0.3507494151592255,deterministic_post_update_meta_query_loss,0.8991489410400391,1.470339621924885,19.937238269951195,0.0001329291894316216,0.8730606436729431,0.40924081206321716,0.8979254364967346,0.3420688509941101,0.8947631120681763,0.3112589716911316,0.9480282068252563,0.3684070408344269,0.8819670081138611,0.29496872425079346
8,0.3414795398712158,0.3473999500274658,deterministic_post_update_meta_query_loss,0.8949293494224548,1.4670266893435566,22.87822753097862,0.0001329291894316216,0.868515133857727,0.4054323732852936,0.8942570686340332,0.3387898802757263,0.889812707901001,0.30897021293640137,0.9422796964645386,0.3639901876449585,0.8797820806503296,0.29021501541137695
9,0.33707496523857117,0.3440366506576538,deterministic_post_update_meta_query_loss,0.8883600234985352,1.4621820270699295,25.710843132808805,0.0001329291894316216,0.8625612258911133,0.39967042207717896,0.8869584798812866,0.3339388072490692,0.881982147693634,0.30481889843940735,0.9364904165267944,0.3596470057964325,0.8738077878952026,0.2872995138168335
10,0.3334570527076721,0.3406590521335602,deterministic_post_update_meta_query_loss,0.8833287358283997,1.4615512365795635,28.558102075010538,0.0001329291894316216,0.8579589128494263,0.3965912461280823,0.8824241161346436,0.32992902398109436,0.8791240453720093,0.30218103528022766,0.9305702447891235,0.3544823229312897,0.8665664196014404,0.28410160541534424
