fold,seed,model,cell_id,alpha,beta,status,reason,future_rmse,current_soh_abs_error,nll,coverage_95,interval_width_95,inference_latency_ms,inference_latency_median_ms,inference_latency_std_ms,current_cycle,num_context_points,num_target_points,reference_cycles
0,42,partial_iv_anp,CALCE_CS2_33,0.3,0.0,ok,,0.08131908175733758,0.002631737646455523,-1.5751510687091141,0.693304535637149,0.16275954525421377,0.8729255991056561,0.8719360921531916,0.006564439239733092,198,128,463,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CS2_33,0.3,0.25,ok,,0.12682983979341098,0.00139491919426471,-0.5736927699174789,0.5118790496760259,0.1310437727574805,0.8703227853402495,0.8697567973285913,0.005659973035398035,198,128,463,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CS2_33,0.3,0.5,ok,,0.12391747687478696,0.001039997608341947,-0.605896084270561,0.5053995680345572,0.1347214573717592,0.868679559789598,0.8677034638822079,0.005791204074694351,198,128,463,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CS2_33,0.3,0.75,ok,,0.12325268314314534,0.000977687014939832,-0.6102475576728199,0.5053995680345572,0.13546253880594666,0.870830100029707,0.8708389941602945,0.005691664470648642,198,128,463,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CS2_33,0.3,1.0,ok,,0.12122697661034096,0.0008148602330281252,-0.6263191081520838,0.5032397408207343,0.137673267803888,0.8702264865860343,0.8669421076774597,0.010389858071828285,198,128,463,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CS2_33,0.5,0.0,ok,,0.10996525643900186,0.01703532810780195,-1.2118464253629317,0.6646525679758308,0.19776343723802228,0.867934082634747,0.8664310444146395,0.006024316739603743,330,128,331,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CS2_33,0.5,0.25,ok,,0.17485577579888945,0.014479004718649269,1.5549659681414183,0.5287009063444109,0.10814115789124852,0.870662834495306,0.8694163989275694,0.005832650934563273,330,128,331,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CS2_33,0.5,0.5,ok,,0.17175102024294997,0.01562591491406784,1.064096350425368,0.525679758308157,0.11606440407001456,0.8677754551172256,0.8680440951138735,0.004946652502709615,330,128,331,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CS2_33,0.5,0.75,ok,,0.1707623891165428,0.01587862616655944,0.9521779355853848,0.4954682779456193,0.1183062172790511,0.8671577321365476,0.8662354666739702,0.0043486077180238565,330,128,331,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CS2_33,0.5,1.0,ok,,0.16834483805280184,0.016363477875404486,0.7299175817544594,0.4350453172205438,0.12350958840190178,0.8713045157492161,0.8706436492502689,0.00472599435990368,330,128,331,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CS2_33,0.7,0.0,ok,,0.1657608783666872,0.01955344373203949,-0.8776186589270888,0.775,0.247274839323107,0.8658408652991056,0.8656340651214123,0.00494683744355842,461,128,200,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CS2_33,0.7,0.25,ok,,0.20642828048368786,0.031125418394103654,1.0929255405935332,0.47,0.16349509020577238,0.8685148088261485,0.8673379197716713,0.004685294682660997,461,128,200,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CS2_33,0.7,0.5,ok,,0.19020964894881215,0.032269650424025076,0.20427948432933193,0.505,0.18628322435045766,0.8671417599543929,0.8669721428304911,0.003792853525688028,461,128,200,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CS2_33,0.7,0.75,ok,,0.18825177720084893,0.03225298677623756,0.13112613723312636,0.52,0.18890002229399636,0.8663834305480123,0.8657549042254686,0.004727509242762863,461,128,200,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CS2_33,0.7,1.0,ok,,0.18208702476518338,0.032184438253900716,-0.053587376550989704,0.52,0.196001472623922,0.8677873760461807,0.8652734104543924,0.009720669882646228,461,128,200,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CX2_33,0.3,0.0,ok,,0.09235571189045079,0.006867633507680049,-1.234078536564851,0.9932659932659933,0.3560605984784311,0.8616373874247074,0.8591620717197657,0.011610970508977131,381,128,891,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CX2_33,0.3,0.25,ok,,0.08211259636922189,0.04034030665175026,0.8122799283837826,0.29180695847362514,0.09449054109562374,0.8619118481874466,0.8591120131313801,0.008664499825835784,381,128,891,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CX2_33,0.3,0.5,ok,,0.07878550470719822,0.033494400511485334,-0.422758010495393,0.4186307519640853,0.1074833650351527,0.8606234332546592,0.8591918740421534,0.00757894413436643,381,128,891,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CX2_33,0.3,0.75,ok,,0.07748362767208876,0.03082425983708792,-0.765073324162144,0.494949494949495,0.11307510602092632,0.8579349843785167,0.8574945386499166,0.0056707059722447915,381,128,891,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CX2_33,0.3,1.0,ok,,0.07395827055294599,0.024578399272415896,-1.3434442213595428,0.734006734006734,0.12711677980396852,0.8608413394540548,0.8587008342146873,0.007596012049658353,381,128,891,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CX2_33,0.5,0.0,ok,,0.07266474110297644,0.02325120216444654,-1.2109067999753678,0.9544740973312402,0.2896046754351005,0.8607472758740187,0.8578898850828409,0.006652941671244686,635,128,637,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CX2_33,0.5,0.25,ok,,0.07192078838833531,0.021705228600940152,-1.4922420930876883,0.7394034536891679,0.10956306059165417,0.8617631392553449,0.8607301861047745,0.005482501693980857,635,128,637,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CX2_33,0.5,0.5,ok,,0.06523262859510909,0.009587647102723529,-1.71600455910287,0.8210361067503925,0.14073692961883078,0.8617114508524537,0.8604393806308508,0.006615724836124213,635,128,637,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CX2_33,0.5,0.75,ok,,0.06253016214352673,0.004818229976142008,-1.7098599105667989,0.8744113029827315,0.15562064174646276,0.8573803585022688,0.8566176984459162,0.005894106726136111,635,128,637,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CX2_33,0.5,1.0,ok,,0.05981846026149668,0.002642449652972112,-1.6241245929048471,0.9340659340659341,0.17741784036324038,0.8589528733864427,0.8582554291933775,0.004527560790040994,635,128,637,"5,6,7,8,9,10"
0,42,partial_iv_anp,CALCE_CX2_33,0.7,0.0,ok,,0.0717396185466245,0.02786949452751253,-1.3028469016377062,0.9738903394255874,0.2383628300672993,0.8646159199997783,0.8651991374790668,0.004600832638993214,889,128,383,"5,6,7,8,9,10"
