fast_step,mae,rmse,r2,r2_nan_reason,max_absolute_error,final_cycle_absolute_error,pre_eol_mae,post_eol_mae,prediction_point_count,true_eol_cycle,predicted_eol_cycle_discrete,predicted_eol_cycle_interpolated,true_rul,predicted_rul,signed_rul_error,absolute_rul_error,relative_absolute_rul_error,crossing_found,adaptation_mode
1,0.11507120109028747,0.15074986046827651,-7.09684069650624,,0.3057477766618034,0.3044719542460197,0.011469695374348185,0.1345118636830647,500,579,550.0,549.1280778164924,79.0,50.0,-29.0,29.0,0.3670886075949367,True,fast_1
3,0.041672284862770435,0.04697243410837779,0.21388173169612834,,0.08734839893118695,0.0005841110749489342,0.0775190554799629,0.03494569370182458,500,579,501.0,500.47986124333784,79.0,1.0,-78.0,78.0,0.9873417721518988,True,fast_3
5,0.03893778242130051,0.04843549532196932,0.164148265923572,,0.08867805934683637,0.0815342520280129,0.07919047157550341,0.031384427449371706,500,579,501.0,500.47031316354224,79.0,1.0,-78.0,78.0,0.9873417721518988,True,fast_5
10,0.10456375957115946,0.10594507164541708,-2.9991093092560774,,0.14145147538916425,0.07432301296756205,0.13079054830524167,0.09964234315787564,500,579,501.0,500.2819517742922,79.0,1.0,-78.0,78.0,0.9873417721518988,True,fast_10
15,0.07272711235636992,0.08338964548336597,-1.4775704472754057,,0.16348386414287308,0.1628439878030068,0.07783035544984129,0.07176949666899643,500,579,501.0,500.5229705207473,79.0,1.0,-78.0,78.0,0.9873417721518988,True,fast_15
20,0.04661619729422572,0.058427453150183134,-0.21628589047592262,,0.11318564153448896,0.08018164382412496,0.10241491364102,0.03614565432178689,500,579,501.0,500.39298047595565,79.0,1.0,-78.0,78.0,0.9873417721518988,True,fast_20
