step,loss,nll,kl,consistency_loss,consistency_weight,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
1,1.0958796739578247,1.095870018005371,0.04818669706583023,0.0,0.0,0.0002,2.0145082473754883,False,300,"MATR_b2c20,MATR_b1c9,MATR_b4c31,MATR_b4c33,MATR_b1c23,MATR_b3c11,MATR_b1c1,MATR_b4c23,MATR_b4c38,MATR_b1c29,MATR_b2c10,MATR_b1c0,MATR_b1c7","MATR_b2c47,MATR_b2c14,MATR_b2c31,MATR_b2c45,MATR_b2c42,MATR_b2c35,MATR_b3c4,MATR_b4c28",462.0,1045.0,,0.17027642577886581
2,1.0525447130203247,1.0525376796722412,0.017482541501522064,0.0,0.0,0.0004,0.29515665769577026,False,280,"MATR_b1c41,MATR_b2c28,MATR_b3c4,MATR_b3c21,MATR_b2c17,MATR_b1c36,MATR_b4c22,MATR_b4c40,MATR_b3c5","MATR_b4c8,MATR_b1c28,MATR_b3c0,MATR_b2c10,MATR_b2c46,MATR_b2c20,MATR_b1c9,MATR_b4c30",428.0,1052.0,,0.2817552899941802
3,0.990985631942749,0.9909383058547974,0.07885006070137024,0.0,0.0,0.0006,2.461690902709961,False,140,"MATR_b2c38,MATR_b2c29,MATR_b1c38,MATR_b2c20,MATR_b1c43,MATR_b4c26,MATR_b2c0,MATR_b2c23,MATR_b2c45","MATR_b4c2,MATR_b4c44,MATR_b3c27,MATR_b1c24,MATR_b3c11,MATR_b2c39,MATR_b4c5,MATR_b3c25",458.0,1015.0,,0.3888459410518408
4,1.2932406663894653,1.2932237386703491,0.021117068827152252,0.0,0.0,0.0008,2.731262683868408,False,140,"MATR_b3c40,MATR_b2c5,MATR_b4c37,MATR_b2c42,MATR_b1c38,MATR_b4c17,MATR_b1c20,MATR_b4c43,MATR_b2c6,MATR_b1c33","MATR_b1c9,MATR_b4c2,MATR_b1c15,MATR_b3c34,MATR_b4c27,MATR_b3c26,MATR_b2c20,MATR_b3c25",500.0,1156.0,,0.4861001018434763
5,3.2746081352233887,3.274603843688965,0.004305584821850061,0.0,0.0,0.001,,True,160,"MATR_b3c40,MATR_b4c39,MATR_b3c19,MATR_b1c0,MATR_b3c0,MATR_b1c33,MATR_b4c44,MATR_b1c43,MATR_b2c0,MATR_b4c0,MATR_b2c45,MATR_b1c38,MATR_b2c4,MATR_b4c35","MATR_b4c43,MATR_b4c4,MATR_b1c31,MATR_b4c25,MATR_b2c17,MATR_b1c1,MATR_b1c7,MATR_b2c28",453.0,2154.0,,0.5650317277759314
6,1.1377135515213013,1.137702465057373,0.009198211133480072,0.0,0.0,0.0012,2.7373158931732178,False,120,"MATR_b3c38,MATR_b4c41,MATR_b2c44,MATR_b1c32,MATR_b1c45,MATR_b2c17,MATR_b2c4,MATR_b1c41,MATR_b2c2,MATR_b4c22,MATR_b2c13,MATR_b2c26,MATR_b1c38","MATR_b4c30,MATR_b4c17,MATR_b1c9,MATR_b1c17,MATR_b1c16,MATR_b3c10,MATR_b3c26,MATR_b2c11",476.0,1076.0,,0.6636485080234706
7,1.0602807998657227,1.0602576732635498,0.01648818701505661,0.0,0.0,0.0014,0.1970793604850769,False,160,"MATR_b4c27,MATR_b4c43,MATR_b4c22,MATR_b3c40,MATR_b4c19,MATR_b2c4,MATR_b1c28,MATR_b3c19,MATR_b4c23,MATR_b1c16","MATR_b2c18,MATR_b2c10,MATR_b1c38,MATR_b2c28,MATR_b1c15,MATR_b1c40,MATR_b3c39,MATR_b4c13",486.0,1154.0,,0.7255129697732627
8,2.5002095699310303,2.500189781188965,0.012309327721595764,0.0,0.0,0.0016,,True,180,"MATR_b1c26,MATR_b3c22,MATR_b4c35,MATR_b2c25,MATR_b3c34,MATR_b2c18,MATR_b1c28,MATR_b4c2,MATR_b3c39,MATR_b4c23,MATR_b4c44,MATR_b1c20,MATR_b2c17","MATR_b4c8,MATR_b2c0,MATR_b4c22,MATR_b2c36,MATR_b4c39,MATR_b1c39,MATR_b3c12,MATR_b1c0",299.0,1858.0,,0.795697062741965
9,0.9487564563751221,0.9487302899360657,0.014547552913427353,0.0,0.0,0.0018,1.053961157798767,False,240,"MATR_b2c11,MATR_b2c44,MATR_b2c35,MATR_b3c27,MATR_b3c25,MATR_b1c16,MATR_b4c43,MATR_b1c38,MATR_b1c1,MATR_b4c14,MATR_b4c44,MATR_b4c30,MATR_b3c8,MATR_b2c17,MATR_b1c39,MATR_b4c35","MATR_b4c4,MATR_b1c40,MATR_b4c19,MATR_b2c38,MATR_b1c20,MATR_b1c7,MATR_b1c32,MATR_b1c29",464.0,991.0,,0.857928070705384
10,1.1377670764923096,1.1377308368682861,0.018091313540935516,0.0,0.0,0.002,0.8398439288139343,False,100,"MATR_b1c41,MATR_b2c10,MATR_b4c14,MATR_b2c43,MATR_b1c7,MATR_b2c5,MATR_b2c45,MATR_b2c11,MATR_b1c32,MATR_b2c27","MATR_b2c20,MATR_b1c31,MATR_b3c11,MATR_b4c16,MATR_b4c26,MATR_b3c35,MATR_b2c42,MATR_b2c26",465.0,1091.0,,0.9087124736979604
11,1.0217809677124023,1.021765947341919,0.0068028829991817474,0.0,0.0,0.0022,0.779622495174408,False,280,"MATR_b4c2,MATR_b2c36,MATR_b2c14,MATR_b2c6,MATR_b4c28,MATR_b3c44,MATR_b2c2,MATR_b4c37,MATR_b2c38,MATR_b2c11,MATR_b1c15,MATR_b3c19","MATR_b2c25,MATR_b4c5,MATR_b4c33,MATR_b2c46,MATR_b1c26,MATR_b4c30,MATR_b1c7,MATR_b1c40",428.0,964.0,,0.9621324497275054
12,0.9584286212921143,0.9583374261856079,0.03798811882734299,0.0,0.0,0.0024,0.5164917707443237,False,220,"MATR_b3c39,MATR_b3c38,MATR_b4c28,MATR_b4c31,MATR_b3c5,MATR_b4c26,MATR_b1c33,MATR_b4c39,MATR_b4c33","MATR_b1c32,MATR_b2c36,MATR_b1c26,MATR_b3c26,MATR_b2c4,MATR_b1c28,MATR_b3c27,MATR_b2c6",443.0,1025.0,,0.9995991960167885
13,0.8865510821342468,0.8865031003952026,0.018453499302268028,0.0,0.0,0.0026,1.837769627571106,False,180,"MATR_b1c39,MATR_b2c13,MATR_b1c40,MATR_b3c34,MATR_b1c44,MATR_b2c47,MATR_b4c24,MATR_b1c7,MATR_b4c16,MATR_b2c26,MATR_b2c43,MATR_b1c41,MATR_b2c0","MATR_b1c17,MATR_b1c20,MATR_b2c28,MATR_b2c6,MATR_b1c36,MATR_b4c37,MATR_b2c38,MATR_b3c40",464.0,863.0,,1.04748947173357
