horizon,status,reason,num_context_cells,num_test_cells,lifetime_rmse_cycles,lifetime_mae_cycles,rul_rmse_cycles,rul_mae_cycles,rul_mape_percent,rul_bias_cycles,rul_coverage,rul_mean_interval_width_cycles
60,ok,,8,34,791.260695517456,731.2476442195383,791.260695517456,731.2476442195383,126.43201057172881,724.1927467244878,0.029411764705882353,668.567582158691
80,ok,,8,34,534.1730930140311,488.7749578233653,534.1730930140311,488.7749578233653,82.71155199371518,486.1763370069597,0.058823529411764705,573.9616154295421
100,ok,,8,34,139.22785284258765,108.61963617123159,139.22785284258765,108.61963617123159,16.79522536433221,4.993204962216312,0.6470588235294118,253.37648671690513
120,ok,,8,34,136.65671558391415,106.28798208936801,136.65671558391415,106.28798208936801,16.654730156778253,11.485132313893185,0.5294117647058824,205.62105810167628
140,ok,,8,34,121.56972718565284,98.62791673237086,121.56972718565284,98.62791673237086,15.388682639072263,-7.56358389141148,0.4117647058823529,149.68604324546934
160,ok,,8,34,124.63754445989156,99.17773093279614,124.63754445989156,99.17773093279614,15.452969859688128,-17.611542558946926,0.35294117647058826,129.3398643291422
180,ok,,8,34,111.66165695998772,89.2932742617073,111.66165695998772,89.2932742617073,14.794384819909418,-18.04503219075788,0.38235294117647056,120.44038392561076
200,ok,,8,34,107.73573940708687,86.45239860526631,107.73573940708687,86.45239860526631,14.846899653484801,-22.22499716268314,0.3235294117647059,109.89355841884515
220,ok,,8,34,104.2780001639258,83.845590894475,104.2780001639258,83.845590894475,15.238899505479054,-16.90168744989839,0.35294117647058826,112.66566933140811
240,ok,,8,34,104.3284797792781,83.72221728044823,104.3284797792781,83.72221728044823,15.714943706653505,-23.502217146404746,0.3235294117647059,104.78382037285033
260,ok,,8,34,101.99995378203697,79.78783051339569,101.99995378203697,79.78783051339569,16.303815727955175,-14.54932244295876,0.3235294117647059,111.68094290112533
280,ok,,8,34,100.73930246960725,80.03434450357778,100.73930246960725,80.03434450357778,17.13507628392351,-17.792944927429506,0.3235294117647059,110.82418218848379
300,ok,,8,34,101.1130547401859,80.96201925279604,101.1130547401859,80.96201925279604,18.24870531322965,-21.119974894306466,0.35294117647058826,108.81015020446989
320,ok,,8,34,104.8470991591699,83.62690806653045,104.8470991591699,83.62690806653045,20.02213673827904,-16.764496537692143,0.35294117647058826,115.91278160514973
340,ok,,8,34,104.62587578103079,83.75931096013537,104.62587578103079,83.75931096013537,21.33013087287302,-18.66146694196437,0.35294117647058826,126.29694236078097
360,ok,,8,34,99.80056752079015,81.3663048358415,99.80056752079015,81.3663048358415,22.39977906519303,-23.66246608834841,0.3235294117647059,123.29208524933286
380,ok,,8,34,100.51432949265887,82.25169994583298,100.51432949265887,82.25169994583298,24.699102357211224,-26.11900312260971,0.35294117647058826,131.17255251183653
400,ok,,8,34,96.15776079991727,78.87532999035014,96.15776079991727,78.87532999035014,26.716765403484487,-28.45876440746262,0.35294117647058826,134.13088251834913
420,ok,,8,34,90.15063242069245,74.7301694640378,90.15063242069245,74.7301694640378,29.017043824832673,-37.58096589148823,0.35294117647058826,131.89223679742145
440,ok,,8,33,91.94946511571779,76.90916324054345,91.94946511571779,76.90916324054345,36.34122586583766,-44.31607383721252,0.36363636363636365,133.38914911339018
460,ok,,8,33,96.1340381512654,80.17893365615093,96.1340381512654,80.17893365615093,59.881735368810055,-55.00370067751162,0.3939393939393939,136.90013212157956
480,ok,,8,30,110.20522826129935,91.55740715699008,110.20522826129935,91.55740715699008,176.63716031312973,-73.01697199308587,0.36666666666666664,145.73600999994676
500,ok,,8,27,130.78349802712586,103.0017211200985,130.78349802712586,103.0017211200985,81.19527611851879,-87.66711792116351,0.37037037037037035,155.20491736899334
520,ok,,8,25,147.36966142659946,113.49489923219427,147.36966142659946,113.49489923219427,43.458024699816846,-102.4869940279225,0.32,168.5880303192029
540,ok,,8,25,169.36404208020568,127.34854153331733,169.36404208020568,127.34854153331733,60.253295959478734,-119.68098821243387,0.32,163.11579255121885
560,ok,,8,24,192.48618020499754,147.94373699565344,192.48618020499754,147.94373699565344,73.55147591469692,-143.0358187470014,0.3333333333333333,161.2150113173453
580,ok,,8,24,210.52100070038415,165.14247610275515,210.52100070038415,165.14247610275515,115.91758065409658,-162.06169606895295,0.16666666666666666,142.95627267252405
600,ok,,8,23,218.57953998442144,170.74931227228754,218.57953998442144,170.74931227228754,178.44309050774947,-168.1101649463206,0.17391304347826086,162.74161970092476
