step,support_loss
1,0.19160950183868408
2,0.0007110945880413055
3,0.0008279720204882324
4,0.0010360614396631718
5,0.0013254446676000953
6,0.0005956583190709352
7,0.0003870408108923584
8,0.0008816421031951904
9,0.0012553605483844876
10,0.0005854425835423172
11,0.0008596364059485495
12,0.0008591638179495931
13,0.001167606795206666
14,0.001632743631489575
15,0.001256552990525961
16,0.0007791605894453824
17,0.0009740524110384285
18,0.0006789580802433193
19,0.0012032350059598684
20,0.0011139805428683758
21,0.0009669458959251642
22,0.0007995976484380662
23,0.0008429333101958036
24,0.0007914553279988468
25,0.0012399343540892005
26,0.0013412508415058255
27,0.0010132453171536326
