source,alpha
CALCE_CX2_16.pkl,9.982536e-20
CALCE_CX2_33.pkl,3.9823353e-18
CALCE_CX2_34.pkl,0.123657346
CALCE_CX2_35.pkl,0.02414145
CALCE_CX2_36.pkl,0.07031359
CALCE_CX2_38.pkl,0.7818876
