step,loss,nll,kl,kl_weight,gradient_norm,optimizer_step_skipped,amp_scale_before,amp_scale_after,batch_sampling_attempts,batch_sampling_seconds,batch_collation_seconds,batch_transfer_seconds,batch_cells,batch_current_cycles,batch_betas,context_points_min,context_points_max,target_points_min,target_points_max,target_soh_raw_min,target_soh_raw_max,target_normalized_min,target_normalized_max,prediction_mean_min,prediction_mean_max,prediction_std_min,prediction_std_max,prior_std_min,prior_std_max,posterior_std_min,posterior_std_max,iv_observed_fraction_mean,gpu_allocated_mb,gpu_reserved_mb,learning_rate,validation_rmse,elapsed_seconds,validation_cell_rmse
1,1.3537585735321045,1.3332628011703491,0.0204957723617553,1.0,2.4553236961364746,False,1.0,1.0,2,0.0025798000860959,0.0034074999857693,0.000103099970147,MATR_SYNTH_01|MATR_SYNTH_04,17|15,0.5|0.5,6,9,12,14,0.8705,0.929,-1.7005188465118408,-0.0981507524847984,-0.2097328007221222,-0.117138922214508,0.6435091495513916,0.6754916310310364,0.5908200740814209,0.7642516493797302,0.5669342279434204,0.7618526220321655,0.5,0.0,0.0,0.0005,0.026939901074327,0.0684370999224484,MATR_SYNTH_00:0.0269399
2,1.37284255027771,1.3563404083251953,0.016502097249031067,1.0,2.3909387588500977,False,1.0,1.0,2,0.003755199955776334,0.0010580001398921013,6.529991514980793e-05,MATR_SYNTH_01|MATR_SYNTH_05,15|17,1|0.5,4,4,12,14,0.8685,0.935,-1.7553006410598755,0.06619469076395035,-0.24612948298454285,-0.15559379756450653,0.6429747343063354,0.7111586928367615,0.5783271789550781,0.7667899131774902,0.5629228353500366,0.7600167989730835,0.75,0.0,0.0,0.0005,0.026907878258771094,0.04843009985052049,MATR_SYNTH_00:0.02690788
