epoch,meta_loss,checkpoint_selection_meta_loss,checkpoint_selection_metric,mean_support_loss,gradient_norm,elapsed_seconds,outer_learning_rate,CALCE_CX2_16_support_loss,CALCE_CX2_16_query_loss,CALCE_CX2_33_support_loss,CALCE_CX2_33_query_loss,CALCE_CX2_34_support_loss,CALCE_CX2_34_query_loss,CALCE_CX2_35_support_loss,CALCE_CX2_35_query_loss,CALCE_CX2_36_support_loss,CALCE_CX2_36_query_loss
1,0.3737897574901581,0.35035648941993713,deterministic_post_update_meta_query_loss,0.9274364709854126,1.4808956561088016,2.728384407935664,0.001,0.9005095958709717,0.4411151111125946,0.9257293939590454,0.37074923515319824,0.9225471019744873,0.3404434621334076,0.9754087924957275,0.39827775955200195,0.9129871129989624,0.31836313009262085
2,0.34677615761756897,0.3246146559715271,deterministic_post_update_meta_query_loss,0.8911008238792419,1.4603337602328885,5.5156755479983985,0.001,0.8652345538139343,0.41112586855888367,0.8900308609008789,0.34314897656440735,0.8857015371322632,0.31383848190307617,0.9384068250656128,0.37040966749191284,0.8761301040649414,0.29535767436027527
3,0.3198799192905426,0.2982038021087646,deterministic_post_update_meta_query_loss,0.854712188243866,1.4396321910103402,8.340655512874946,0.001,0.8304736614227295,0.38175851106643677,0.8543477654457092,0.31669989228248596,0.8510449528694153,0.288972407579422,0.8987785577774048,0.3405976891517639,0.8389160633087158,0.2713710069656372
4,0.2921489477157593,0.2711323142051697,deterministic_post_update_meta_query_loss,0.8179659843444824,1.415652468518642,11.272468819050118,0.001,0.790770947933197,0.3499508500099182,0.8172849416732788,0.2894309163093567,0.8135974407196045,0.26247602701187134,0.8640351891517639,0.3128153383731842,0.8041414022445679,0.24607156217098236
5,0.2629026174545288,0.24343454241752624,deterministic_post_update_meta_query_loss,0.7770902514457703,1.3860724840413716,14.109695059014484,0.001,0.7557985782623291,0.3184327185153961,0.7740734219551086,0.25970375537872314,0.7735533714294434,0.23570409417152405,0.8220920562744141,0.28227150440216064,0.7599339485168457,0.2184009999036789
6,0.23472543060779572,0.21515793204307557,deterministic_post_update_meta_query_loss,0.7387827634811401,1.3525587965393933,16.96146536595188,0.001,0.7161334156990051,0.28670263290405273,0.7378466129302979,0.2319796234369278,0.7380689382553101,0.20953252911567688,0.7803215980529785,0.2525096535682678,0.7215430736541748,0.19290272891521454
7,0.20650939643383026,0.1863936275243759,deterministic_post_update_meta_query_loss,0.7025892734527588,1.314830973908915,19.811780121875927,0.001,0.6806553602218628,0.25359565019607544,0.7015467882156372,0.20465874671936035,0.693414568901062,0.18124835193157196,0.7478100061416626,0.22324849665164948,0.6895195841789246,0.16979575157165527
8,0.17753033339977264,0.15731502771377565,deterministic_post_update_meta_query_loss,0.6638162732124329,1.2649067433703427,22.76403527893126,0.001,0.6418380737304688,0.22169026732444763,0.6672624349594116,0.176312655210495,0.6570636630058289,0.15571047365665436,0.7052034139633179,0.19233272969722748,0.6477137804031372,0.14160560071468353
9,0.1476692408323288,0.12823347747325897,deterministic_post_update_meta_query_loss,0.6152532696723938,1.1999126844362829,25.62185536790639,0.001,0.5908935070037842,0.18712279200553894,0.612352728843689,0.1451394259929657,0.6104034781455994,0.12836642563343048,0.6588999629020691,0.16088718175888062,0.6037166118621826,0.11683040112257004
10,0.11888458579778671,0.09968683123588562,deterministic_post_update_meta_query_loss,0.5733177065849304,1.118774137592731,28.46616877289489,0.001,0.5546232461929321,0.15318027138710022,0.5686817169189453,0.11735021322965622,0.5769284963607788,0.10232561081647873,0.6061233282089233,0.1289755403995514,0.5602319240570068,0.09259127080440521
11,0.09108908474445343,0.07257953137159348,deterministic_post_update_meta_query_loss,0.5257191061973572,1.0120282654541288,31.427993927849457,0.001,0.5008574724197388,0.11910522729158401,0.5246882438659668,0.08988508582115173,0.5190756916999817,0.07709001004695892,0.5692514181137085,0.10065783560276031,0.514722466468811,0.06870722025632858
12,0.06564319878816605,0.04835093170404434,deterministic_post_update_meta_query_loss,0.48075053095817566,0.8765327105591162,34.28233640594408,0.001,0.4609224498271942,0.08834928274154663,0.482662558555603,0.06501888483762741,0.4786338210105896,0.05491078644990921,0.519976019859314,0.0723896324634552,0.4615578055381775,0.04754740372300148
13,0.043076980859041214,0.029171517863869668,deterministic_post_update_meta_query_loss,0.4276779592037201,0.696820842315775,37.13554849103093,0.001,0.42293035984039307,0.060323577374219894,0.42723095417022705,0.04277386888861656,0.42615100741386414,0.035923708230257034,0.45199066400527954,0.04662158340215683,0.41008681058883667,0.029742170125246048
14,0.02556614950299263,0.017972144484519958,deterministic_post_update_meta_query_loss,0.3846641182899475,0.4660245027356747,40.095238524954766,0.001,0.3642857074737549,0.03444971889257431,0.3765450119972229,0.02507019229233265,0.39299073815345764,0.02190869115293026,0.42290639877319336,0.02824019268155098,0.3665926456451416,0.01816195249557495
15,0.01567257009446621,0.017647957615554332,deterministic_post_update_meta_query_loss,0.33446744084358215,0.17856938211290269,42.952785999979824,0.001,0.33118852972984314,0.016993150115013123,0.32846784591674805,0.015712279826402664,0.33075833320617676,0.015536555089056492,0.36205074191093445,0.016374455764889717,0.3198716938495636,0.013746405951678753
16,0.015125817619264126,0.0279058076441288,deterministic_post_update_meta_query_loss,0.29013100266456604,0.14461956832332085,45.81796005391516,0.001,0.283025860786438,0.007495591416954994,0.28030461072921753,0.015653077512979507,0.28024134039878845,0.019163787364959717,0.3235971927642822,0.01454850286245346,0.28348591923713684,0.01876812055706978
17,0.023272637277841568,0.041371867433190344,deterministic_post_update_meta_query_loss,0.24397678673267365,0.4374965974778303,48.776401120005175,0.001,0.23585852980613708,0.007821198552846909,0.25386354327201843,0.02394276298582554,0.2319536656141281,0.030381040647625923,0.2718658447265625,0.022406691685318947,0.2263423055410385,0.03181148320436478
18,0.034049149602651596,0.04974535405635834,deterministic_post_update_meta_query_loss,0.21782660484313965,0.6216681462878091,51.63207996496931,0.001,0.2140221744775772,0.012730469927191734,0.21717363595962524,0.035101376473903656,0.2142198085784912,0.044131089001894,0.22745873034000397,0.033586882054805756,0.21625873446464539,0.04469592496752739
19,0.041151490062475204,0.05097161158919335,deterministic_post_update_meta_query_loss,0.18617625534534454,0.6787684984887395,54.48535073897801,0.001,0.18152165412902832,0.01671665348112583,0.1784372478723526,0.04233357682824135,0.17434439063072205,0.05157412216067314,0.1990874707698822,0.041132938116788864,0.19749045372009277,0.05400015786290169
20,0.04196866229176521,0.04691965505480766,deterministic_post_update_meta_query_loss,0.16951552033424377,0.6570186016931854,57.33117867796682,0.001,0.13936838507652283,0.01743062399327755,0.18433982133865356,0.04282646253705025,0.17379841208457947,0.052101604640483856,0.18756103515625,0.042067959904670715,0.16250991821289062,0.05541666969656944
21,0.03815711662173271,0.04012911953032017,deterministic_post_update_meta_query_loss,0.16003412008285522,0.5930650009732581,60.291807129979134,0.001,0.15123210847377777,0.015415356494486332,0.15480104088783264,0.0377146378159523,0.15518102049827576,0.04797115921974182,0.17616820335388184,0.03819021210074425,0.1627882421016693,0.05149421840906143
22,0.033302295953035355,0.03261788915842771,deterministic_post_update_meta_query_loss,0.15737412869930267,0.5309380571061995,63.14156523998827,0.001,0.14483974874019623,0.012067831121385098,0.16760897636413574,0.03430374711751938,0.1580836921930313,0.04307560250163078,0.17139378190040588,0.032262641936540604,0.14494436979293823,0.04480164870619774
23,0.027074819430708885,0.025855515152215958,deterministic_post_update_meta_query_loss,0.1634673923254013,0.44401663397696883,65.99430532497354,0.001,0.15497690439224243,0.009231459349393845,0.1696823388338089,0.027201885357499123,0.16040299832820892,0.03526614233851433,0.1733212172985077,0.026616370305418968,0.15895341336727142,0.03705824911594391
24,0.021917114034295082,0.02065424695611,deterministic_post_update_meta_query_loss,0.163506418466568,0.3468220603491372,68.94894462893717,0.001,0.16386732459068298,0.006941951345652342,0.1488979458808899,0.022212844341993332,0.1686912477016449,0.02887071669101715,0.18000060319900513,0.02091127447783947,0.15607494115829468,0.030648784711956978
25,0.0178446676582098,0.0172694724984467,deterministic_post_update_meta_query_loss,0.17218676209449768,0.24953867252783427,71.80461074784398,0.001,0.16573089361190796,0.0059678442776203156,0.17068973183631897,0.019005360081791878,0.16721023619174957,0.022882483899593353,0.19342344999313354,0.017262335866689682,0.1638794243335724,0.024105306714773178
26,0.014957240782678127,0.015566246770322322,deterministic_post_update_meta_query_loss,0.1773344725370407,0.14929416383008273,74.66688639600761,0.001,0.16971434652805328,0.006300434470176697,0.18094772100448608,0.015652772039175034,0.17509868741035461,0.019235579296946526,0.18828245997428894,0.014466830529272556,0.1726292073726654,0.019130581989884377
27,0.013489007018506527,0.015182938985526561,deterministic_post_update_meta_query_loss,0.18590395152568817,0.057458564883929336,77.53259142301977,0.001,0.17865507304668427,0.007801148109138012,0.17864982783794403,0.013610964640974998,0.18689778447151184,0.016438860446214676,0.20272402465343475,0.013111031614243984,0.18259307742118835,0.01648302935063839
28,0.013269203715026379,0.015685968287289142,deterministic_post_update_meta_query_loss,0.19000962376594543,0.025876242256734818,80.47798478207551,0.001,0.18162113428115845,0.010069613344967365,0.18773728609085083,0.013519702479243279,0.18774087727069855,0.015083677135407925,0.21560129523277283,0.013414504006505013,0.17734749615192413,0.01425852533429861
29,0.013741803355515003,0.01666772849857807,deterministic_post_update_meta_query_loss,0.1927425116300583,0.09162535442715768,83.3368353259284,0.001,0.18024398386478424,0.012640605680644512,0.19143757224082947,0.013770763762295246,0.19109569489955902,0.014661985449492931,0.21459358930587769,0.014408612623810768,0.18634167313575745,0.013227044604718685
30,0.014702530577778816,0.01779212150722742,deterministic_post_update_meta_query_loss,0.1962924301624298,0.14767714918301703,86.18979248707183,0.001,0.1850775182247162,0.015486542135477066,0.1945652961730957,0.014632195234298706,0.19641464948654175,0.014852253720164299,0.21583351492881775,0.015589466318488121,0.1895710974931717,0.01295219361782074
31,0.015734193846583366,0.018813915736973285,deterministic_post_update_meta_query_loss,0.19732728600502014,0.18761212258379173,89.03339322702959,0.001,0.1847078800201416,0.017733275890350342,0.19783589243888855,0.01592697948217392,0.19328069686889648,0.015216737054288387,0.22083094716072083,0.016829920932650566,0.18998098373413086,0.012964044697582722
32,0.016729004681110382,0.019564300216734408,deterministic_post_update_meta_query_loss,0.1993359923362732,0.2203203998594585,91.98583123204298,0.001,0.18922032415866852,0.020069124177098274,0.19990485906600952,0.016698451712727547,0.19648109376430511,0.015503376722335815,0.21956533193588257,0.018166931346058846,0.19150835275650024,0.013207138516008854
33,0.017293600365519524,0.019959545135498045,deterministic_post_update_meta_query_loss,0.19905617833137512,0.23795482795288128,94.84769561886787,0.001,0.1881420612335205,0.021464206278324127,0.19799184799194336,0.016910236328840256,0.19746607542037964,0.015907147899270058,0.21764439344406128,0.01871485635638237,0.19403648376464844,0.013471560552716255
34,0.01774021051824093,0.019979437440633775,deterministic_post_update_meta_query_loss,0.19702163338661194,0.24694481316582056,97.70202691899613,0.001,0.18571892380714417,0.021951833739876747,0.19526267051696777,0.017525402829051018,0.1963130086660385,0.01616857200860977,0.21847936511039734,0.019321836531162262,0.1893342137336731,0.013733400963246822
35,0.017619965597987175,0.019666631892323493,deterministic_post_update_meta_query_loss,0.19539044797420502,0.2418867657247083,100.66281143692322,0.001,0.18498267233371735,0.022128256037831306,0.1958547830581665,0.01719541847705841,0.1929263174533844,0.01613220013678074,0.21562881767749786,0.019033052027225494,0.18755972385406494,0.0136109022423625
36,0.017482947558164597,0.019084212370216846,deterministic_post_update_meta_query_loss,0.1927381306886673,0.2373058918051971,103.53322768700309,0.001,0.1807297170162201,0.02179492451250553,0.19443292915821075,0.017028704285621643,0.1896248608827591,0.015790022909641266,0.21355487406253815,0.019262587651610374,0.1853482723236084,0.013538490980863571
37,0.017021525651216507,0.01832435168325901,deterministic_post_update_meta_query_loss,0.18780241906642914,0.22314488489062417,106.41303569986485,0.001,0.17537358403205872,0.020826974883675575,0.1871454119682312,0.016779445111751556,0.18577468395233154,0.015387730672955513,0.20753954350948334,0.018800383433699608,0.18317879736423492,0.013313090428709984
38,0.016248932108283043,0.017487735860049723,deterministic_post_update_meta_query_loss,0.18534919619560242,0.20368163015661797,109.38614786393009,0.001,0.17509400844573975,0.01912001520395279,0.18543565273284912,0.015945520251989365,0.18391744792461395,0.01537315733730793,0.20440472662448883,0.017722787335515022,0.17789414525032043,0.013083181343972683
39,0.01534281950443983,0.016674844734370708,deterministic_post_update_meta_query_loss,0.18023572862148285,0.17472853970060445,112.25268274289556,0.001,0.16838830709457397,0.01713952235877514,0.1814696192741394,0.01527128554880619,0.17641036212444305,0.015032658353447914,0.2002946138381958,0.01645604707300663,0.17461572587490082,0.012814580462872982
40,0.01470717042684555,0.015962054766714574,deterministic_post_update_meta_query_loss,0.17450694739818573,0.15038586681004662,115.10565929790027,0.001,0.1651582270860672,0.016060499474406242,0.17272673547267914,0.014522026292979717,0.1708725243806839,0.014531646855175495,0.19489195942878723,0.015547065995633602,0.16888535022735596,0.012874617241322994
