source,alpha
CALCE_CX2_16.pkl,0.010709902
CALCE_CX2_33.pkl,3.7488262e-17
CALCE_CX2_34.pkl,0.061211698
CALCE_CX2_35.pkl,0.06738877
CALCE_CX2_36.pkl,2.4022907e-17
CALCE_CX2_38.pkl,0.86068964
