step,support_loss
1,0.05056865140795708
2,0.00563869159668684
3,0.0026238809805363417
4,0.002828461118042469
5,0.002897140569984913
6,0.0027862684801220894
7,0.0023146402090787888
8,0.0025244527496397495
9,0.0028225057758390903
10,0.0020488142035901546
11,0.0025204468984156847
12,0.0021812780760228634
13,0.002686737570911646
14,0.0026370324194431305
15,0.002543474081903696
16,0.0020383477676659822
17,0.002068927278742194
18,0.002205970697104931
19,0.0023662426974624395
20,0.00205852254293859
21,0.0020558442920446396
22,0.0017001234227791429
23,0.0019280164269730449
24,0.0017677366267889738
25,0.0021013515070080757
26,0.002301872707903385
27,0.002216956578195095
28,0.0018767364090308547
29,0.001799438032321632
30,0.0016360086156055331
31,0.001520367106422782
32,0.0016031272243708372
33,0.0017551252385601401
34,0.0019872202537953854
35,0.001862666686065495
36,0.0013445543590933084
37,0.0016154497861862183
38,0.0018562587210908532
39,0.0015675013419240713
40,0.0014105606824159622
41,0.0012481063604354858
42,0.0017527956515550613
43,0.0017254051053896546
44,0.0017037141369655728
45,0.0012367963790893555
46,0.001391760422848165
47,0.0011614649556577206
48,0.0014048414304852486
49,0.0016234118957072496
50,0.0011321717174723744
51,0.0015420234994962811
52,0.001328884856775403
53,0.0014350670389831066
54,0.001259382232092321
55,0.0011159589048475027
56,0.0013926359824836254
57,0.0012030143989250064
58,0.0008867961587384343
59,0.0009168360847979784
60,0.0014607658376917243
61,0.001159278559498489
62,0.0011432184837758541
63,0.0011043366976082325
64,0.001276222406886518
65,0.0010028294054791331
66,0.0009116018190979958
67,0.0010130875743925571
68,0.0012425435706973076
69,0.0008517242386005819
70,0.0005584062892012298
71,0.0009572501294314861
72,0.0011936050141230226
73,0.0011647609062492847
74,0.000989360734820366
75,0.0013930686982348561
76,0.0013274659868329763
77,0.0013059296179562807
78,0.0011020587990060449
79,0.0009432457736693323
80,0.0011921330587938428
81,0.0010680938139557838
82,0.0009350561886094511
83,0.0009074477711692452
84,0.0005090801860205829
85,0.000883636181242764
86,0.0008493947680108249
87,0.0007628761231899261
88,0.0012673583114519715
89,0.0007427914533764124
90,0.001228740205988288
91,0.001181729487143457
92,0.0008070801268331707
93,0.0008771374123170972
94,0.0009833460208028555
95,0.0008130862261168659
96,0.0008491260814480484
97,0.0011681161122396588
98,0.0011172089725732803
99,0.0008923441055230796
100,0.0008624750189483166
101,0.0008078395039774477
102,0.0006908502546139061
103,0.0004976794007234275
104,0.0011507670860737562
105,0.0010853208368644118
106,0.0008712651906535029
107,0.0005605705664493144
108,0.0008268525707535446
109,0.0006138887838460505
110,0.0004331764066591859
111,0.0010659433901309967
112,0.0010434903670102358
113,0.0010032702703028917
114,0.0007464319933205843
115,0.0011153925443068147
116,0.00100999535061419
117,0.0006483367178589106
118,0.0008014423656277359
119,0.0010643646819517016
120,0.0010990016162395477
121,0.0011178060667589307
122,0.0010674810037016869
123,0.0007211801130324602
124,0.0007960110669955611
125,0.0009037167765200138
126,0.000456271693110466
127,0.0005398300127126276
128,0.00047367886872962117
129,0.001096217310987413
130,0.0009504592162556946
