step,loss,soh_nll,soh_huber,kl,effective_kl_coefficient,future_voltage,endpoint,monotonic,prior_std_mean,posterior_std_mean,gradient_norm,validation_soh_rmse,validation_soh_nll,validation_soh_crps,selection_metric,validation_selection_score,best_validation_score,best_validation_soh_rmse,best_validation_soh_crps,best_step,stale_validations,elapsed_seconds,sampling_seconds,cells,current_cycles,betas
1,3.998936891555786,3.960472583770752,0.0008827751153148711,0.6439688205718994,2.0000000000000003e-06,0.18846982717514038,0.005911828950047493,0.00012321450049057603,0.09993931651115417,0.10001779347658157,162.94509887695312,0.08310177239120815,8.226217922711614,0.05252506873524544,crps,0.05252506873524544,0.05252506873524544,0.08310177239120815,0.05252506873524544,1,0,1.9885919359512627,0.1390045927837491,MATR_b1c29|MATR_b4c17|MATR_b3c41|MATR_b2c5|MATR_b1c45|MATR_b1c16|MATR_b3c4|MATR_b1c0,293|292|565|274|401|636|252|405,0.2559|0.6729|0.1813|0.3428|0.1369|0.2918|0.4182|0.3056
2,4.07320499420166,4.034259796142578,0.0007842416525818408,0.6511635780334473,4.000000000000001e-06,0.1922721117734909,0.0033002528361976147,0.00014476680371444672,0.09994155913591385,0.10003931820392609,145.30502319335938,,,,crps,,0.05252506873524544,0.08310177239120815,0.05252506873524544,1,0,2.194914333987981,0.08530256524682045,MATR_b3c22|MATR_b4c37|MATR_b3c21|MATR_b3c41|MATR_b1c28|MATR_b3c4|MATR_b3c4|MATR_b2c4,574|615|516|279|258|484|439|319,0.6493|0.1344|0.4971|0.5332|0.3356|0.5144|0.5950|0.1439
3,2.5804121494293213,2.5401625633239746,0.0007738153217360377,0.657819390296936,5.999999999999999e-06,0.1982947438955307,0.004299873951822519,0.00019883505592588335,0.09994781017303467,0.10005667060613632,144.2711181640625,,,,crps,,0.05252506873524544,0.08310177239120815,0.05252506873524544,1,0,2.411891267169267,0.12510194070637226,MATR_b4c39|MATR_b3c38|MATR_b1c17|MATR_b1c44|MATR_b2c28|MATR_b3c27|MATR_b2c27|MATR_b1c32,225|978|540|311|391|322|250|492,0.4989|0.1203|0.5417|0.2474|0.4998|0.5784|0.3464|0.1589
4,12.119743347167969,12.07264232635498,0.0012186587555333972,0.679391622543335,8.000000000000001e-06,0.23337796330451965,0.001726035843603313,0.0002826379204634577,0.09995345026254654,0.10007118433713913,225.3043670654297,,,,crps,,0.05252506873524544,0.08310177239120815,0.05252506873524544,1,0,2.5900358939543366,0.08514574123546481,MATR_b4c25|MATR_b2c31|MATR_b4c25|MATR_b2c14|MATR_b1c16|MATR_b1c23|MATR_b3c28|MATR_b1c9,418|327|218|402|502|685|240|596,0.5208|0.4984|0.5639|0.4345|0.5282|0.3938|0.5865|0.3006
5,5.420422077178955,5.3797712326049805,0.0009238026686944067,0.7108945846557617,1e-05,0.200874462723732,0.002805038820952177,0.00038419300108216703,0.09996728599071503,0.10008358210325241,174.9503936767578,,,,crps,,0.05252506873524544,0.08310177239120815,0.05252506873524544,1,0,2.773272647988051,0.09035397600382566,MATR_b2c13|MATR_b2c46|MATR_b4c19|MATR_b4c39|MATR_b4c38|MATR_b1c38|MATR_b1c45|MATR_b4c30,277|184|571|518|326|189|382|523,0.4218|0.3770|0.6346|0.4844|0.6318|0.3998|0.1022|0.4908
6,6.597077369689941,6.554681777954102,0.0008753627189435065,0.7485500574111938,1.1999999999999999e-05,0.20958812534809113,0.0028873260598629713,0.0004736183036584407,0.09994861483573914,0.10012438893318176,171.29791259765625,,,,crps,,0.05252506873524544,0.08310177239120815,0.05252506873524544,1,0,2.9617210030555725,0.09563283296301961,MATR_b1c33|MATR_b2c38|MATR_b4c25|MATR_b4c28|MATR_b3c28|MATR_b3c5|MATR_b1c24|MATR_b3c0,566|232|353|589|283|500|354|318,0.6128|0.1486|0.3804|0.6560|0.5885|0.5704|0.4170|0.4552
7,19.41842269897461,19.380329132080078,0.0014291157713159919,0.8494360446929932,1.4e-05,0.1872580349445343,0.003390112891793251,0.0006197530892677605,0.0999235063791275,0.10014478862285614,282.029052734375,,,,crps,,0.05252506873524544,0.08310177239120815,0.05252506873524544,1,0,3.150930933188647,0.09670865628868341,MATR_b1c1|MATR_b1c0|MATR_b3c5|MATR_b2c45|MATR_b4c24|MATR_b2c35|MATR_b2c14|MATR_b4c31,1040|634|591|187|765|196|386|581,0.4557|0.3819|0.4692|0.2251|0.1067|0.4005|0.5304|0.3222
8,1.1750073432922363,1.1374561786651611,0.0006306669674813747,0.9382579326629639,1.6000000000000003e-05,0.18538211286067963,0.0032532052136957645,0.0008229169179685414,0.09992165863513947,0.10014550387859344,114.9486083984375,,,,crps,,0.05252506873524544,0.08310177239120815,0.05252506873524544,1,0,3.2972476980648935,0.054487688932567835,MATR_b1c24|MATR_b1c20|MATR_b2c38|MATR_b4c38|MATR_b2c31|MATR_b2c32|MATR_b2c34|MATR_b3c8,416|317|355|620|396|331|146|180,0.5862|0.6557|0.2625|0.4830|0.4466|0.2690|0.2745|0.3798
9,5.672484397888184,5.635682582855225,0.0008647863287478685,1.0761191844940186,1.8e-05,0.1807810515165329,0.0044294991530478,0.0010055552702397108,0.09989854693412781,0.10016337037086487,162.2920379638672,,,,crps,,0.05252506873524544,0.08310177239120815,0.05252506873524544,1,0,3.476961840875447,0.0879261838272214,MATR_b2c47|MATR_b4c41|MATR_b2c20|MATR_b4c2|MATR_b2c44|MATR_b2c2|MATR_b2c47|MATR_b2c42,419|335|130|404|276|267|577|308,0.3222|0.5536|0.1003|0.3106|0.1271|0.5443|0.5189|0.4460
10,-0.08985856175422668,-0.12249886989593506,0.0005314163281582296,1.35147225856781,2e-05,0.16008251905441284,0.0047852639108896255,0.0011956172529608011,0.09988729655742645,0.10014753043651581,58.22541427612305,,,,crps,,0.05252506873524544,0.08310177239120815,0.05252506873524544,1,0,3.6350304149091244,0.06630636192858219,MATR_b3c5|MATR_b4c16|MATR_b1c15|MATR_b4c40|MATR_b1c1|MATR_b2c44|MATR_b1c20|MATR_b1c1,208|310|334|243|1392|288|253|585,0.2955|0.1355|0.6041|0.3662|0.2431|0.4204|0.1300|0.5021
