horizon_scheme,learning_rate,context_size,horizon,seeds_completed,pooled_lifetime_rmse_cycles_mean,pooled_lifetime_rmse_cycles_std,pooled_lifetime_mae_cycles_mean,pooled_lifetime_mae_cycles_std,pooled_lifetime_bias_cycles_mean,pooled_lifetime_bias_cycles_std,pooled_rul_mape_percent_mean,pooled_rul_mape_percent_std,pooled_coverage_mean,pooled_coverage_std,pooled_interval_width_cycles_mean,pooled_interval_width_cycles_std
expanded,2.5e-05,8,60,1,226.07917273935624,,140.09174524582798,,3.710397364117986,,18.89810333504085,,0.8224852071005917,,440.43733391916993,
expanded,2.5e-05,8,80,1,208.81223351676482,,131.03083520947226,,20.188945878309294,,19.645914990520243,,0.7928994082840237,,389.99217574313684,
expanded,2.5e-05,8,100,1,191.378445698728,,119.47896246574518,,20.210517022217516,,20.307365991216926,,0.7692307692307693,,329.3085845502014,
expanded,2.5e-05,8,120,1,181.3169558674817,,111.72568914677736,,12.250234830625226,,23.80546208184649,,0.7810650887573964,,289.6371607130675,
expanded,2.5e-05,8,140,1,158.99232647870775,,97.62301043075007,,-10.728688574069643,,51.05059411299791,,0.727810650887574,,261.32194952099655,
expanded,2.5e-05,8,160,1,149.32489990767598,,91.50454806144468,,-13.061254454683173,,13.212763784240552,,0.7380952380952381,,235.1885346109894,
expanded,2.5e-05,8,180,1,147.1864507688132,,89.00982284790032,,19.59617448005136,,13.709597872385379,,0.7321428571428571,,233.44280507096022,
expanded,2.5e-05,8,200,1,124.76367805102079,,76.71851780753968,,-6.124899451883734,,12.091144171180712,,0.7321428571428571,,203.11785893279406,
expanded,2.5e-05,8,220,1,128.80399557328874,,80.35203418250991,,14.633411729253098,,13.305705922645073,,0.7083333333333334,,210.96082971854162,
expanded,2.5e-05,8,240,1,111.85277664519762,,71.13736192663679,,-11.328796022540473,,12.214422447080809,,0.7142857142857143,,189.77253889102633,
expanded,2.5e-05,8,260,1,107.06525662518675,,66.84623631475166,,-6.346319130672141,,12.417534645139778,,0.7261904761904762,,186.16157689719128,
expanded,2.5e-05,8,280,1,104.98205374602865,,67.57431885288852,,0.5386701628159049,,13.679855339999888,,0.7142857142857143,,181.23546702259668,
expanded,2.5e-05,8,300,1,99.76225988560321,,63.56892478792126,,-16.37201023543912,,13.470643163264434,,0.688622754491018,,156.60144932516158,
expanded,2.5e-05,8,320,1,96.67146469362116,,60.51549691865968,,-0.3434633351924788,,15.598501591078367,,0.6946107784431138,,155.33176628189793,
expanded,2.5e-05,8,340,1,97.25963265753103,,59.63593861737882,,-11.314168872990654,,13.068309906254132,,0.7048192771084337,,146.25991327914434,
expanded,2.5e-05,8,360,1,97.02226463022076,,58.65002349605153,,-12.408357973864437,,13.679016782724293,,0.6927710843373494,,140.2080974763384,
expanded,2.5e-05,8,380,1,94.58654134612296,,56.234866519169984,,-6.925485245415253,,14.927589798682241,,0.6506024096385542,,138.4187099491758,
expanded,2.5e-05,8,400,1,95.60210401743579,,57.28807254703806,,-5.904105302826881,,17.161741928562723,,0.6265060240963856,,132.54196336486612,
expanded,2.5e-05,8,420,1,93.04539809893701,,56.08950001905258,,-14.811881240039929,,23.180289352795743,,0.6144578313253012,,124.94289116157404,
expanded,2.5e-05,8,440,1,92.39257412660324,,55.06845105545265,,-9.515343564178563,,28.20740161508181,,0.6257668711656442,,123.77472209161499,
expanded,2.5e-05,8,460,1,92.4984961188071,,57.41768077603553,,-8.833949050437528,,34.82455516844411,,0.6258064516129033,,127.39182344447562,
expanded,2.5e-05,8,480,1,96.95588076094296,,61.65694273755513,,-3.9052726088639975,,39.349581053802886,,0.6180555555555556,,127.24292636560565,
expanded,2.5e-05,8,500,1,96.70927678269766,,62.15025876905783,,-15.395045244481931,,31.185511103700975,,0.6212121212121212,,127.65477499795405,
expanded,2.5e-05,8,520,1,91.88610352605143,,63.2834855118917,,-2.2772054306651786,,27.182727727541135,,0.56,,131.6770737144497,
expanded,2.5e-05,8,540,1,90.20721576925769,,64.82336136302281,,-1.6580128521234827,,22.013187765170812,,0.55,,134.39284096039742,
expanded,2.5e-05,8,560,1,89.38576180770205,,62.17346060852091,,-13.479265192528826,,21.38778371420654,,0.5897435897435898,,130.41759053892108,
expanded,2.5e-05,8,580,1,85.04384372737852,,58.29884413073666,,-11.191135282049515,,24.727638061308653,,0.6068376068376068,,125.80995584962025,
expanded,2.5e-05,8,600,1,87.47627463525045,,58.65118538389655,,-3.6673235179047117,,31.388688915297447,,0.591304347826087,,130.84244194705357,
expanded,2.5e-05,12,60,1,225.10622470818478,,138.96919416653404,,-3.2364809028634984,,18.60906070706201,,0.8284023668639053,,441.0029642155305,
expanded,2.5e-05,12,80,1,207.2306227705656,,130.20102569904486,,13.863810065725428,,19.42359894114056,,0.7928994082840237,,382.96407120633734,
expanded,2.5e-05,12,100,1,189.34115885048988,,118.16542192216566,,9.872607798269655,,19.928546936882427,,0.7692307692307693,,325.83722739695105,
expanded,2.5e-05,12,120,1,181.36762323940434,,111.60107731499136,,6.575643038728409,,23.711695345508133,,0.7751479289940828,,286.53464804088424,
expanded,2.5e-05,12,140,1,160.34600078804877,,97.58432899363174,,-6.974587430649143,,51.86831830547018,,0.727810650887574,,262.32646867073214,
expanded,2.5e-05,12,160,1,150.5972821993669,,91.78649969673671,,-11.029815654359059,,13.258385347600795,,0.7321428571428571,,235.04044978341872,
expanded,2.5e-05,12,180,1,142.0631725475756,,85.3423993119811,,8.28933961894564,,13.040166034348688,,0.7440476190476191,,227.87714417838313,
expanded,2.5e-05,12,200,1,124.3425294638799,,77.05800624177849,,-3.564201968657881,,12.193133373295659,,0.7083333333333334,,204.86221153875954,
expanded,2.5e-05,12,220,1,128.26796893693114,,80.4844828414829,,10.039027792143662,,13.305573667594428,,0.7142857142857143,,208.65446904615177,
expanded,2.5e-05,12,240,1,112.27745333461723,,71.0795255892165,,-11.40781429578154,,12.22916993932828,,0.7083333333333334,,189.29307937659647,
expanded,2.5e-05,12,260,1,107.76119140744936,,67.494663713946,,-7.0139564114234885,,12.563633432582549,,0.7321428571428571,,186.76552194434788,
expanded,2.5e-05,12,280,1,105.54160175952468,,67.28124974791861,,-1.5597668290654565,,13.552731180066383,,0.7202380952380952,,180.1884868697211,
expanded,2.5e-05,12,300,1,98.97602596469251,,63.41861914389027,,-13.904654862230421,,13.508535146726203,,0.6826347305389222,,157.10139208379616,
expanded,2.5e-05,12,320,1,97.37219247204678,,61.426344181751,,-2.3199426039125353,,15.638987956204636,,0.6946107784431138,,154.14347969214558,
expanded,2.5e-05,12,340,1,97.4209960771493,,59.301013045404545,,-11.21030835365763,,12.98640068027147,,0.7228915662650602,,146.44411355181273,
expanded,2.5e-05,12,360,1,96.48719488733755,,58.77623570977562,,-10.603528696018717,,13.746899207529076,,0.6927710843373494,,141.3947578404132,
expanded,2.5e-05,12,380,1,95.27627374178569,,57.00152594262555,,-7.9086110603354305,,15.077031593169387,,0.6566265060240963,,138.16982241492306,
expanded,2.5e-05,12,400,1,94.80304643908265,,57.36297156864667,,-4.452050414812712,,17.274646664204585,,0.6325301204819277,,133.96912539567407,
expanded,2.5e-05,12,420,1,93.20535325660663,,55.64750841383185,,-14.706501523897051,,22.129403130129756,,0.6144578313253012,,125.24371374316883,
expanded,2.5e-05,12,440,1,91.574792847641,,54.63283448907831,,-10.419140628973691,,27.790264474148184,,0.6257668711656442,,122.66622339147031,
expanded,2.5e-05,12,460,1,91.64504474925016,,56.47236310912857,,-11.130968814907916,,35.53379432217351,,0.6064516129032258,,124.4776320410898,
expanded,2.5e-05,12,480,1,95.97920942643984,,60.40607236231129,,-8.898410127723334,,39.30459645479294,,0.6180555555555556,,124.9918639297535,
expanded,2.5e-05,12,500,1,94.83064666826328,,62.484319810883335,,-9.74108619721285,,30.315771780542082,,0.5984848484848485,,130.200455815934,
expanded,2.5e-05,12,520,1,92.727505715492,,64.14264731292263,,-2.2749707077711143,,27.155654755815966,,0.584,,132.2141629398362,
expanded,2.5e-05,12,540,1,89.59272188083786,,62.81391236555467,,-7.250996079634294,,21.283919469451995,,0.575,,132.27471481684503,
expanded,2.5e-05,12,560,1,88.22337292952943,,61.1005976902302,,-10.898242950566548,,21.23072107850009,,0.5897435897435898,,131.2854001972439,
expanded,2.5e-05,12,580,1,85.75496270313837,,57.858524618248516,,-12.863365556118412,,24.15245891201127,,0.6153846153846154,,125.88626072122103,
expanded,2.5e-05,12,600,1,85.44228315920637,,57.334614008928995,,-10.324903244892788,,30.880153567502166,,0.6260869565217392,,128.63868834938776,
expanded,2.5e-05,16,60,1,229.02238632241955,,141.0495963643913,,0.6984371254817265,,18.955450612446988,,0.8284023668639053,,444.1102021304563,
expanded,2.5e-05,16,80,1,207.39607271350744,,129.55606253582772,,7.416984291866523,,19.164293081576588,,0.7928994082840237,,382.0092873319449,
expanded,2.5e-05,16,100,1,189.51844392712786,,118.12099901431834,,9.299133409439817,,19.946128825586474,,0.7633136094674556,,322.63451515296964,
expanded,2.5e-05,16,120,1,182.46682410016936,,112.39710195500041,,3.585793415055652,,23.76190336860937,,0.7751479289940828,,285.31629920338685,
expanded,2.5e-05,16,140,1,159.7277067248238,,97.50549857723293,,-5.210167664404328,,51.803843874064434,,0.727810650887574,,263.3256427614704,
expanded,2.5e-05,16,160,1,152.00229589519898,,92.0953364367727,,-8.242135979505845,,13.350952417011852,,0.7321428571428571,,236.38016856610218,
expanded,2.5e-05,16,180,1,140.8398243764874,,85.15081361856917,,6.372683283175366,,13.002528690372461,,0.7321428571428571,,228.2167634445688,
expanded,2.5e-05,16,200,1,123.51815939248085,,76.72998158704351,,-4.565644329766865,,12.147720361139374,,0.7023809523809523,,204.66492421691987,
expanded,2.5e-05,16,220,1,128.35382203930328,,80.22568896698883,,10.929159287291546,,13.262795474423994,,0.6964285714285714,,208.09310981414325,
expanded,2.5e-05,16,240,1,112.1943043574254,,71.23819168387656,,-8.897601089983493,,12.31377988060925,,0.7202380952380952,,190.57884245647864,
expanded,2.5e-05,16,260,1,108.01887772060884,,68.10317509234521,,-7.393802758335458,,12.618453039589541,,0.7380952380952381,,187.80277834243134,
expanded,2.5e-05,16,280,1,105.62136065462443,,67.30315231924868,,-1.6669767781804539,,13.586952460865339,,0.7142857142857143,,180.44789700709245,
expanded,2.5e-05,16,300,1,98.73535813341107,,62.94696748416311,,-12.369345833941138,,13.344037897278904,,0.7005988023952096,,157.82994949919677,
expanded,2.5e-05,16,320,1,96.9000362943231,,61.124610503921936,,-4.5478145743127065,,15.513488051762778,,0.7065868263473054,,154.28827148698525,
expanded,2.5e-05,16,340,1,97.65616438230182,,59.42611206187834,,-11.028665207705934,,12.99654747508702,,0.7108433734939759,,146.54730773731984,
expanded,2.5e-05,16,360,1,95.82954818696498,,58.32496256256881,,-10.075251541294088,,13.742247941240244,,0.6987951807228916,,140.99075344519662,
expanded,2.5e-05,16,380,1,94.94839596361012,,56.552359525920835,,-8.095151588304665,,14.942508911223824,,0.6626506024096386,,137.47894685245635,
expanded,2.5e-05,16,400,1,95.0297296453423,,57.260393224738834,,-5.769124858974922,,17.190362727419082,,0.6566265060240963,,133.5389482280605,
expanded,2.5e-05,16,420,1,93.08292502191529,,55.507411918249964,,-14.635066725409823,,21.87940059028418,,0.6265060240963856,,125.41417440757851,
