horizon_scheme,seed,learning_rate,fold,context_size,run_tag,run_dir,evaluation_dir,prediction_csv,best_step,best_validation_rmse_cycles,mean_horizon_lifetime_rmse_cycles,mean_horizon_lifetime_mae_cycles,mean_rmse_below_training_range_cycles,mean_rmse_at_trained_horizons_cycles,mean_rmse_above_training_range_cycles,pooled_lifetime_rmse_cycles,pooled_lifetime_mae_cycles,pooled_lifetime_bias_cycles,pooled_coverage,pooled_interval_width_cycles,num_predictions,num_test_cells,num_evaluation_horizons,num_valid_horizons,num_skipped_horizons,minimum_actual_context_cells,mean_actual_context_cells,status,error
original,62,0.0001,3,12,horiginal_s62_lr0p0001_f3,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s62_lr0p0001_f3/20260830_203703_850710_f3_life_iv_base_s62,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s62_lr0p0001_f3/context_12,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s62_lr0p0001_f3/context_12/per_cell_predictions.csv,2000,144.2642098697146,243.52602569884723,180.96672261654098,543.1973196998669,133.60999329331347,284.17494359610276,270.5694793367116,167.531822911179,-35.142487056655106,0.6123662306777645,274.7029307972004,841,34,28,28,0,12,12.0,completed,
original,62,0.0001,3,16,horiginal_s62_lr0p0001_f3,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s62_lr0p0001_f3/20260830_203703_850710_f3_life_iv_base_s62,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s62_lr0p0001_f3/context_16,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s62_lr0p0001_f3/context_16/per_cell_predictions.csv,2000,144.2642098697146,243.06959568624524,180.9566753064301,544.7655264289086,131.6812070660235,284.52828990871933,270.67783347426416,167.39851325079346,-35.998040559428475,0.6171224732461356,274.0403319639498,841,34,28,28,0,16,16.0,completed,
original,62,0.0001,4,8,horiginal_s62_lr0p0001_f4,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s62_lr0p0001_f4/20260830_204514_526781_f4_life_iv_base_s62,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s62_lr0p0001_f4/context_8,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s62_lr0p0001_f4/context_8/per_cell_predictions.csv,7500,103.53521297909155,215.12408239154612,165.9876783789679,344.1431633985495,142.479421569264,251.1942895269525,229.75517866684524,155.12117858965328,-44.711468282795195,0.35397196261682246,138.00678764980773,856,33,28,28,0,8,8.0,completed,
original,62,0.0001,4,12,horiginal_s62_lr0p0001_f4,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s62_lr0p0001_f4/20260830_204514_526781_f4_life_iv_base_s62,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s62_lr0p0001_f4/context_12,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s62_lr0p0001_f4/context_12/per_cell_predictions.csv,7500,103.53521297909155,213.1242066367979,164.57052425301006,329.31931522897594,141.7024948723529,250.00744745176718,227.01003140440156,153.642036781288,-46.92655702557287,0.352803738317757,137.39422878344732,856,33,28,28,0,12,12.0,completed,
original,62,0.0001,4,16,horiginal_s62_lr0p0001_f4,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s62_lr0p0001_f4/20260830_204514_526781_f4_life_iv_base_s62,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s62_lr0p0001_f4/context_16,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s62_lr0p0001_f4/context_16/per_cell_predictions.csv,7500,103.53521297909155,213.03628976316242,164.56336769972833,332.50281433253974,141.15329426545298,249.82161651889894,226.96529565025742,153.66659195093487,-46.39231757048446,0.35864485981308414,137.62559305001267,856,33,28,28,0,16,16.0,completed,
expanded,42,2.5e-05,0,8,hexpanded_s42_lr2p5em05_f0,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f0/20260830_205705_682701_f0_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f0/context_8,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f0/context_8/per_cell_predictions.csv,11500,116.71563630508727,112.130655303946,75.64843526789996,,112.130655303946,,121.10617045361683,76.45229958966041,4.973813957797662,0.7347391786903441,205.3279044486959,901,34,28,28,0,8,8.0,completed,
expanded,42,2.5e-05,0,12,hexpanded_s42_lr2p5em05_f0,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f0/20260830_205705_682701_f0_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f0/context_12,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f0/context_12/per_cell_predictions.csv,11500,116.71563630508727,111.21070595822509,74.99742509688808,,111.21070595822509,,120.27480420639587,75.80028423817028,2.8005020625767947,0.730299667036626,204.23286184696113,901,34,28,28,0,12,12.0,completed,
expanded,42,2.5e-05,0,16,hexpanded_s42_lr2p5em05_f0,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f0/20260830_205705_682701_f0_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f0/context_16,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f0/context_16/per_cell_predictions.csv,11500,116.71563630508727,111.31696556785346,75.16677590956715,,111.31696556785346,,120.5927929397684,75.96564243120932,2.8760469089595424,0.7314095449500555,203.93152673532396,901,34,28,28,0,16,16.0,completed,
expanded,42,2.5e-05,1,8,hexpanded_s42_lr2p5em05_f1,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f1/20260830_211727_379867_f1_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f1/context_8,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f1/context_8/per_cell_predictions.csv,15500,119.16271510641599,94.31638001794337,71.89500041969154,,94.31638001794337,,96.411178522367,72.23908283864209,-4.451094459034685,0.5314606741573034,154.59293649961788,890,34,28,28,0,8,8.0,completed,
expanded,42,2.5e-05,1,12,hexpanded_s42_lr2p5em05_f1,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/hexpanded_s42_lr2p5em05_f1/20260830_211727_379867_f1_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f1/context_12,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/hexpanded_s42_lr2p5em05_f1/context_12/per_cell_predictions.csv,15500,119.16271510641599,93.85749675794943,71.61393931048106,,93.85749675794943,,95.8942020731117,71.96960547810347,-5.498175202409029,0.5370786516853933,153.67828589979808,890,34,28,28,0,12,12.0,completed,
