step,support_loss
1,0.0007720087887719274
2,0.00011717424786183983
3,5.124395102029666e-05
4,0.00012100512685719877
5,0.00045986895565874875
6,0.00014741999621037394
7,5.4654330597259104e-05
8,0.0001194802753161639
9,0.0005276301526464522
10,6.509739614557475e-05
11,0.00028035606374032795
12,0.00010653447679942474
13,0.0006360830157063901
14,0.0005132929072715342
15,0.0003050989471375942
16,6.635367026319727e-05
17,0.0004762207099702209
18,0.0003735980426426977
19,0.0003439502906985581
20,0.00032140841358341277
21,0.00014093458594288677
22,6.346324516925961e-05
23,0.0001220144986291416
