step,support_loss
1,0.019498253241181374
2,0.016953952610492706
3,0.02169005386531353
4,0.08444886654615402
5,0.34298890829086304
6,1.1722151041030884
7,3.616462230682373
8,0.8103129863739014
9,0.753534734249115
10,0.06903942674398422
11,0.06547576189041138
12,0.028080657124519348
13,0.03680207207798958
14,0.032327376306056976
15,0.03189939633011818
16,0.016185099259018898
17,0.01179439015686512
18,0.02013583481311798
19,0.02559056133031845
20,0.015450428240001202
21,0.01887587271630764
22,0.011222454719245434
23,0.016675978899002075
24,0.012186464853584766
25,0.018142949789762497
26,0.02234005555510521
27,0.020412107929587364
28,0.014274729415774345
29,0.01206678431481123
30,0.012227660976350307
31,0.00925510749220848
32,0.011130624450743198
33,0.012054480612277985
34,0.016033517196774483
35,0.014017514884471893
36,0.007248071022331715
37,0.010753423906862736
38,0.013751230202615261
39,0.00962594710290432
40,0.009065760299563408
41,0.006620814558118582
42,0.012645016424357891
43,0.011476968415081501
44,0.0116650415584445
45,0.00691959448158741
46,0.008153392001986504
47,0.0056887115351855755
48,0.008329513482749462
49,0.009469375014305115
50,0.005667608231306076
51,0.009776079095900059
52,0.006543952971696854
53,0.007920834235846996
54,0.006114518269896507
55,0.00544012151658535
56,0.007039143703877926
57,0.005776489153504372
58,0.0037623450625687838
59,0.004162726458162069
60,0.00766625115647912
61,0.005628768354654312
62,0.005210963077843189
63,0.0051750005222857
64,0.005553636234253645
65,0.004029847215861082
66,0.0033818634692579508
67,0.004870757460594177
68,0.005331540014594793
69,0.003376337932422757
70,0.001624751603230834
71,0.004113326780498028
72,0.00481374142691493
73,0.0046229492872953415
74,0.0035800670739263296
75,0.006007727235555649
76,0.005619227420538664
77,0.005304909776896238
78,0.004164022859185934
79,0.0038266826886683702
80,0.004752872511744499
81,0.003775289747864008
82,0.0033319112844765186
83,0.0033076659310609102
84,0.0016910780686885118
85,0.003154517151415348
86,0.0027265152893960476
87,0.002637022640556097
88,0.004224593285471201
89,0.002598840743303299
90,0.004150788765400648
