step,support_loss,is_reported_step
1,0.25693562626838684,True
2,0.007105608936399221,False
3,0.005569601431488991,True
4,0.003810054622590542,False
5,0.004003247246146202,True
6,0.004053894430398941,False
7,0.004167431034147739,False
8,0.004277787171304226,False
9,0.003346080193296075,False
10,0.0032109140884131193,True
11,0.0032836822792887688,False
12,0.004198272246867418,False
13,0.003071104409173131,False
14,0.0026156152598559856,False
15,0.0025245160795748234,True
16,0.003766015637665987,False
17,0.0028651852626353502,False
18,0.0026348307728767395,False
19,0.002742290962487459,False
20,0.002203830052167177,True
