step,loss,nll,kl,kl_weight,gradient_norm,optimizer_step_skipped,amp_scale_before,amp_scale_after,batch_sampling_attempts,batch_sampling_seconds,batch_collation_seconds,batch_transfer_seconds,batch_cells,batch_current_cycles,batch_betas,context_points_min,context_points_max,target_points_min,target_points_max,target_soh_raw_min,target_soh_raw_max,target_normalized_min,target_normalized_max,prediction_mean_min,prediction_mean_max,prediction_std_min,prediction_std_max,prior_std_min,prior_std_max,posterior_std_min,posterior_std_max,iv_observed_fraction_mean,gpu_allocated_mb,gpu_reserved_mb,learning_rate,validation_rmse,elapsed_seconds,validation_cell_rmse,nonfinite_gradient_parameters
2434,0.024755029007792473,0.022978775203227997,0.00364883616566658,0.4868,644.0143432617188,False,256.0,256.0,16,0.0059418142773211,0.0007334048859775066,0.00040737399831414223,HUST_4-8|HUST_5-3|HUST_10-4|HUST_7-4|HUST_8-6|HUST_3-6|HUST_4-1|HUST_5-7|HUST_4-5|HUST_2-6|HUST_6-1|HUST_2-8|HUST_6-2|HUST_8-1|HUST_9-7|HUST_4-6,481|877|1151|422|1461|1533|1175|1132|967|833|784|1056|1465|923|770|411,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,17,125,128,128,0.8118593181818177,1.0725315631313126,-2.3804879188537598,0.8919516801834106,-2.3984375,0.90283203125,0.03356459364295006,0.2945879101753235,0.04894315451383591,0.3353244662284851,0.04894315451383591,0.335463285446167,0.0,80.02392578125,3392.0,0.0001,,881.7121691443026,,
2435,-0.3181600272655487,-0.3195415437221527,0.002836812287569046,0.487,373.4229431152344,False,256.0,256.0,16,0.005815145093947649,0.0007453076541423798,0.00039624422788619995,HUST_2-3|HUST_9-8|HUST_7-1|HUST_8-7|HUST_4-4|HUST_10-4|HUST_6-1|HUST_6-1|HUST_2-6|HUST_1-4|HUST_2-6|HUST_10-1|HUST_2-2|HUST_2-8|HUST_9-2|HUST_9-1,912|1229|1141|429|699|766|507|350|1256|1036|816|1079|1886|877|528|907,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14,123,128,128,0.81275236363636,1.07415207070707,-2.369276762008667,0.9122952818870544,-2.65625,0.87841796875,0.035298049449920654,0.23666568100452423,0.04912635684013367,0.3349084258079529,0.04903467372059822,0.33504706621170044,0.0,79.95361328125,3392.0,0.0001,,882.0748227061704,,
2436,-0.8364750146865845,-0.8381080627441406,0.003351910039782524,0.4872,209.1828155517578,False,256.0,256.0,16,0.005601115059107542,0.004645301960408688,0.0003871861845254898,HUST_10-8|HUST_2-5|HUST_2-6|HUST_10-1|HUST_8-5|HUST_10-4|HUST_9-2|HUST_9-1|HUST_1-4|HUST_2-3|HUST_8-6|HUST_2-2|HUST_10-3|HUST_2-8|HUST_8-5|HUST_6-2,1083|518|552|498|991|651|573|420|363|937|725|1032|1244|753|731|1234,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9,117,128,128,0.812708194444444,1.0865521843434347,-2.369831085205078,1.0679644346237183,-2.55078125,1.00390625,0.032760996371507645,0.2828689515590668,0.04949480667710304,0.3358798921108246,0.04940243810415268,0.3360188901424408,0.0,79.74169921875,3392.0,0.0001,,882.4240247122943,,
2437,-0.8875508308410645,-0.8891854882240295,0.0033538714051246643,0.4874,313.3688049316406,False,256.0,256.0,16,0.006034537218511105,0.0007103118114173412,0.00040183402597904205,HUST_2-8|HUST_6-8|HUST_2-2|HUST_8-2|HUST_10-5|HUST_8-7|HUST_1-8|HUST_10-2|HUST_4-6|HUST_2-3|HUST_6-8|HUST_9-8|HUST_6-2|HUST_2-6|HUST_2-3|HUST_6-1,582|741|733|1224|1234|444|761|541|523|662|1897|1055|1332|393|827|883,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,12,122,128,128,0.8144234141414173,1.0749154722222238,-2.3482985496520996,0.9218789339065552,-2.587890625,0.8798828125,0.034260161221027374,0.31452441215515137,0.04986601322889328,0.3362969756126404,0.049587350338697433,0.336714506149292,0.0,79.91845703125,3392.0,0.0001,,882.7832351271063,,
2438,-1.04974365234375,-1.0511491298675537,0.002882525324821472,0.4876,88.28479766845703,False,256.0,256.0,16,0.005587689112871885,0.0007043709047138691,0.00039229588583111763,HUST_10-8|HUST_10-3|HUST_10-8|HUST_8-1|HUST_7-8|HUST_5-3|HUST_2-3|HUST_6-2|HUST_1-4|HUST_6-5|HUST_7-4|HUST_9-7|HUST_2-6|HUST_9-3|HUST_9-3|HUST_4-6,422|1024|889|687|1257|1649|443|1233|666|1515|327|1198|1242|689|469|840,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,29,124,128,128,0.8115353888888837,1.0793055101010085,-2.384554386138916,0.976990818977356,-2.408203125,0.89501953125,0.03684599697589874,0.24775688350200653,0.05005265399813652,0.3375508785247803,0.05005265399813652,0.3376903831958771,0.0,79.98876953125,3392.0,0.0001,,883.1481813592836,,
2439,-0.9217222929000854,-0.9236657619476318,0.003984151408076286,0.4878,58.72404098510742,False,256.0,256.0,16,0.005430213641375303,0.0006862971931695938,0.00039360905066132545,HUST_2-2|HUST_8-8|HUST_8-4|HUST_5-7|HUST_6-1|HUST_10-2|HUST_3-5|HUST_9-4|HUST_9-1|HUST_1-6|HUST_6-2|HUST_2-5|HUST_8-7|HUST_4-5|HUST_3-6|HUST_4-8,838|999|543|956|1009|779|1589|453|1326|685|606|954|738|602|884|487,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,123,128,128,0.8137709772727303,1.0816857702020197,-2.3564891815185547,1.0068721771240234,-2.447265625,0.96728515625,0.03445238247513771,0.29733186960220337,0.050239987671375275,0.33838891983032227,0.050239987671375275,0.33838891983032227,0.0,79.95361328125,3392.0,0.0001,,883.5098390430212,,
2440,-1.2525372505187988,-1.2546430826187134,0.004315337166190147,0.488,88.7835464477539,False,256.0,256.0,16,0.005931193009018898,0.0007034488953649998,0.0004064231179654598,HUST_5-7|HUST_4-8|HUST_5-3|HUST_7-8|HUST_8-4|HUST_2-3|HUST_10-2|HUST_2-2|HUST_1-4|HUST_7-8|HUST_10-5|HUST_10-5|HUST_9-3|HUST_10-3|HUST_1-2|HUST_9-4,777|1236|955|1526|1231|539|587|995|400|990|584|762|522|405|898|629,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,19,128,128,128,0.8115353888888837,1.0759762878787864,-2.384554386138916,0.9351962208747864,-2.330078125,0.88623046875,0.03471038118004799,0.23584678769111633,0.050711389631032944,0.3382491171360016,0.050616759806871414,0.3385288119316101,0.0,80.12939453125,3392.0,0.0001,,883.8857040721923,,
2441,-1.0887278318405151,-1.0906490087509155,0.003935309126973152,0.4882,155.07672119140625,False,256.0,256.0,16,0.00517340237274766,0.0006846636533737183,0.00038621528074145317,HUST_8-4|HUST_8-4|HUST_4-1|HUST_1-8|HUST_2-8|HUST_8-8|HUST_8-7|HUST_9-1|HUST_4-7|HUST_8-8|HUST_9-8|HUST_2-8|HUST_4-7|HUST_6-4|HUST_5-6|HUST_9-2,1153|1272|509|631|467|625|1055|1033|1646|815|550|776|512|582|880|1532,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,15,120,128,128,0.8129530303030258,1.0888362525252477,-2.36675763130188,1.0966383218765259,-2.478515625,1.0302734375,0.03516659140586853,0.2908814251422882,0.050996340811252594,0.33894863724708557,0.050996340811252594,0.3392287790775299,0.0,79.84716796875,3392.0,0.0001,,884.2395168440416,,
2442,-0.7041148543357849,-0.7054694890975952,0.002773646265268326,0.4884,93.25234985351562,False,256.0,256.0,16,0.005734454840421677,0.0007189977914094925,0.0004143770784139633,HUST_2-3|HUST_6-5|HUST_7-4|HUST_3-6|HUST_1-2|HUST_10-5|HUST_1-4|HUST_7-8|HUST_9-5|HUST_2-5|HUST_4-6|HUST_2-6|HUST_6-1|HUST_9-5|HUST_6-2|HUST_1-2,1180|1174|971|1756|1873|927|997|1223|1613|1093|856|517|916|1196|1406|1824,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,21,124,128,128,0.8115353888888837,1.0629470909090901,-2.384554386138916,0.7716296911239624,-2.48828125,0.75,0.04015049338340759,0.25097841024398804,0.051378753036260605,0.3400703966617584,0.05128287896513939,0.34021082520484924,0.0,79.98876953125,3392.0,0.0001,,884.604275463149,,
2443,-1.1550192832946777,-1.1564323902130127,0.0028922390192747116,0.4886,68.90694427490234,False,256.0,256.0,16,0.006092955823987722,0.0007913741283118725,0.0003938591107726097,HUST_4-7|HUST_6-1|HUST_2-3|HUST_2-6|HUST_9-8|HUST_4-7|HUST_9-3|HUST_8-7|HUST_4-5|HUST_9-1|HUST_10-1|HUST_5-3|HUST_10-4|HUST_8-6|HUST_7-8|HUST_6-2,866|612|858|705|1630|1715|1327|1179|964|1140|1169|1844|750|1805|1326|1521,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,118,128,128,0.8115353888888837,1.063825494949491,-2.384554386138916,0.7826570272445679,-2.30078125,0.79736328125,0.03705289214849472,0.22095420956611633,0.05157103016972542,0.34035131335258484,0.05157103016972542,0.3407730758190155,0.0,79.77685546875,3392.0,0.0001,,884.952131011989,,
