iteration,source,support_loss,query_loss,path_mean_query_loss,path_dispersion,path_worst_query_loss,alpha,query_loss_step_1,query_loss_step_3,query_loss_step_5,query_loss_step_10
1,CALCE_CX2_16.pkl,0.181146427989006,0.194510668516159,0.1122824847698211,0.1235062703490257,0.3176889717578888,0.0200307313352823,0.3176889717578888,0.0997438728809356,0.0216475985944271,0.0100494977086782
1,CALCE_CX2_33.pkl,0.186092123389244,0.16071417927742,0.0951125770807266,0.0973782688379287,0.2601407170295715,0.0011749806581065,0.2601407170295715,0.0718071982264518,0.0168321710079908,0.0316702276468277
1,CALCE_CX2_34.pkl,0.1857663691043853,0.1459606289863586,0.0878921300172805,0.0859619379043579,0.2342041432857513,0.1292411535978317,0.2342041432857513,0.0608122535049915,0.0158421918749809,0.0407099388539791
1,CALCE_CX2_35.pkl,0.1963296383619308,0.1739549338817596,0.1022541970014572,0.1064646020531654,0.2825925350189209,0.0791106522083282,0.2825925350189209,0.0774274691939354,0.0171253010630607,0.0318714790046215
1,CALCE_CX2_36.pkl,0.185020238161087,0.1359201669692993,0.0820324420928955,0.079760231077671,0.2178230732679367,0.0018445904133841,0.2178230732679367,0.0534701757133007,0.0135358748957514,0.0433006472885608
1,CALCE_CX2_38.pkl,0.1868845671415329,0.13825024664402,0.0916023105382919,0.0693581774830818,0.2088359147310257,0.7685979008674622,0.2088359147310257,0.0578732639551162,0.0289406441152095,0.0707594156265258
2,CALCE_CX2_16.pkl,0.1683795899152755,0.1799829006195068,0.1028839871287345,0.1154002919793129,0.2958793044090271,0.020121382549405,0.2958793044090271,0.0874617174267768,0.0170871615409851,0.0111077716574072
2,CALCE_CX2_33.pkl,0.1732176542282104,0.1483692377805709,0.0878515094518661,0.0895970612764358,0.2403254061937332,0.0028113771695643,0.2403254061937332,0.0618800371885299,0.0149473715573549,0.0342532098293304
2,CALCE_CX2_34.pkl,0.1731422394514084,0.1351610869169235,0.0817519575357437,0.0789702534675598,0.2164182364940643,0.1257117688655853,0.2164182364940643,0.0524061545729637,0.0148989055305719,0.0432845391333103
2,CALCE_CX2_35.pkl,0.1828831434249878,0.160678893327713,0.0942394062876701,0.098408818244934,0.2615885436534881,0.0783379152417182,0.2615885436534881,0.0670430734753608,0.0149303581565618,0.0333956331014633
2,CALCE_CX2_36.pkl,0.1718838065862655,0.1251762062311172,0.0759727358818054,0.0728109553456306,0.1999756544828415,0.0005250885151326,0.1999756544828415,0.0451659001410007,0.0129850236698985,0.0457643494009971
2,CALCE_CX2_38.pkl,0.1741297096014022,0.1290169954299926,0.0868285298347473,0.0629890859127044,0.1925933510065078,0.7724924683570862,0.1925933510065078,0.0515641830861568,0.0297195091843605,0.0734370872378349
3,CALCE_CX2_16.pkl,0.1559781283140182,0.1653320491313934,0.0935712307691574,0.107035219669342,0.2735792994499206,0.0201952923089265,0.2735792994499206,0.0753759071230888,0.0132008390501141,0.0121288783848285
3,CALCE_CX2_33.pkl,0.1604669094085693,0.1364565193653106,0.0807762444019317,0.0822824761271476,0.2212148606777191,0.0033980323933064,0.2212148606777191,0.0531070716679096,0.0135606843978166,0.0352223515510559
3,CALCE_CX2_34.pkl,0.1602343767881393,0.1240964904427528,0.0755083113908767,0.0718132629990577,0.1980477720499038,0.1247977837920188,0.1980477720499038,0.0445037670433521,0.0145405083894729,0.0449411794543266
3,CALCE_CX2_35.pkl,0.1695700734853744,0.148104727268219,0.0868785679340362,0.0904849916696548,0.2412982434034347,0.0780173763632774,0.2412982434034347,0.0572877377271652,0.0135548273101449,0.0353734567761421
3,CALCE_CX2_36.pkl,0.1593692153692245,0.1147515401244163,0.0703159198164939,0.0658283904194831,0.1822300255298614,0.0,0.1822300255298614,0.0377947352826595,0.0133057013154029,0.0479332208633422
3,CALCE_CX2_38.pkl,0.1611992865800857,0.1196748316287994,0.0819168388843536,0.056735411286354,0.1762133985757827,0.7735915184020996,0.1762133985757827,0.0454774871468544,0.030826698988676,0.0751497521996498
4,CALCE_CX2_16.pkl,0.1435404270887375,0.150634691119194,0.0843589752912521,0.0985085591673851,0.2509532868862152,0.020219711586833,0.2509532868862152,0.0635303854942321,0.0099779674783349,0.0129742585122585
4,CALCE_CX2_33.pkl,0.1476498693227768,0.124374009668827,0.0738502070307731,0.0745406448841095,0.2014047801494598,0.0032112128101289,0.2014047801494598,0.0442059151828289,0.0129973590373992,0.0367927812039852
4,CALCE_CX2_34.pkl,0.1477649062871933,0.1128484234213829,0.0692112296819686,0.064523197710514,0.1792367994785308,0.1250347644090652,0.1792367994785308,0.0367925725877285,0.0148354554548859,0.0459800995886325
4,CALCE_CX2_35.pkl,0.1563359051942825,0.1356367766857147,0.07965649664402,0.0825804993510246,0.2209971100091934,0.0779861658811569,0.2209971100091934,0.0480174906551837,0.0129145998507738,0.0366968065500259
4,CALCE_CX2_36.pkl,0.1466392129659652,0.1049050390720367,0.0650507807731628,0.0591802522540092,0.1652875542640686,0.0,0.1652875542640686,0.0314975120127201,0.0142067251726984,0.0492113456130027
4,CALCE_CX2_38.pkl,0.1486099511384964,0.1105448752641677,0.0772657990455627,0.050532441586256,0.1598496735095977,0.7735481262207031,0.1598496735095977,0.0397680886089801,0.032682005316019,0.0767634138464927
5,CALCE_CX2_16.pkl,0.1315343379974365,0.1366472393274307,0.0758144706487655,0.0901379808783531,0.229007601737976,0.0202215239405632,0.229007601737976,0.0529212020337581,0.0076467921026051,0.0136822769418358
5,CALCE_CX2_33.pkl,0.1353763192892074,0.1133819669485092,0.0677583292126655,0.0672621876001358,0.1829907149076461,0.0030229913536459,0.1829907149076461,0.036717239767313,0.0131986010819673,0.0381267666816711
5,CALCE_CX2_34.pkl,0.1353547275066375,0.1024584174156189,0.0636978670954704,0.0574365518987178,0.1613035202026367,0.1242720261216163,0.1613035202026367,0.0302030146121978,0.0159582067281007,0.0473267212510108
5,CALCE_CX2_35.pkl,0.1435250788927078,0.1227179765701294,0.0722590386867523,0.0743373781442642,0.1997574269771576,0.0777773633599281,0.1997574269771576,0.0389778316020965,0.0128559255972504,0.0374449752271175
5,CALCE_CX2_36.pkl,0.1346542686223983,0.0955748111009597,0.0601118020713329,0.052878763526678,0.1490850746631622,0.0,0.1490850746631622,0.0258176270872354,0.0154886581003665,0.0500558540225029
5,CALCE_CX2_38.pkl,0.1363797932863235,0.1023728549480438,0.0734011903405189,0.044683288782835,0.1446045488119125,0.7747060656547546,0.1446045488119125,0.0353965833783149,0.0353417955338954,0.0782618299126625
