fold,seed,model,cell_id,alpha,beta,status,reason,future_rmse,current_soh_abs_error,nll,coverage_95,interval_width_95,inference_latency_ms,inference_latency_median_ms,inference_latency_std_ms,current_cycle,num_context_points,num_target_points,reference_cycles
0,42,soh_only_anp,HUST_1-1,0.1,0.0,ok,,0.0200789626446322,0.0004825288299905,-2.7918990528109737,0.9675276752767528,0.0764807344080628,0.6880495464429259,0.6722558755427599,0.0532263899119685,150,128,1355,"5,6,7,8,9,10"
0,42,soh_only_anp,HUST_1-1,0.2,0.0,ok,,0.0167729239388944,2.775163763901745e-05,-2.9088395579887703,0.9892116182572614,0.0719202767966307,0.6666489876806736,0.639329431578517,0.067533004422446,300,128,1205,"5,6,7,8,9,10"
0,42,soh_only_anp,HUST_1-1,0.3,0.0,ok,,0.0121819060208326,0.0008843027609632,-3.1935914487998605,1.0,0.0640811457844443,0.6518694572150707,0.6392844952642918,0.0378551410803895,451,128,1054,"5,6,7,8,9,10"
0,42,soh_only_anp,HUST_1-1,0.4,0.0,ok,,0.0080513604054518,0.0009692387867701,-3.538778662982739,1.0,0.0527487732739384,0.6903518689796329,0.6616814061999321,0.1009074708048544,601,128,904,"5,6,7,8,9,10"
0,42,soh_only_anp,HUST_1-1,0.5,0.0,ok,,0.0049687153110332,0.0008337882130495,-3.6784329589214257,1.0,0.0425174643571775,0.6868995493277907,0.6352714262902737,0.1408415555202864,752,128,753,"5,6,7,8,9,10"
0,42,soh_only_anp,HUST_1-1,0.6,0.0,ok,,0.0101345841872294,0.0002112408843518,-3.448285440250058,0.9966832504145936,0.0362059575220102,0.6716032745316625,0.6626078393310308,0.0259733422994902,902,128,603,"5,6,7,8,9,10"
0,42,soh_only_anp,HUST_1-1,0.7,0.0,ok,,0.0078211306511297,0.001241646893259,-3.48715505766634,1.0,0.0331296475369732,0.6857517408207059,0.6612853612750769,0.0828875611794235,1052,128,453,"5,6,7,8,9,10"
0,42,soh_only_anp,HUST_1-5,0.1,0.0,ok,,0.0241904392181574,0.005830569660385,-2.7923538470407028,0.992112676056338,0.0934719167064066,0.6623050197958946,0.6615414749830961,0.0067012873679011,197,128,1775,"5,6,7,8,9,10"
0,42,soh_only_anp,HUST_1-5,0.2,0.0,ok,,0.0255842779779345,0.0023360572787023,-2.790879608976573,0.9980988593155894,0.0869879468045637,0.6877337116748095,0.6641903892159462,0.0869079405290249,394,128,1578,"5,6,7,8,9,10"
0,42,soh_only_anp,HUST_1-5,0.3,0.0,ok,,0.0419629079368126,0.0016212376151301,-1.955300032121328,0.6024619840695149,0.0777069860066778,0.6491181440651417,0.6472992245107889,0.0094641623272777,591,128,1381,"5,6,7,8,9,10"
0,42,soh_only_anp,HUST_1-5,0.4,0.0,ok,,0.0539070229023188,0.0023057852160941,0.08156994401616,0.2542229729729729,0.0616726259438729,0.6466618040576577,0.6449897773563862,0.0094043801486431,788,128,1184,"5,6,7,8,9,10"
0,42,soh_only_anp,HUST_1-5,0.5,0.0,ok,,0.0594797158542577,0.0003913076755699,3.788107065888824,0.1205673758865248,0.0484004816081018,0.6472351495176554,0.6447490304708481,0.0114085186228735,985,128,987,"5,6,7,8,9,10"
