fold,seed,model,cell_id,alpha,beta,status,reason,future_rmse,current_soh_abs_error,nll,coverage_95,interval_width_95,inference_latency_ms,inference_latency_median_ms,inference_latency_std_ms,current_cycle,num_context_points,num_target_points,reference_cycles
0,42,hs_anp_pooled,HUST_1-1,0.1,0.0,ok,,0.036666466038663414,0.015427348344252412,-1.822909744159411,0.8487084870848709,0.10424053434732307,4.371087392792106,4.369084490463138,0.0065231075671608775,150,128,1355,
0,42,hs_anp_pooled,HUST_1-1,0.2,0.0,ok,,0.035846931198135444,0.015500439899418517,-1.808895404644454,0.8298755186721992,0.10290373977960517,4.371164133772254,4.371413495391607,0.008334871942817495,300,128,1205,
0,42,hs_anp_pooled,HUST_1-1,0.3,0.0,ok,,0.032277189568566164,0.01578370904901827,-1.9358710797307566,0.9070208728652751,0.10194381887348052,4.3648486956954,4.365176660940051,0.005365183542532415,451,128,1054,
0,42,hs_anp_pooled,HUST_1-1,0.4,0.0,ok,,0.028588141794138256,0.018533290566620453,-2.0727077296580667,0.959070796460177,0.099565638589117,4.36069555580616,4.360046936199069,0.005965770944047816,601,128,904,
0,42,hs_anp_pooled,HUST_1-1,0.5,0.0,ok,,0.025415967965528998,0.021636621236427622,-2.196432819053688,0.9774236387782205,0.09762668425538709,4.366397601552308,4.367035580798984,0.006844122930342809,752,128,753,
0,42,hs_anp_pooled,HUST_1-1,0.6,0.0,ok,,0.024794367030245432,0.029084562812631165,-2.2090028829719075,0.978441127694859,0.09779521101382913,4.35630118008703,4.3555384036153555,0.005908317180043178,902,128,603,
0,42,hs_anp_pooled,HUST_1-1,0.7,0.0,ok,,0.02532746989614,0.03920625094280217,-2.188849128095423,0.9426048565121413,0.09815598826835391,4.352862900123,4.351546056568623,0.009847945392847016,1052,128,453,
0,42,hs_anp_pooled,HUST_1-5,0.1,0.0,ok,,0.01307977186837956,0.018068546082470105,-2.720614556250316,1.0,0.09137699726128976,4.3815975077450275,4.3808158952742815,0.0077592219986711295,197,128,1775,
0,42,hs_anp_pooled,HUST_1-5,0.2,0.0,ok,,0.011628332221824399,0.004695690983431033,-2.770691578257611,1.0,0.08819790875964383,4.373286967165768,4.372791387140751,0.004414270601660922,394,128,1578,
0,42,hs_anp_pooled,HUST_1-5,0.3,0.0,ok,,0.010901833490706484,0.0025098606249351896,-2.7699458459190107,1.0,0.08778816045177666,4.367592837661505,4.367511253803968,0.006169757037161355,591,128,1381,
0,42,hs_anp_pooled,HUST_1-5,0.4,0.0,ok,,0.010070075141071295,0.008059901817315751,-2.779350692111634,1.0,0.08585721712665959,4.36508001293987,4.364846041426063,0.005869709527832003,788,128,1184,
0,42,hs_anp_pooled,HUST_1-5,0.5,0.0,ok,,0.011039151438472396,0.0042469200379506855,-2.756021077258387,1.0,0.08505735183668114,4.369688662700355,4.369559930637479,0.007599412638211171,985,128,987,
0,42,hs_anp_pooled,HUST_1-5,0.6,0.0,ok,,0.017979513606032543,0.010539966295185832,-2.5111878521915445,1.0,0.08696397600860767,4.3557354947552085,4.3540154583752155,0.005709379967395286,1182,128,790,
