cycle_alpha,beta,cell_count,episode_count,soh_mae,soh_rmse,soh_nll,soh_crps,coverage_90,coverage_95,interval_width,epistemic_std,aleatoric_std
0.3,0.25,34,34,0.02978781222654386,0.04612487666317243,-1.6352111638245133,0.022696743106649063,0.8484669567374766,0.8769946612077976,0.1392373077790527,0.0013444223989020376,0.03549152801689856
0.3,0.5,34,34,0.029799263469375826,0.04606262697794416,-1.6336085753073586,0.022684976340686162,0.8495962076205746,0.8799002790139164,0.14004601220435955,0.001369760453920154,0.03569679978467962
0.5,0.25,34,34,0.028178417043605054,0.042142396369072965,-2.0941542327396454,0.021166071078690202,0.8653389269794252,0.8917719659108959,0.12881842365159707,0.0012344248586005585,0.03283527600305045
0.5,0.5,34,34,0.028092804875355676,0.04200855551464655,-2.102235999545799,0.021103412249633777,0.86674229146881,0.8922460988600596,0.12968702318475528,0.0012395883591927808,0.03305680792340461
0.7,0.25,34,34,0.03737117973636471,0.04847514292299608,-1.1024383756259417,0.028983809805032124,0.6957298353797503,0.7524421995299683,0.1191003661164466,0.0010420852460597148,0.030360564342973864
0.7,0.5,34,34,0.03717342309972087,0.04822220116628275,-1.1228842093749452,0.02882474656988717,0.6980571534451263,0.7545978738802037,0.11973635819466676,0.0010314413084415719,0.030523640925393385
