cell_id,current_cycle,cycle_alpha,beta,q_cut,q_end,forecast_points,current_soh_absolute_error,mean_predictive_std,mean_epistemic_std,mean_aleatoric_std,mean_prior_latent_std,interval_width,coverage_50,coverage_80,coverage_90,coverage_95,soh_mae,soh_rmse,soh_nll,soh_crps
MATR_b1c14,264,0.3,0.25,0.33611,0.9725267272727273,615,0.003932595252990723,0.04114167019724846,0.0015829167095944285,0.04110775142908096,0.1548929214477539,0.16127239167690277,0.8455284552845529,1.0,1.0,1.0,0.01635099620353885,0.02198590417795448,-2.541369252018582,0.012959920994057015
MATR_b1c14,264,0.3,0.5,0.7422011545454544,0.9725267272727273,615,0.0040097832679748535,0.04131638631224632,0.0014368260744959116,0.04128843918442726,0.1548933982849121,0.1619572788476944,0.8406504065040651,1.0,1.0,1.0,0.01644129026226881,0.022067609224686605,-2.5379319643134495,0.0130322218282114
MATR_b1c14,439,0.5,0.25,0.3307426818181818,0.9627270909090909,440,0.004686415195465088,0.02894771285355091,0.0011643997859209776,0.02892298251390457,0.14796435832977295,0.11347294598817825,0.7272727272727273,1.0,1.0,1.0,0.015988649021495473,0.02330109048606909,-2.7582730857031437,0.0106561924655802
MATR_b1c14,439,0.5,0.5,0.7255413818181817,0.9627270909090909,440,0.00459057092666626,0.029315371066331863,0.0012927434872835875,0.029285097494721413,0.14796486496925354,0.11491414159536362,0.775,1.0,1.0,1.0,0.01526138200001283,0.022530517310190123,-2.7636059469395455,0.010428278551311943
MATR_b1c14,615,0.7,0.25,0.3238391363636363,0.9440215454545454,264,0.004122436046600342,0.021564971655607224,0.0010494347661733627,0.0215386301279068,0.13764992356300354,0.08453314006328583,0.06060606060606061,0.2727272727272727,0.6098484848484849,0.8106060606060606,0.03285378962755203,0.038331914209678956,-1.8950357743010606,0.022259892486463616
MATR_b1c14,615,0.7,0.5,0.7185637363636364,0.9440215454545454,264,0.004104018211364746,0.02172165922820568,0.001132520497776568,0.0216912180185318,0.13765007257461548,0.08514734357595444,0.06439393939393939,0.32575757575757575,0.625,0.8371212121212122,0.03245663913813504,0.037839439437812455,-1.9302331722995902,0.021866711087602634
MATR_b1c18,207,0.3,0.25,0.3268024363636363,0.9552709999999999,482,0.004825890064239502,0.029606157913804054,0.0013088438427075744,0.02957473136484623,0.1537322700023651,0.116054005920887,0.5995850622406639,0.9979253112033195,1.0,1.0,0.011143062619252818,0.01423689313232316,-2.7148707544301103,0.009343666889433262
MATR_b1c18,207,0.3,0.5,0.7327256454545454,0.9552709999999999,482,0.004853487014770508,0.02989565208554268,0.0013299374841153622,0.029863562434911728,0.15373295545578003,0.11718879640102386,0.6016597510373444,0.9979253112033195,1.0,1.0,0.011206755375961051,0.014160154310869973,-2.7104667448771926,0.009396918724094308
MATR_b1c18,345,0.5,0.25,0.31516283636363635,0.9412447272727272,344,0.004007697105407715,0.021300025284290314,0.001073786523193121,0.02127169258892536,0.14097267389297485,0.08349456638097763,0.5465116279069767,1.0,1.0,1.0,0.013170886698157289,0.018323549706861706,-2.969982037247439,0.008382244005124807
MATR_b1c18,345,0.5,0.5,0.7044833909090908,0.9412447272727272,344,0.003989160060882568,0.021513838320970535,0.0010584295960143209,0.021486535668373108,0.14097309112548828,0.08433271199464798,0.5813953488372093,1.0,1.0,1.0,0.012700905286988546,0.017764526952087804,-2.9759025390523246,0.008203523428368735
