step,loss,nll,kl,consistency_loss,consistency_weight,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
1,0.8575186133384705,0.8575165867805481,0.010109880939126015,0.0,0.0,0.0002,1.5666505098342896,False,100,"MATR_b1c41,MATR_b3c22,MATR_b1c43,MATR_b4c39,MATR_b2c45,MATR_b3c40,MATR_b1c24,MATR_b4c23,MATR_b4c37,MATR_b2c29,MATR_b3c0,MATR_b3c38,MATR_b2c46,MATR_b2c28","MATR_b3c5,MATR_b4c20,MATR_b1c26,MATR_b4c28,MATR_b1c33,MATR_b2c44,MATR_b3c8,MATR_b2c39",455.0,868.0,,0.15222739009186625
2,2.1435232162475586,2.143512725830078,0.026341935619711876,0.0,0.0,0.0004,,True,300,"MATR_b1c40,MATR_b4c35,MATR_b4c4,MATR_b1c36,MATR_b4c0,MATR_b2c5,MATR_b3c5,MATR_b3c34,MATR_b3c40,MATR_b3c38,MATR_b2c29,MATR_b2c25","MATR_b2c36,MATR_b2c26,MATR_b2c38,MATR_b3c35,MATR_b4c30,MATR_b1c17,MATR_b3c16,MATR_b2c42",464.0,1635.0,,0.2885092170909047
3,0.9431021809577942,0.9430879950523376,0.02362849935889244,0.0,0.0,0.0006,1.4123284816741943,False,120,"MATR_b4c0,MATR_b1c44,MATR_b2c31,MATR_b1c9,MATR_b4c5,MATR_b3c44,MATR_b1c0,MATR_b3c34,MATR_b3c28,MATR_b4c2","MATR_b2c27,MATR_b4c22,MATR_b4c8,MATR_b3c41,MATR_b3c22,MATR_b2c13,MATR_b1c36,MATR_b4c19",467.0,1000.0,,0.39422828098759055
4,1.0533463954925537,1.0533435344696045,0.00357741117477417,0.0,0.0,0.0008,0.8882501125335693,False,200,"MATR_b3c11,MATR_b2c25,MATR_b2c10,MATR_b2c43,MATR_b2c36,MATR_b3c10,MATR_b3c27,MATR_b2c47,MATR_b2c45,MATR_b1c15,MATR_b4c38,MATR_b3c41,MATR_b4c26,MATR_b1c45,MATR_b1c16","MATR_b2c14,MATR_b1c26,MATR_b4c43,MATR_b4c44,MATR_b4c25,MATR_b4c40,MATR_b1c23,MATR_b2c35",453.0,1012.0,,0.5359578877687454
5,2.994447946548462,2.9944257736206055,0.02212347462773323,0.0,0.0,0.001,,True,120,"MATR_b2c45,MATR_b4c24,MATR_b1c38,MATR_b3c27,MATR_b1c40,MATR_b3c39,MATR_b2c46,MATR_b3c26","MATR_b3c38,MATR_b2c4,MATR_b2c32,MATR_b2c44,MATR_b4c30,MATR_b4c4,MATR_b3c34,MATR_b2c36",443.0,1932.0,,0.5969159421510994
6,1.1932649612426758,1.1932499408721924,0.01249256543815136,0.0,0.0,0.0012,2.5769543647766113,False,240,"MATR_b2c36,MATR_b3c34,MATR_b3c39,MATR_b4c28,MATR_b1c28,MATR_b2c39,MATR_b1c45,MATR_b4c26,MATR_b3c40,MATR_b3c41,MATR_b2c0,MATR_b2c42","MATR_b1c9,MATR_b1c24,MATR_b3c8,MATR_b4c23,MATR_b4c35,MATR_b2c11,MATR_b1c33,MATR_b3c28",476.0,1081.0,,0.6572371209040284
7,1.1985291242599487,1.1984096765518188,0.08532527834177017,0.0,0.0,0.0014,2.1919264793395996,False,220,"MATR_b4c43,MATR_b3c27,MATR_b4c40,MATR_b2c29,MATR_b4c8,MATR_b1c36,MATR_b3c35,MATR_b3c40","MATR_b1c29,MATR_b1c41,MATR_b1c16,MATR_b2c42,MATR_b2c20,MATR_b4c2,MATR_b3c19,MATR_b1c40",465.0,1152.0,,0.7107484550215304
8,1.1325665712356567,1.1324944496154785,0.04506863281130791,0.0,0.0,0.0016,0.7827911376953125,False,260,"MATR_b2c43,MATR_b4c4,MATR_b2c35,MATR_b2c39,MATR_b2c10,MATR_b2c6,MATR_b2c26,MATR_b1c38","MATR_b4c19,MATR_b3c12,MATR_b2c42,MATR_b1c24,MATR_b3c22,MATR_b4c27,MATR_b2c13,MATR_b3c11",465.0,1015.0,,0.7651044242084026
9,0.8693282008171082,0.8693051934242249,0.012797258794307709,0.0,0.0,0.0018,0.8215411901473999,False,240,"MATR_b1c9,MATR_b4c24,MATR_b3c27,MATR_b4c33,MATR_b1c29,MATR_b3c11,MATR_b3c39,MATR_b2c0,MATR_b1c7,MATR_b4c31,MATR_b1c45,MATR_b1c16,MATR_b3c10,MATR_b2c18","MATR_b3c26,MATR_b4c8,MATR_b2c20,MATR_b3c12,MATR_b4c22,MATR_b2c29,MATR_b1c36,MATR_b3c13",497.0,1025.0,,0.8396814470179379
10,0.8662142753601074,0.8661930561065674,0.010621834546327591,0.0,0.0,0.002,1.5938304662704468,False,300,"MATR_b1c31,MATR_b4c41,MATR_b3c35,MATR_b4c44,MATR_b1c45,MATR_b4c22,MATR_b2c26,MATR_b2c32,MATR_b2c46","MATR_b2c42,MATR_b4c16,MATR_b4c13,MATR_b4c2,MATR_b2c20,MATR_b1c15,MATR_b1c26,MATR_b2c38",464.0,909.0,,0.9055312369018793
11,0.9397064447402954,0.9396052360534668,0.04601249843835831,0.0,0.0,0.0022,1.4450178146362305,False,260,"MATR_b2c20,MATR_b4c39,MATR_b4c38,MATR_b1c17,MATR_b2c13,MATR_b1c41,MATR_b2c47,MATR_b1c38,MATR_b2c46","MATR_b3c8,MATR_b2c18,MATR_b4c8,MATR_b3c0,MATR_b2c39,MATR_b4c17,MATR_b3c27,MATR_b2c23",458.0,1007.0,,0.9564671898260713
12,1.2469488382339478,1.2468574047088623,0.03810004144906998,0.0,0.0,0.0024,1.515982985496521,False,140,"MATR_b2c17,MATR_b1c32,MATR_b2c43,MATR_b3c41,MATR_b1c33,MATR_b1c24,MATR_b3c28,MATR_b2c31,MATR_b2c2,MATR_b3c26,MATR_b1c31,MATR_b4c37,MATR_b2c46,MATR_b1c15,MATR_b2c28","MATR_b2c6,MATR_b3c19,MATR_b2c47,MATR_b4c33,MATR_b3c34,MATR_b4c24,MATR_b4c4,MATR_b4c8",505.0,1156.0,,1.0071855848655105
13,1.1624478101730347,1.1623852252960205,0.024089818820357323,0.0,0.0,0.0026,0.9563226103782654,False,180,"MATR_b3c0,MATR_b4c13,MATR_b2c39,MATR_b1c1,MATR_b3c25,MATR_b3c21,MATR_b2c5,MATR_b2c23,MATR_b3c19,MATR_b4c27,MATR_b3c8,MATR_b1c9","MATR_b2c0,MATR_b3c35,MATR_b4c37,MATR_b4c40,MATR_b2c13,MATR_b3c5,MATR_b4c0,MATR_b1c29",299.0,1091.0,,1.0600085482001305
14,0.7462730407714844,0.7462409138679504,0.01146630384027958,0.0,0.0,0.0028,1.7979098558425903,False,260,"MATR_b1c20,MATR_b1c38,MATR_b2c42,MATR_b4c26,MATR_b4c33,MATR_b1c33,MATR_b2c2,MATR_b4c23,MATR_b3c44,MATR_b4c41,MATR_b4c24,MATR_b4c43,MATR_b4c30,MATR_b4c40,MATR_b1c32,MATR_b2c17","MATR_b1c40,MATR_b3c11,MATR_b3c13,MATR_b2c34,MATR_b2c47,MATR_b3c41,MATR_b1c39,MATR_b1c26",498.0,964.0,,1.1296792668290436
15,1.0029174089431763,1.0027940273284912,0.04111557453870773,0.0,0.0,0.003,4.231071949005127,False,200,"MATR_b1c28,MATR_b1c9,MATR_b4c28,MATR_b4c43,MATR_b3c19,MATR_b1c0,MATR_b1c17,MATR_b4c35,MATR_b2c32","MATR_b2c29,MATR_b1c29,MATR_b2c13,MATR_b4c33,MATR_b2c6,MATR_b4c14,MATR_b1c45,MATR_b4c30",482.0,915.0,,1.1713381460867822
16,0.9437524080276489,0.9436938166618347,0.018315820023417473,0.0,0.0,0.0032,0.5268967747688293,False,260,"MATR_b3c0,MATR_b2c10,MATR_b3c35,MATR_b4c0,MATR_b2c39,MATR_b4c16,MATR_b2c6,MATR_b3c26,MATR_b1c23,MATR_b4c40,MATR_b2c43,MATR_b1c32,MATR_b2c44","MATR_b2c29,MATR_b3c44,MATR_b2c13,MATR_b4c19,MATR_b2c18,MATR_b3c27,MATR_b1c36,MATR_b4c28",482.0,991.0,,1.218755628913641
17,0.9668974876403809,0.9668786525726318,0.005531806033104658,0.0,0.0,0.0034,1.7400736808776855,False,240,"MATR_b1c45,MATR_b3c39,MATR_b2c14,MATR_b2c42,MATR_b4c23,MATR_b2c46,MATR_b2c17,MATR_b3c21,MATR_b3c41,MATR_b3c8,MATR_b3c44,MATR_b4c22,MATR_b1c24,MATR_b2c39,MATR_b1c43,MATR_b3c16","MATR_b2c32,MATR_b1c41,MATR_b3c5,MATR_b3c22,MATR_b3c27,MATR_b1c16,MATR_b4c41,MATR_b2c5",479.0,1049.0,,1.269842766225338
18,0.9016804099082947,0.9016655087471008,0.004137667827308178,0.0,0.0,0.0036,2.604475736618042,False,260,"MATR_b3c5,MATR_b3c27,MATR_b1c17,MATR_b2c42,MATR_b4c4,MATR_b2c6,MATR_b1c26,MATR_b1c24,MATR_b1c39,MATR_b2c5,MATR_b3c25,MATR_b1c32,MATR_b2c43,MATR_b1c0,MATR_b4c38,MATR_b4c13","MATR_b3c0,MATR_b4c39,MATR_b4c16,MATR_b4c14,MATR_b1c7,MATR_b3c11,MATR_b1c38,MATR_b3c35",607.0,1091.0,,1.3231977270916104
