iteration,weighted_meta_loss,ema_source_meta_loss,alpha_entropy,effective_sources,mmd_objective,rbf_sigma,qp_solver_status,learning_rate,elapsed_seconds,eta_seconds,iteration_seconds,cuda_allocated_bytes,cuda_reserved_bytes
1,0.3144747018814087,0.3144747018814087,0.42493581771850586,1.3247195482254028,0.00010094066645560673,0.02863270155395035,OSQP:optimal,0.001,2.828158064978197,28278.752491716994,2.8278452329686843,67669504,312475648
2,0.28988373279571533,0.3139828824996948,0.42497509717941284,1.324678659439087,0.00010001218631894293,0.028631136193652765,OSQP:optimal,0.001,5.382860151003115,26908.91789486457,2.5403072420158423,67692544,312475648
3,0.2650264501571655,0.31300375385284424,0.4250728487968445,1.3246376514434814,9.8482590691229e-05,0.028649592235781215,OSQP:optimal,0.001,8.123886883957312,27071.499059640417,2.7184783600387163,67692544,312475648
4,0.23920728266239166,0.31152782442903515,0.42523106932640076,1.3245999813079834,9.634745457376415e-05,0.028685048918874655,OSQP:optimal,0.001,10.743469288980123,26847.929753161327,2.5878474339842796,67692544,312475648
5,0.21429210901260376,0.3095831101207065,0.42543643712997437,1.324558973312378,9.369909132506127e-05,0.02873494764123213,OSQP:optimal,0.001,13.380895467998926,26748.410040529852,2.6131606249837205,67692544,312475648
6,0.18864311277866364,0.30716431017386564,0.4255297780036926,1.3243459463119507,9.01572174227816e-05,0.028838469508252244,OSQP:optimal,0.001,16.160658935958054,26918.27090099413,2.74735606496688,67692544,312475648
7,0.16412344574928284,0.304303492885374,0.42503732442855835,1.3234293460845947,8.427750473405382e-05,0.02913231025928343,OSQP:optimal,0.001,18.8164397389628,26861.811758779324,2.6315656210063025,67692544,312475648
8,0.13847805559635162,0.30098698413959357,0.4254229664802551,1.3234971761703491,8.140862499927959e-05,0.029176816294587113,OSQP:optimal,0.001,21.61844571394613,27001.438696718717,2.769801757996902,67692544,312475648
9,0.11360009014606476,0.297239246259723,0.42610761523246765,1.323886752128601,7.937299450311297e-05,0.02913994224524418,OSQP:optimal,0.001,24.276158133987337,26949.23287962972,2.6358182989642955,67692544,312475648
10,0.0915369763970375,0.2931252008624693,0.42668113112449646,1.32413649559021,7.689462751259146e-05,0.029140751369113052,OSQP:optimal,0.001,26.93048517697025,26903.55469179328,2.6311395170050673,67692544,312475648
11,0.0694938525557518,0.2886525738963349,0.42725297808647156,1.3243788480758667,7.444941093870394e-05,0.02914289693138171,OSQP:optimal,0.001,29.71400574594736,26983.018490569833,2.7617296790122055,67692544,312475648
12,0.050435326993465424,0.2838882289582775,0.4460752606391907,1.3334157466888428,7.169595364409087e-05,0.029200354556575693,OSQP:optimal,0.001,32.38109200296458,26951.862243800853,2.634610580978915,67692544,312475648
13,0.035712141543626785,0.2789247072099844,0.4691031575202942,1.3476579189300537,6.921600940024142e-05,0.029253270047002494,OSQP:optimal,0.001,35.16042724798899,27011.32207120508,2.7559847939992324,67692544,312475648
14,0.026609020307660103,0.27387839347193793,0.4951331615447998,1.3664079904556274,6.494160334624688e-05,0.029547483103984647,OSQP:optimal,0.001,37.829039457952604,26982.91343050819,2.6352271219948307,67692544,312475648
15,0.02564704418182373,0.26891376648613563,0.5180985927581787,1.3852152824401855,6.079596844643653e-05,0.02988930634262397,OSQP:optimal,0.001,40.63300072698621,27048.034150597156,2.782070410961751,67692544,312475648
16,0.030929619446396828,0.2641540835453408,0.5498086214065552,1.4151393175125122,5.926739326489461e-05,0.029963157772019543,OSQP:optimal,0.001,43.30164360598428,27020.22561013419,2.6455818450194784,67692544,312475648
17,0.039601005613803864,0.2596630219867101,0.5592207908630371,1.4245927333831787,5.780000913291339e-05,0.030030303791118637,OSQP:optimal,0.001,46.103246293962,27073.4533972131,2.7755120620131493,67692544,312475648
