source,alpha
CALCE_CX2_16.pkl,0.018141005
CALCE_CX2_33.pkl,5.5556635e-18
CALCE_CX2_34.pkl,0.2235779
CALCE_CX2_35.pkl,0.1265257
CALCE_CX2_36.pkl,4.5618295e-18
CALCE_CX2_38.pkl,0.6317554
