step,loss,future_voltage_loss,observed_reconstruction_loss,endpoint_loss,monotonic_loss,gradient_norm,validation_voltage_rmse_v,validation_endpoint_mae_q,best_validation_voltage_rmse_v,best_step,stale_validations,elapsed_seconds,sampling_seconds,amp_scale,amp_overflow_skips_total,cells,cycles,betas,q_cuts,q_ends
12929,0.01804693602025509,0.017724204808473587,0.0015128900995478034,0.00017144205048680305,0.006376877427101135,0.39126598834991455,,,0.06577948795279015,12000,1,93.7455885829404,0.0007992140017449856,1.0,0,MATR_b1c28|MATR_b1c39|MATR_b4c23|MATR_b2c29|MATR_b3c28|MATR_b4c13|MATR_b4c13|MATR_b2c6|MATR_b4c43|MATR_b1c9|MATR_b3c8|MATR_b4c5|MATR_b3c34|MATR_b4c19|MATR_b1c0|MATR_b4c16,560|487|771|20|320|514|442|480|263|1027|305|791|954|216|1097|718,0.2558|0.4552|0.6571|0.2671|0.4586|0.7282|0.6388|0.4146|0.5555|0.5247|0.4431|0.1517|0.5249|0.4668|0.6935|0.5359,0.33256|0.65923|0.81889|0.35483|0.60706|0.89672|0.8589|0.56903|0.77335|0.71057|0.6227|0.14089|0.66028|0.58866|0.89479|0.70367,0.95143|0.93627|0.924|0.98001|0.89238|0.95098|0.95763|0.82279|0.94538|0.82433|0.96212|0.89455|0.90699|0.95209|0.93972|0.92316
12930,0.012463291175663471,0.01217760518193245,0.001950007863342762,9.068580402527004e-05,0.006566321477293968,0.40087729692459106,,,0.06577948795279015,12000,1,93.75311761535704,0.0011726110242307186,1.0,0,MATR_b2c18|MATR_b4c41|MATR_b4c44|MATR_b3c27|MATR_b3c28|MATR_b1c9|MATR_b3c11|MATR_b4c41|MATR_b2c20|MATR_b3c39|MATR_b4c27|MATR_b1c24|MATR_b2c35|MATR_b1c28|MATR_b2c47|MATR_b4c44,494|668|353|448|192|428|423|666|300|728|529|225|464|161|78|921,0.6556|0.6572|0.6490|0.2717|0.4344|0.5700|0.2866|0.4951|0.1936|0.3945|0.3039|0.4796|0.5931|0.5473|0.3933|0.6600,0.73136|0.83997|0.84459|0.33587|0.58569|0.84356|0.37812|0.66609|0.23759|0.4764|0.44986|0.69018|0.69076|0.81813|0.52206|0.7432,0.78917|0.9265|0.94456|0.94868|0.92049|0.97748|0.95246|0.9271|0.96004|0.9261|0.71135|0.97571|0.79565|0.97949|0.95307|0.82527
12931,0.013104788027703762,0.012824863195419312,0.0014523189747706056,0.00013469229452311993,0.006513528525829315,0.7322655916213989,,,0.06577948795279015,12000,1,93.75933562824503,0.0007064398378133774,1.0,0,MATR_b4c13|MATR_b2c34|MATR_b4c13|MATR_b1c33|MATR_b4c41|MATR_b3c13|MATR_b1c33|MATR_b2c31|MATR_b2c0|MATR_b2c36|MATR_b1c23|MATR_b2c34|MATR_b4c22|MATR_b2c42|MATR_b2c13|MATR_b2c2,137|55|247|444|288|465|188|139|294|470|920|57|627|225|87|281,0.1485|0.3159|0.3647|0.7452|0.2473|0.5112|0.6710|0.7119|0.5027|0.3094|0.6085|0.5149|0.3515|0.1607|0.3901|0.4968,0.16367|0.42138|0.50783|0.91927|0.30769|0.71131|0.92229|0.92201|0.65614|0.41833|0.7882|0.72487|0.50076|0.18902|0.56316|0.71646,0.97239|0.97772|0.96874|0.97014|0.95847|0.94657|0.99019|0.97861|0.80675|0.89079|0.86933|0.9764|0.86975|0.97292|0.97632|0.94611
12932,0.011723730713129044,0.011275021359324455,0.001802368089556694,0.000268472678726539,0.006491242907941341,0.4929901957511902,,,0.06577948795279015,12000,1,93.76628069905564,0.0007583475671708584,1.0,0,MATR_b3c38|MATR_b3c21|MATR_b2c34|MATR_b2c13|MATR_b3c16|MATR_b2c31|MATR_b1c17|MATR_b4c17|MATR_b3c19|MATR_b2c28|MATR_b2c1|MATR_b4c33|MATR_b2c29|MATR_b3c21|MATR_b4c13|MATR_b4c35,1604|264|452|28|599|303|259|774|789|502|121|353|161|273|466|765,0.7784|0.2650|0.3876|0.5767|0.1102|0.2882|0.7496|0.7298|0.4585|0.3652|0.5939|0.7247|0.2861|0.6172|0.5447|0.2053,0.85321|0.30906|0.55229|0.84891|0.08527|0.38724|0.93599|0.80355|0.59181|0.51564|0.72512|0.90117|0.39961|0.80564|0.78303|0.21061,0.89875|0.93531|0.877|0.98394|0.94922|0.95897|0.97401|0.85687|0.93758|0.81094|0.84626|0.9485|0.97796|0.93397|0.9557|0.92602
12933,0.007750626187771559,0.007438336499035358,0.0016088149277493358,0.00015140828327275813,0.0060357023030519485,0.29012617468833923,,,0.06577948795279015,12000,1,93.7729220832698,0.0009473212994635105,1.0,0,MATR_b1c9|MATR_b2c2|MATR_b3c22|MATR_b2c36|MATR_b1c17|MATR_b3c25|MATR_b3c38|MATR_b3c40|MATR_b4c14|MATR_b4c44|MATR_b1c40|MATR_b1c32|MATR_b1c7|MATR_b2c1|MATR_b1c32|MATR_b3c13,372|259|169|160|116|593|144|135|601|249|933|322|571|44|557|561,0.1716|0.1403|0.1132|0.5409|0.1547|0.6566|0.3004|0.6171|0.5390|0.3476|0.4567|0.1481|0.7409|0.6382|0.5185|0.4226,0.20662|0.14918|0.094891|0.80153|0.17671|0.85361|0.3601|0.87064|0.68846|0.43381|0.66423|0.16455|0.91042|0.87427|0.76023|0.57088,0.98036|0.95146|0.95914|0.98375|0.97872|0.94502|0.97288|0.96397|0.80957|0.94839|0.82806|0.96932|0.9621|0.94413|0.93238|0.93293
12934,0.007904499769210815,0.0076902867294847965,0.0014309328980743885,7.111969171091914e-05,0.006627906113862991,0.3665299415588379,,,0.06577948795279015,12000,1,93.77897997619584,0.0007208366878330708,1.0,0,MATR_b1c39|MATR_b2c14|MATR_b2c13|MATR_b2c1|MATR_b1c33|MATR_b1c45|MATR_b1c23|MATR_b4c44|MATR_b1c7|MATR_b2c31|MATR_b1c40|MATR_b4c16|MATR_b3c38|MATR_b2c44|MATR_b4c22|MATR_b2c13,221|427|133|21|712|393|747|888|185|512|787|247|278|317|428|318,0.4816|0.5186|0.6971|0.6636|0.5810|0.5181|0.1142|0.3145|0.5450|0.4607|0.6297|0.1776|0.7144|0.2879|0.5697|0.3504,0.71338|0.72266|0.9159|0.91288|0.7367|0.76108|0.11303|0.39004|0.82439|0.61888|0.82932|0.1862|0.90313|0.38284|0.76569|0.47752,0.98045|0.88939|0.96783|0.96442|0.83991|0.95859|0.93941|0.85794|0.99257|0.76228|0.91058|0.957|0.96945|0.95185|0.93745|0.92848
12935,0.026469288393855095,0.025915348902344704,0.0014836965128779411,0.000405569706344977,0.005881562363356352,0.5899630784988403,,,0.06577948795279015,12000,1,93.78619542205706,0.0011563110165297985,1.0,0,MATR_b2c0|MATR_b4c16|MATR_b3c41|MATR_b1c26|MATR_b1c20|MATR_b4c44|MATR_b3c8|MATR_b3c11|MATR_b1c17|MATR_b1c1|MATR_b1c44|MATR_b1c36|MATR_b4c40|MATR_b2c44|MATR_b4c2|MATR_b2c11,197|712|183|516|529|555|128|731|154|1495|163|254|1091|26|416|336,0.4227|0.5276|0.4789|0.4848|0.2182|0.3528|0.6821|0.4604|0.6979|0.2247|0.2260|0.6564|0.1105|0.2269|0.2443|0.7261,0.59473|0.68749|0.66786|0.70288|0.27784|0.43345|0.91595|0.64407|0.93087|0.2801|0.29743|0.89294|0.08164|0.28764|0.27941|0.86809,0.88903|0.9242|0.95633|0.96624|0.80445|0.9351|0.96922|0.87838|0.97773|0.92624|0.98317|0.97488|0.79721|0.97862|0.9388|0.91889
12936,0.008321210741996765,0.00800553523004055,0.0022602921817451715,8.964678272604942e-05,0.006259464658796787,0.18597012758255005,,,0.06577948795279015,12000,1,93.79214231809601,0.0007173209451138973,1.0,0,MATR_b2c29|MATR_b1c16|MATR_b2c20|MATR_b4c26|MATR_b1c16|MATR_b2c18|MATR_b2c42|MATR_b1c28|MATR_b1c20|MATR_b2c36|MATR_b2c35|MATR_b1c43|MATR_b4c22|MATR_b1c29|MATR_b4c40|MATR_b3c21,446|248|150|221|188|449|402|184|132|197|354|44|590|559|241|251,0.2056|0.2494|0.2298|0.4695|0.2921|0.3206|0.6928|0.1802|0.2189|0.7666|0.5852|0.4401|0.2456|0.4734|0.1729|0.2932,0.25345|0.32827|0.29498|0.65744|0.39463|0.43522|0.82378|0.22291|0.28364|0.94588|0.79842|0.62619|0.31744|0.66777|0.17572|0.35058,0.88476|0.98241|0.98354|0.93903|0.98477|0.84577|0.89625|0.97866|0.95766|0.98109|0.92699|0.97359|0.90313|0.95514|0.95856|0.93686
12937,0.016062874346971512,0.015813102945685387,0.0012261023512110114,0.0001271609653485939,0.005897611379623413,0.5771068930625916,,,0.06577948795279015,12000,1,93.79908366221935,0.0008326871320605278,1.0,0,MATR_b2c43|MATR_b1c7|MATR_b4c22|MATR_b1c15|MATR_b2c17|MATR_b3c27|MATR_b3c11|MATR_b3c11|MATR_b3c13|MATR_b4c4|MATR_b4c35|MATR_b2c6|MATR_b2c43|MATR_b1c15|MATR_b1c36|MATR_b3c44,325|16|636|111|51|197|213|184|477|467|449|279|81|290|508|344,0.5634|0.5509|0.1358|0.2448|0.3264|0.6895|0.1181|0.6768|0.5949|0.5933|0.4240|0.2801|0.1152|0.6696|0.3147|0.4358,0.78929|0.80855|0.14986|0.31939|0.45094|0.90779|0.11453|0.91132|0.81818|0.79242|0.53632|0.33286|0.11335|0.90701|0.4325|0.61905,0.94489|0.99705|0.85817|0.9704|0.9786|0.96219|0.96629|0.96761|0.94517|0.92799|0.94605|0.9029|0.98145|0.96289|0.94579|0.96874
12938,0.019716937094926834,0.019158072769641876,0.0013371050590649247,0.0004251539648976177,0.006130282301455736,0.6063939332962036,,,0.06577948795279015,12000,1,93.80613973131403,0.0010284120216965675,1.0,0,MATR_b4c4|MATR_b3c13|MATR_b4c38|MATR_b1c26|MATR_b2c20|MATR_b2c17|MATR_b4c22|MATR_b4c23|MATR_b2c36|MATR_b4c8|MATR_b4c23|MATR_b4c26|MATR_b1c43|MATR_b4c13|MATR_b4c23|MATR_b3c11,184|639|855|367|116|42|491|1090|437|167|960|234|16|358|99|309,0.3066|0.1111|0.6376|0.1708|0.5645|0.4073|0.5772|0.2848|0.2003|0.4544|0.2404|0.1498|0.6792|0.4789|0.2928|0.4509,0.36719|0.088433|0.81072|0.20412|0.83665|0.57965|0.77795|0.33783|0.2477|0.63873|0.27057|0.16041|0.93219|0.68597|0.34853|0.64689,0.94502|0.91529|0.92422|0.97904|0.98631|0.97849|0.9301|0.72664|0.92282|0.9545|0.87251|0.93802|0.97425|0.96316|0.95521|0.96106
