source,alpha
CALCE_CX2_16.pkl,0.020194232
CALCE_CX2_33.pkl,1.8520721e-20
CALCE_CX2_34.pkl,0.35684204
CALCE_CX2_35.pkl,0.12091187
CALCE_CX2_36.pkl,5.4884603e-20
CALCE_CX2_38.pkl,0.5020519
