count,mae_cycles,rmse_cycles,mape_percent,r2,max_absolute_error_cycles,seed,held_out_domain,target_adaptation,checkpoint_selection_used_target_labels,best_source_cv_iteration,best_source_cv_mae_cycles
2,267.70399153848336,268.1251605053904,74.49313567140705,-459.1030508546648,282.72646172167856,42,CS2_0.5C,False,False,480,2.6916370926121598
4,15.615247248125272,17.842612933393514,3.736260091338597,0.6341491502797942,29.558371683342898,42,CS2_1C,False,False,700,2.294287292886938
3,211.49209518383213,249.37776392613438,31.643572366353073,-3.080958237456721,327.7218016213942,42,CX2_0.5C,False,False,880,0.7334290184827239
4,27.461510871061066,29.88644065224119,5.9100517252663805,-0.010120819745473408,40.14493806166837,42,CX2_1C,False,False,500,2.9843045789694935
