iteration,weighted_meta_loss,ema_source_meta_loss,alpha_entropy,effective_sources,mmd_objective,rbf_sigma,qp_solver_status,learning_rate,elapsed_seconds,eta_seconds,iteration_seconds,cuda_allocated_bytes,cuda_reserved_bytes
1,0.2417764216661453,0.2417764216661453,0.5856119990348816,1.465407133102417,7.112182553992152e-05,0.0490927052513725,OSQP:optimal,0.001,7.160328839963768,16461.596003076702,7.160014838969801,69240320,2422210560
2,0.2213105112314224,0.2413671034574508,0.5856528282165527,1.4654594659805298,7.109554606576918e-05,0.0491048963217979,OSQP:optimal,0.001,14.305984467966482,16437.576153693488,7.142518654989544,69533184,2445279232
3,0.2007224857807159,0.2405542111039161,0.5857105255126953,1.4655334949493408,7.102413696158383e-05,0.0490836074970137,OSQP:optimal,0.001,21.681005562946662,16600.423259362833,7.334923333022743,69526016,2462056448
4,0.179106667637825,0.2393252602345943,0.5857809782028198,1.4656237363815308,7.091642601231296e-05,0.0490240704313059,OSQP:optimal,0.001,29.015431802952666,16654.857854894828,7.287206584005617,69532672,2462056448
5,0.1592394262552261,0.2377235435550069,0.5858902335166931,1.4657679796218872,7.069523985392401e-05,0.0489325951082128,OSQP:optimal,0.001,36.36560236196965,16691.81148414407,7.308042229968123,69521408,2462056448
6,0.1382078230381012,0.2357332291446688,0.5859777331352234,1.4658830165863037,7.050555314014328e-05,0.0487945906837567,OSQP:optimal,0.001,43.86141445196699,16769.680792135383,7.454584376013372,69512192,2468347904
7,0.118335984647274,0.2333852842547209,0.5860007405281067,1.4659099578857422,7.045179826514758e-05,0.0486015377363477,OSQP:optimal,0.001,51.24140047095716,16785.218754272108,7.336005944991484,69532672,2468347904
8,0.0986601859331131,0.2306907822882887,0.5860196948051453,1.4659323692321775,7.038224609090538e-05,0.0483767078145117,OSQP:optimal,0.001,58.66773640597239,16808.30648031109,7.382745795010123,69545984,2468347904
9,0.079398863017559,0.2276649439028741,0.586046576499939,1.465966820716858,7.026855100189522e-05,0.0481291726227616,OSQP:optimal,0.001,66.23938121995889,16861.602486102867,7.528226312017068,69542912,2468347904
10,0.061854962259531,0.2243487442700072,0.5861061215400696,1.4660471677780151,7.005229784051714e-05,0.047871639892648,OSQP:optimal,0.001,73.64062899496639,16863.704039847304,7.358225306961685,69525504,2468347904
11,0.0467434599995613,0.2207966385845983,0.5860965251922607,1.466031789779663,6.999402716423297e-05,0.0475797681265982,OSQP:optimal,0.001,81.22708161897026,16902.617256892994,7.541453329031356,69536256,2478833664
12,0.0330261141061782,0.2170412280950299,0.586066484451294,1.4659878015518188,6.99754593411761e-05,0.0472730124454365,OSQP:optimal,0.001,88.63280122994911,16899.32076784363,7.361403242975939,69518848,2478833664
13,0.0243412256240844,0.213187228045611,0.5860387086868286,1.4659465551376345,6.994329535547905e-05,0.0469621146690783,OSQP:optimal,0.001,96.0864797749673,16903.829172719248,7.409293828008231,69528064,2478833664
14,0.0190445221960544,0.2093043739286199,0.5860257148742676,1.4659254550933838,6.986797815500267e-05,0.0466541239781958,OSQP:optimal,0.001,103.66968299698785,16927.778237936727,7.537435776961502,69522944,2478833664
15,0.0194929223507642,0.2055081448970628,0.586035430431366,1.465934991836548,6.973047356206852e-05,0.0463538787805732,OSQP:optimal,0.001,111.12513137899803,16928.06168006737,7.409546677023172,69527552,2478833664
16,0.0238342639058828,0.2018746672772391,0.5860428810119629,1.4659403562545776,6.95972628985686e-05,0.0460568568583206,OSQP:optimal,0.001,118.5553706289502,16923.77915728264,7.38574359001359,69527552,2478833664
17,0.0292823575437068,0.1984228210825685,0.5860030651092529,1.465878963470459,6.958468900786219e-05,0.0457524647494171,OSQP:optimal,0.001,126.13941309094662,16939.781181566537,7.539076745975763,69530624,2478833664
18,0.0331946201622486,0.1951182570641621,0.585981547832489,1.4658417701721191,6.952678499738685e-05,0.0454612514791336,OSQP:optimal,0.001,133.60827255999902,16938.559887884323,7.423870111990254,69540864,2478833664
19,0.0347332693636417,0.1919105573101517,0.5859791040420532,1.4658297300338743,6.94226161228606e-05,0.04518368613603,OSQP:optimal,0.001,141.18238840095,16949.317260135103,7.528822243970353,69522432,2478833664
20,0.0344936698675155,0.188762219561299,0.5860289931297302,1.4658883810043335,6.918642346576132e-05,0.044929708037326,OSQP:optimal,0.001,148.64131741697202,16945.11018553481,7.412880840012804,69515264,2499805184
21,0.0331145264208316,0.1856492656984896,0.5860288143157959,1.4658761024475098,6.908085243961803e-05,0.0446715103071736,OSQP:optimal,0.001,156.12286469596438,16943.048030576323,7.435583944024984,69536256,2510290944
22,0.0295875538140535,0.1825280314608009,0.5860841870307922,1.4659395217895508,6.883808021973525e-05,0.0444401593112066,OSQP:optimal,0.001,163.71372253698064,16951.811815420086,7.545870569010731,69544960,2514485248
23,0.026768933981657,0.179412849511218,0.5861831903457642,1.466062068939209,6.848969128070426e-05,0.0442352679237886,OSQP:optimal,0.001,171.15600684896344,16944.44467804738,7.397070331964642,69528064,2514485248
24,0.0232347100973129,0.1762892867229399,0.5862584710121155,1.4661507606506348,6.821332935091906e-05,0.0440411957475589,OSQP:optimal,0.001,178.60460423195036,16937.669967996626,7.4034770500147715,69526016,2514485248
25,0.0213089864701032,0.1731896807178831,0.5864017009735107,1.4663325548171997,6.777546575864601e-05,0.0438884572252901,OSQP:optimal,0.001,186.14418215799375,16939.120576377434,7.494173170009162,69514240,2514485248
26,0.0193178094923496,0.1701122432933725,0.5865311622619629,1.4664944410324097,6.740244648761884e-05,0.0437580715277176,OSQP:optimal,0.001,193.62096255098004,16934.38726311264,7.43115802196553,69537280,2514485248
27,0.0179281439632177,0.1670685613067694,0.5866882801055908,1.4666954278945925,6.69955129897204e-05,0.0436658877193969,OSQP:optimal,0.001,201.2303610339877,16940.61520852793,7.564509317046031,69526016,2514485248
28,0.0182064399123191,0.1640913188788804,0.5867722630500793,1.4668009281158447,6.681100631134029e-05,0.0435935505516429,OSQP:optimal,0.001,208.7237645139685,16936.442606276298,7.448515844007488,69532672,2514485248
29,0.0183608084917068,0.1611767086711369,0.5867823362350464,1.4668145179748535,6.680454073071385e-05,0.0435471047132091,OSQP:optimal,0.001,216.19324082595995,16930.16723847431,7.425766718981322,69532160,2514485248
30,0.0189687199890613,0.1583325488974954,0.5867394208908081,1.4667611122131348,6.69055031742305e-05,0.043519912833215,OSQP:optimal,0.001,223.79224744497333,16933.61339000298,7.554572182008997,69527552,2514485248
31,0.0191274229437112,0.1555484463784197,0.5866683721542358,1.466671586036682,6.705949251095689e-05,0.0435082467429595,OSQP:optimal,0.001,231.22632859897567,16924.275470679866,7.389066192030441,69524480,2514485248
32,0.0196481365710496,0.1528304401822723,0.5865834951400757,1.4665632247924805,6.724487619169661e-05,0.0435081796366671,OSQP:optimal,0.001,238.6587770159822,16914.940821007738,7.380718187021557,69534720,2514485248
33,0.0200203545391559,0.15017423846941,0.5864598155021667,1.46640145778656,6.753724581254339e-05,0.0435097517820453,OSQP:optimal,0.001,246.25349731295137,16916.869042680628,7.549365507031325,69540864,2514485248
34,0.0202653724700212,0.1475760611494222,0.5863634347915649,1.4662774801254272,6.776678043618478e-05,0.0435297188600621,OSQP:optimal,0.001,253.70417116297176,16908.636819273353,7.405210278986487,69533184,2514485248
35,0.0202741138637065,0.1450300222037079,0.586461067199707,1.466208577156067,6.796125786467933e-05,0.0435629646814797,OSQP:optimal,0.001,261.1991084749461,16903.31373416437,7.450133354985155,69533184,2514485248
36,0.0201710425317287,0.1425328426102683,0.5890077352523804,1.4667119979858398,6.828238914724505e-05,0.0435890805997722,OSQP:optimal,0.001,268.8181935509783,16905.6775055393,7.57472349202726,69540864,2514485248
