beta,q_prefix_fraction,latent_dimension,prior_mean,prior_std
0.1,0.07718397727272727,0,-0.29625627398490906,0.15434350073337555
0.1,0.07718397727272727,1,0.3266502022743225,0.17672473192214966
0.1,0.07718397727272727,2,0.31027573347091675,0.17766842246055603
0.1,0.07718397727272727,3,0.15021824836730957,0.1470462679862976
0.1,0.07718397727272727,4,0.30563420057296753,0.17589369416236877
0.1,0.07718397727272727,5,0.27420708537101746,0.1670813262462616
0.1,0.07718397727272727,6,-0.2705047130584717,0.16417710483074188
0.1,0.07718397727272727,7,0.24116119742393494,0.15749861299991608
0.1,0.07718397727272727,8,-0.348223477602005,0.17780843377113342
0.1,0.07718397727272727,9,0.2552863359451294,0.15827228128910065
0.1,0.07718397727272727,10,-0.17654593288898468,0.15080159902572632
0.1,0.07718397727272727,11,0.3866555094718933,0.1844792664051056
0.1,0.07718397727272727,12,0.1829788088798523,0.14797882735729218
0.1,0.07718397727272727,13,0.03971593827009201,0.11887827515602112
0.1,0.07718397727272727,14,-0.24583891034126282,0.16638527810573578
0.1,0.07718397727272727,15,-0.3248213827610016,0.17739780247211456
0.1,0.07718397727272727,16,0.12389737367630005,0.1277073621749878
0.1,0.07718397727272727,17,0.31352952122688293,0.17224860191345215
0.1,0.07718397727272727,18,0.11189322918653488,0.12501591444015503
0.1,0.07718397727272727,19,0.32344120740890503,0.16924937069416046
0.1,0.07718397727272727,20,0.11156056076288223,0.1272701472043991
0.1,0.07718397727272727,21,0.25614121556282043,0.17059950530529022
0.1,0.07718397727272727,22,-0.33747848868370056,0.18720611929893494
0.1,0.07718397727272727,23,0.17849242687225342,0.1476016789674759
0.1,0.07718397727272727,24,0.2785102128982544,0.16388137638568878
0.1,0.07718397727272727,25,0.36971646547317505,0.18992367386817932
0.1,0.07718397727272727,26,-0.1620483249425888,0.14311560988426208
0.1,0.07718397727272727,27,-0.04229104146361351,0.11286227405071259
0.1,0.07718397727272727,28,-0.2610790729522705,0.16246603429317474
0.1,0.07718397727272727,29,0.1408158391714096,0.1392250508069992
0.1,0.07718397727272727,30,-0.24569153785705566,0.16458651423454285
0.1,0.07718397727272727,31,-0.11341515183448792,0.12702423334121704
0.2,0.211545553030303,0,-0.29626601934432983,0.1543443351984024
0.2,0.211545553030303,1,0.3266584277153015,0.17672571539878845
0.2,0.211545553030303,2,0.3102801442146301,0.17766955494880676
0.2,0.211545553030303,3,0.1502223163843155,0.14704683423042297
0.2,0.211545553030303,4,0.30564218759536743,0.175894632935524
0.2,0.211545553030303,5,0.2742142379283905,0.16708235442638397
0.2,0.211545553030303,6,-0.27051275968551636,0.16417793929576874
0.2,0.211545553030303,7,0.24116575717926025,0.1574995219707489
0.2,0.211545553030303,8,-0.3482323884963989,0.17780965566635132
0.2,0.211545553030303,9,0.25529447197914124,0.1582729071378708
0.2,0.211545553030303,10,-0.17655079066753387,0.1508026421070099
0.2,0.211545553030303,11,0.38666364550590515,0.18448027968406677
0.2,0.211545553030303,12,0.18298356235027313,0.14797961711883545
0.2,0.211545553030303,13,0.039720162749290466,0.11887840926647186
0.2,0.211545553030303,14,-0.24584704637527466,0.16638639569282532
0.2,0.211545553030303,15,-0.32482919096946716,0.17739874124526978
0.2,0.211545553030303,16,0.12389901280403137,0.12770769000053406
0.2,0.211545553030303,17,0.3135380148887634,0.1722496896982193
0.2,0.211545553030303,18,0.11189538240432739,0.12501636147499084
0.2,0.211545553030303,19,0.3234514594078064,0.16925013065338135
0.2,0.211545553030303,20,0.11156272143125534,0.1272706389427185
0.2,0.211545553030303,21,0.2561477720737457,0.17060060799121857
0.2,0.211545553030303,22,-0.3374861776828766,0.18720708787441254
0.2,0.211545553030303,23,0.1784975379705429,0.14760221540927887
0.2,0.211545553030303,24,0.27851882576942444,0.16388235986232758
0.2,0.211545553030303,25,0.36972343921661377,0.18992498517036438
0.2,0.211545553030303,26,-0.1620500683784485,0.1431163251399994
0.2,0.211545553030303,27,-0.04229423403739929,0.1128624677658081
0.2,0.211545553030303,28,-0.2610841989517212,0.162467360496521
0.2,0.211545553030303,29,0.14081895351409912,0.13922564685344696
0.2,0.211545553030303,30,-0.24569949507713318,0.16458751261234283
0.2,0.211545553030303,31,-0.11341981589794159,0.12702468037605286
0.3,0.35055925757575757,0,-0.2962712347507477,0.15434473752975464
0.3,0.35055925757575757,1,0.32666289806365967,0.17672620713710785
0.3,0.35055925757575757,2,0.3102821707725525,0.17767010629177094
0.3,0.35055925757575757,3,0.15022456645965576,0.14704708755016327
0.3,0.35055925757575757,4,0.3056463599205017,0.1758950799703598
0.3,0.35055925757575757,5,0.2742181718349457,0.16708286106586456
0.3,0.35055925757575757,6,-0.27051693201065063,0.16417831182479858
0.3,0.35055925757575757,7,0.24116799235343933,0.1575000137090683
0.3,0.35055925757575757,8,-0.348237007856369,0.17781022191047668
0.3,0.35055925757575757,9,0.25529882311820984,0.15827322006225586
0.3,0.35055925757575757,10,-0.17655347287654877,0.15080313384532928
0.3,0.35055925757575757,11,0.386667937040329,0.18448075652122498
0.3,0.35055925757575757,12,0.18298611044883728,0.1479799747467041
0.3,0.35055925757575757,13,0.03972248733043671,0.11887845396995544
0.3,0.35055925757575757,14,-0.24585166573524475,0.1663869470357895
0.3,0.35055925757575757,15,-0.32483330368995667,0.17739912867546082
0.3,0.35055925757575757,16,0.1238996833562851,0.1277078092098236
0.3,0.35055925757575757,17,0.3135424554347992,0.17225022614002228
0.3,0.35055925757575757,18,0.11189629137516022,0.12501662969589233
0.3,0.35055925757575757,19,0.32345688343048096,0.1692505031824112
0.3,0.35055925757575757,20,0.11156361550092697,0.1272708922624588
0.3,0.35055925757575757,21,0.2561509311199188,0.17060115933418274
0.3,0.35055925757575757,22,-0.33749011158943176,0.18720753490924835
0.3,0.35055925757575757,23,0.178500235080719,0.14760248363018036
0.3,0.35055925757575757,24,0.278523325920105,0.16388283669948578
0.3,0.35055925757575757,25,0.36972689628601074,0.18992559611797333
0.3,0.35055925757575757,26,-0.16205090284347534,0.14311672747135162
0.3,0.35055925757575757,27,-0.042295943945646286,0.11286255717277527
0.3,0.35055925757575757,28,-0.26108700037002563,0.1624680459499359
0.3,0.35055925757575757,29,0.14082083106040955,0.13922588527202606
0.3,0.35055925757575757,30,-0.24570371210575104,0.16458801925182343
0.3,0.35055925757575757,31,-0.11342236399650574,0.12702491879463196
0.4,0.4849766212121212,0,-0.29627522826194763,0.1543450653553009
0.4,0.4849766212121212,1,0.32666629552841187,0.1767265945672989
0.4,0.4849766212121212,2,0.3102837800979614,0.17767055332660675
0.4,0.4849766212121212,3,0.15022632479667664,0.14704731106758118
0.4,0.4849766212121212,4,0.3056495189666748,0.17589546740055084
0.4,0.4849766212121212,5,0.2742212116718292,0.1670832335948944
0.4,0.4849766212121212,6,-0.27052009105682373,0.16417863965034485
0.4,0.4849766212121212,7,0.24116966128349304,0.15750040113925934
0.4,0.4849766212121212,8,-0.34824055433273315,0.1778106987476349
0.4,0.4849766212121212,9,0.2553020417690277,0.15827348828315735
0.4,0.4849766212121212,10,-0.17655552923679352,0.15080352127552032
0.4,0.4849766212121212,11,0.3866712749004364,0.1844811588525772
0.4,0.4849766212121212,12,0.18298809230327606,0.14798028767108917
0.4,0.4849766212121212,13,0.039724163711071014,0.11887849867343903
0.4,0.4849766212121212,14,-0.24585509300231934,0.16638734936714172
0.4,0.4849766212121212,15,-0.32483646273612976,0.17739948630332947
0.4,0.4849766212121212,16,0.12390022724866867,0.12770789861679077
0.4,0.4849766212121212,17,0.31354576349258423,0.1722506582736969
0.4,0.4849766212121212,18,0.11189690232276917,0.12501685321331024
0.4,0.4849766212121212,19,0.32346099615097046,0.16925078630447388
0.4,0.4849766212121212,20,0.1115642562508583,0.1272711157798767
0.4,0.4849766212121212,21,0.2561532258987427,0.17060163617134094
0.4,0.4849766212121212,22,-0.3374931216239929,0.1872079074382782
0.4,0.4849766212121212,23,0.17850229144096375,0.14760267734527588
0.4,0.4849766212121212,24,0.2785266637802124,0.16388322412967682
0.4,0.4849766212121212,25,0.36972957849502563,0.18992610275745392
0.4,0.4849766212121212,26,-0.16205164790153503,0.1431170105934143
0.4,0.4849766212121212,27,-0.04229716584086418,0.11286264657974243
0.4,0.4849766212121212,28,-0.26108917593955994,0.16246859729290009
0.4,0.4849766212121212,29,0.14082227647304535,0.13922609388828278
0.4,0.4849766212121212,30,-0.24570682644844055,0.16458843648433685
0.4,0.4849766212121212,31,-0.11342421919107437,0.12702511250972748
0.5,0.6193360606060606,0,-0.2962786555290222,0.15434537827968597
0.5,0.6193360606060606,1,0.32666921615600586,0.17672698199748993
0.5,0.6193360606060606,2,0.31028521060943604,0.17767097055912018
0.5,0.6193360606060606,3,0.15022790431976318,0.14704753458499908
0.5,0.6193360606060606,4,0.3056522607803345,0.1758958250284195
0.5,0.6193360606060606,5,0.27422380447387695,0.16708362102508545
0.5,0.6193360606060606,6,-0.27052271366119385,0.16417895257472992
0.5,0.6193360606060606,7,0.24117106199264526,0.1575007438659668
0.5,0.6193360606060606,8,-0.3482435941696167,0.1778111457824707
0.5,0.6193360606060606,9,0.2553047239780426,0.15827372670173645
0.5,0.6193360606060606,10,-0.17655731737613678,0.1508038491010666
0.5,0.6193360606060606,11,0.3866741955280304,0.18448154628276825
0.5,0.6193360606060606,12,0.18298983573913574,0.14798055589199066
0.5,0.6193360606060606,13,0.03972553461790085,0.11887854337692261
0.5,0.6193360606060606,14,-0.24585789442062378,0.16638778150081635
0.5,0.6193360606060606,15,-0.32483917474746704,0.17739981412887573
0.5,0.6193360606060606,16,0.12390071898698807,0.12770800292491913
0.5,0.6193360606060606,17,0.3135485351085663,0.17225107550621033
0.5,0.6193360606060606,18,0.11189737915992737,0.12501704692840576
0.5,0.6193360606060606,19,0.32346445322036743,0.16925109922885895
0.5,0.6193360606060606,20,0.11156483739614487,0.12727132439613342
0.5,0.6193360606060606,21,0.25615522265434265,0.17060206830501556
0.5,0.6193360606060606,22,-0.33749568462371826,0.18720826506614685
0.5,0.6193360606060606,23,0.1785040944814682,0.147602841258049
0.5,0.6193360606060606,24,0.27852946519851685,0.16388356685638428
0.5,0.6193360606060606,25,0.3697320818901062,0.18992659449577332
0.5,0.6193360606060606,26,-0.16205237805843353,0.1431172490119934
0.5,0.6193360606060606,27,-0.04229814186692238,0.1128627210855484
0.5,0.6193360606060606,28,-0.26109105348587036,0.1624690741300583
0.5,0.6193360606060606,29,0.14082346856594086,0.1392262578010559
0.5,0.6193360606060606,30,-0.24570944905281067,0.1645887941122055
0.5,0.6193360606060606,31,-0.11342573165893555,0.127025306224823
0.6,0.7398775151515151,0,-0.2962815761566162,0.15434566140174866
0.6,0.7398775151515151,1,0.32667165994644165,0.176727294921875
0.6,0.7398775151515151,2,0.31028658151626587,0.17767134308815002
0.6,0.7398775151515151,3,0.1502292901277542,0.1470477283000946
0.6,0.7398775151515151,4,0.3056545555591583,0.17589616775512695
0.6,0.7398775151515151,5,0.27422603964805603,0.1670839637517929
0.6,0.7398775151515151,6,-0.27052491903305054,0.1641792505979538
0.6,0.7398775151515151,7,0.24117222428321838,0.15750107169151306
0.6,0.7398775151515151,8,-0.34824612736701965,0.17781153321266174
0.6,0.7398775151515151,9,0.2553069293498993,0.15827396512031555
0.6,0.7398775151515151,10,-0.17655877768993378,0.15080417692661285
0.6,0.7398775151515151,11,0.38667675852775574,0.1844819039106369
0.6,0.7398775151515151,12,0.18299131095409393,0.14798082411289215
0.6,0.7398775151515151,13,0.03972666710615158,0.11887858808040619
0.6,0.7398775151515151,14,-0.24586015939712524,0.166388139128685
0.6,0.7398775151515151,15,-0.3248414695262909,0.1774001568555832
0.6,0.7398775151515151,16,0.12390117347240448,0.1277080774307251
0.6,0.7398775151515151,17,0.31355082988739014,0.17225144803524017
0.6,0.7398775151515151,18,0.11189773678779602,0.1250171959400177
0.6,0.7398775151515151,19,0.3234673738479614,0.16925139725208282
0.6,0.7398775151515151,20,0.11156539618968964,0.12727145850658417
0.6,0.7398775151515151,21,0.25615689158439636,0.1706024706363678
0.6,0.7398775151515151,22,-0.33749786019325256,0.1872086226940155
0.6,0.7398775151515151,23,0.17850561439990997,0.14760303497314453
0.6,0.7398775151515151,24,0.2785318195819855,0.16388387978076935
0.6,0.7398775151515151,25,0.3697342276573181,0.18992704153060913
0.6,0.7398775151515151,26,-0.16205306351184845,0.14311747252941132
0.6,0.7398775151515151,27,-0.042298875749111176,0.11286279559135437
0.6,0.7398775151515151,28,-0.2610926330089569,0.16246947646141052
0.6,0.7398775151515151,29,0.14082442224025726,0.13922642171382904
0.6,0.7398775151515151,30,-0.24571162462234497,0.16458912193775177
0.6,0.7398775151515151,31,-0.11342694610357285,0.12702548503875732
0.7,0.7806253787878787,0,-0.29628273844718933,0.1543457806110382
0.7,0.7806253787878787,1,0.3266725540161133,0.17672745883464813
0.7,0.7806253787878787,2,0.31028711795806885,0.17767152190208435
0.7,0.7806253787878787,3,0.15022984147071838,0.14704781770706177
0.7,0.7806253787878787,4,0.30565541982650757,0.1758963167667389
0.7,0.7806253787878787,5,0.27422693371772766,0.16708411276340485
0.7,0.7806253787878787,6,-0.27052581310272217,0.16417934000492096
0.7,0.7806253787878787,7,0.2411726713180542,0.1575011909008026
0.7,0.7806253787878787,8,-0.34824705123901367,0.17781172692775726
0.7,0.7806253787878787,9,0.25530776381492615,0.15827403962612152
0.7,0.7806253787878787,10,-0.17655931413173676,0.1508042961359024
0.7,0.7806253787878787,11,0.3866778016090393,0.18448206782341003
0.7,0.7806253787878787,12,0.1829918771982193,0.14798091351985931
0.7,0.7806253787878787,13,0.039727091789245605,0.11887860298156738
0.7,0.7806253787878787,14,-0.24586093425750732,0.16638830304145813
0.7,0.7806253787878787,15,-0.32484230399131775,0.17740030586719513
0.7,0.7806253787878787,16,0.12390139698982239,0.12770812213420868
0.7,0.7806253787878787,17,0.313551664352417,0.1722515970468521
0.7,0.7806253787878787,18,0.11189785599708557,0.12501725554466248
0.7,0.7806253787878787,19,0.32346856594085693,0.16925153136253357
0.7,0.7806253787878787,20,0.11156575381755829,0.12727153301239014
0.7,0.7806253787878787,21,0.2561574876308441,0.17060261964797974
0.7,0.7806253787878787,22,-0.3374987244606018,0.18720878660678864
0.7,0.7806253787878787,23,0.17850621044635773,0.1476031243801117
0.7,0.7806253787878787,24,0.2785326838493347,0.1638840287923813
0.7,0.7806253787878787,25,0.36973512172698975,0.18992723524570465
0.7,0.7806253787878787,26,-0.16205330193042755,0.14311757683753967
0.7,0.7806253787878787,27,-0.04229910671710968,0.11286281049251556
0.7,0.7806253787878787,28,-0.2610933184623718,0.16246965527534485
0.7,0.7806253787878787,29,0.14082470536231995,0.139226496219635
0.7,0.7806253787878787,30,-0.24571244418621063,0.1645892709493637
0.7,0.7806253787878787,31,-0.11342740058898926,0.1270255446434021
0.8,0.8098107575757575,0,-0.29628226161003113,0.15434585511684418
0.8,0.8098107575757575,1,0.326671838760376,0.17672745883464813
0.8,0.8098107575757575,2,0.3102870583534241,0.17767159640789032
0.8,0.8098107575757575,3,0.1502295732498169,0.14704778790473938
0.8,0.8098107575757575,4,0.305654913187027,0.17589633166790009
0.8,0.8098107575757575,5,0.2742265462875366,0.16708418726921082
0.8,0.8098107575757575,6,-0.2705254554748535,0.16417942941188812
0.8,0.8098107575757575,7,0.24117262661457062,0.15750113129615784
0.8,0.8098107575757575,8,-0.34824633598327637,0.17781175673007965
0.8,0.8098107575757575,9,0.2553069591522217,0.15827405452728271
0.8,0.8098107575757575,10,-0.1765589416027069,0.1508042812347412
0.8,0.8098107575757575,11,0.386677622795105,0.184482142329216
0.8,0.8098107575757575,12,0.18299150466918945,0.14798091351985931
0.8,0.8098107575757575,13,0.03972665220499039,0.11887866258621216
0.8,0.8098107575757575,14,-0.24585998058319092,0.1663883477449417
