horizon,status,reason,num_context_cells,num_test_cells,lifetime_rmse_cycles,lifetime_mae_cycles,rul_rmse_cycles,rul_mae_cycles,rul_mape_percent,rul_bias_cycles,rul_coverage,rul_mean_interval_width_cycles
60,ok,,12,34,614.425185676565,552.4757405508244,614.425185676565,552.4757405508244,91.56735814413135,510.0867583563428,0.35294117647058826,955.0079424565665
80,ok,,12,34,407.28323935159557,326.07899972767297,407.28323935159557,326.07899972767297,50.34693960267156,302.33396866306606,0.4117647058823529,614.3681017983924
100,ok,,12,34,145.37989839124344,102.06659369005395,145.37989839124344,102.06659369005395,15.071476754898683,29.171861437641184,0.7058823529411765,313.8126685269892
120,ok,,12,34,150.76062433172405,113.34758854810524,150.76062433172405,113.34758854810524,16.843141858227604,20.280113567216898,0.6176470588235294,247.23548201692648
140,ok,,12,34,169.15115968235227,116.71492564844185,169.15115968235227,116.71492564844185,18.097255305977477,44.95006152983056,0.6176470588235294,245.0126060625406
160,ok,,12,34,171.88330689440645,117.38912737970175,171.88330689440645,117.38912737970175,17.95836140269702,29.99481454339077,0.5882352941176471,226.2231960308276
180,ok,,12,34,182.34248436017606,116.72354614111896,182.34248436017606,116.72354614111896,18.77849935189595,56.454040962042804,0.5588235294117647,227.7885254654315
200,ok,,12,34,166.146482113213,109.81746284314241,166.146482113213,109.81746284314241,18.171917241327904,37.628346678591946,0.5588235294117647,215.36479275294838
220,ok,,12,34,178.05758808465754,115.78335701071818,178.05758808465754,115.78335701071818,20.319045670706014,59.358987172869945,0.5,222.85300420901737
240,ok,,12,34,144.04649921208687,103.22163606939912,144.04649921208687,103.22163606939912,18.678662344263888,30.186800399509753,0.5882352941176471,209.17911131835515
260,ok,,12,34,139.1173208324092,99.62775693169196,139.1173208324092,99.62775693169196,18.929022228753105,30.48460216345437,0.5882352941176471,206.78917419558036
280,ok,,12,34,126.20537841928184,93.86729586147241,126.20537841928184,93.86729586147241,19.01957293807614,25.136317992710048,0.5882352941176471,202.55354226638164
300,ok,,12,34,118.88757985909852,88.90897811628665,118.88757985909852,88.90897811628665,19.363910983142286,16.83981922395037,0.5882352941176471,187.67406599091962
320,ok,,12,34,116.38258765614461,87.15894662909048,116.38258765614461,87.15894662909048,23.617215893006506,23.868815228359857,0.5588235294117647,187.151945613947
340,ok,,12,33,112.44142146964214,84.56123035115152,112.44142146964214,84.56123035115152,20.32319092921134,21.35457559194501,0.5757575757575758,193.06643260649156
360,ok,,12,33,109.55357235079127,79.86678109246131,109.55357235079127,79.86678109246131,20.030546557059242,-0.28525098475568134,0.6060606060606061,183.21449454815615
380,ok,,12,33,109.86392585600501,78.8270485028792,109.86392585600501,78.8270485028792,21.286009154000954,-0.8396229906083149,0.6363636363636364,182.85155272343724
400,ok,,12,33,102.67558428469329,72.38289094515113,102.67558428469329,72.38289094515113,21.175995971025284,-12.285689294411439,0.7575757575757576,183.92959882358346
420,ok,,12,33,106.2338117091867,72.52442750717027,106.2338117091867,72.52442750717027,31.127362238990784,-42.01336679459856,0.6363636363636364,171.92293540724026
440,ok,,12,32,111.39432426330802,75.93113029020407,111.39432426330802,75.93113029020407,32.52024885082767,-42.894214765958004,0.59375,174.18906330587444
460,ok,,12,31,122.02948894423052,82.91721085036963,122.02948894423052,82.91721085036963,34.946506890497126,-54.52263694662696,0.6129032258064516,180.42643816434062
480,ok,,12,31,143.50473593194488,109.98491344927092,143.50473593194488,109.98491344927092,72.8709416039624,-100.45822892509396,0.41935483870967744,167.41305455644041
500,ok,,12,30,146.415632626827,106.43509774625521,146.415632626827,106.43509774625521,94.1355845392,-95.79585811591382,0.4666666666666667,169.76971247198858
520,ok,,12,28,193.99454351943174,140.19266973089876,193.99454351943174,140.19266973089876,61.466370795264815,-135.1157473653488,0.2857142857142857,155.89943310516566
540,ok,,12,27,272.1078459763058,187.35856854992937,272.1078459763058,187.35856854992937,60.157727780841476,-187.35856854992937,0.1111111111111111,133.81847029619564
560,ok,,12,27,293.9470794964928,211.39876965018337,293.9470794964928,211.39876965018337,77.68090115981846,-211.39876965018337,0.07407407407407407,127.92484410964711
580,ok,,12,27,302.32566452355394,224.6284615107036,302.32566452355394,224.6284615107036,97.67370678404066,-224.6284615107036,0.037037037037037035,124.74445290363683
600,ok,,12,27,331.8877077580072,264.8251177789766,331.8877077580072,264.8251177789766,144.71836016158522,-264.8251177789766,0.0,118.15661829903944
