mode,mae,rmse,r2,r2_nan_reason,max_absolute_error,final_cycle_absolute_error,pre_eol_mae,post_eol_mae,prediction_point_count,true_eol_cycle,predicted_eol_cycle_discrete,predicted_eol_cycle_interpolated,true_rul,predicted_rul,signed_rul_error,absolute_rul_error,relative_absolute_rul_error,crossing_found,adaptation_mode
transfer_0,0.021084385137736326,0.027181910683512507,0.906363210270036,,0.06767140144256723,0.06279353315947944,0.00809786635652361,0.033702118395750304,972,579,645.0,644.1636583011581,479.0,545.0,66.0,66.0,0.13778705636743216,True,transfer_0
transfer_fast_1,0.19098686342407178,0.19488449874406213,-3.813280221956113,,0.2857052516355909,0.2822528284323066,0.15928706822843147,0.22178646159590085,972,579,,,479.0,,,,,False,transfer_fast_1
transfer_fast_3,0.6023571012763921,0.6059278626015564,-45.529501550853766,,0.7441313695326246,0.7416946690809577,0.5477420487700508,0.6554212192288007,972,579,,,479.0,,,,,False,transfer_fast_3
transfer_fast_5,1.6287614662537457,1.631219078972367,-336.21830285141255,,1.7976762484922804,1.795561293913111,1.5565330260848187,1.6989387945314662,972,579,,,479.0,,,,,False,transfer_fast_5
transfer_fast_10,0.3601247115988821,0.37742940587276563,-17.053359085987275,,0.4995483718959778,0.24032278840424126,0.37305067946948506,0.3475658097530021,972,579,164.0,163.56544573897105,479.0,64.0,-415.0,415.0,0.8663883089770354,True,transfer_fast_10
transfer_fast_15,0.2502650378669265,0.27499786860576886,-8.583964783467318,,0.40884200972803975,0.1558524865377099,0.2370595645482724,0.26309550788647074,972,579,251.0,250.6923184218392,479.0,151.0,-328.0,328.0,0.6847599164926931,True,transfer_fast_15
transfer_fast_20,0.2046114822957662,0.22803898114787965,-5.590293213349786,,0.3565802995611086,0.10879935805679863,0.1928465103828392,0.2160423576432145,972,579,268.0,267.58484964962594,479.0,168.0,-311.0,311.0,0.6492693110647182,True,transfer_fast_20
transfer_full,0.0445723194040625,0.05176174717340867,0.6604494737439752,,0.12773027629693623,0.1125033896696418,0.0439637386874844,0.04516361790962215,972,579,401.0,400.50368271954665,479.0,301.0,-178.0,178.0,0.37160751565762007,True,transfer_full
