step,loss,nll,kl,consistency_loss,consistency_weight,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
1,1.0958796739578247,1.095870018005371,0.04818669706583023,0.0,0.0,0.0002,2.0145082473754883,False,300,"MATR_b2c20,MATR_b1c9,MATR_b4c31,MATR_b4c33,MATR_b1c23,MATR_b3c11,MATR_b1c1,MATR_b4c23,MATR_b4c38,MATR_b1c29,MATR_b2c10,MATR_b1c0,MATR_b1c7","MATR_b2c47,MATR_b2c14,MATR_b2c31,MATR_b2c45,MATR_b2c42,MATR_b2c35,MATR_b3c4,MATR_b4c28",462.0,1045.0,,0.17539966804906726
2,1.054102897644043,1.05409574508667,0.01787329651415348,0.0,0.0,0.0004,0.3764207661151886,False,280,"MATR_b1c41,MATR_b2c28,MATR_b3c4,MATR_b3c21,MATR_b2c17,MATR_b1c36,MATR_b4c22,MATR_b4c40,MATR_b3c5","MATR_b4c8,MATR_b1c28,MATR_b3c0,MATR_b2c10,MATR_b2c46,MATR_b2c20,MATR_b1c9,MATR_b4c30",428.0,1052.0,,0.28872445318847895
3,0.9695464372634888,0.9694977402687073,0.08116426318883896,0.0,0.0,0.0006,2.2441365718841553,False,140,"MATR_b2c38,MATR_b2c29,MATR_b1c38,MATR_b2c20,MATR_b1c43,MATR_b4c26,MATR_b2c0,MATR_b2c23,MATR_b2c45","MATR_b4c2,MATR_b4c44,MATR_b3c27,MATR_b1c24,MATR_b3c11,MATR_b2c39,MATR_b4c5,MATR_b3c25",458.0,1015.0,,0.39821633929386735
4,1.2677370309829712,1.2677199840545654,0.021380219608545303,0.0,0.0,0.0008,2.4349000453948975,False,140,"MATR_b3c40,MATR_b2c5,MATR_b4c37,MATR_b2c42,MATR_b1c38,MATR_b4c17,MATR_b1c20,MATR_b4c43,MATR_b2c6,MATR_b1c33","MATR_b1c9,MATR_b4c2,MATR_b1c15,MATR_b3c34,MATR_b4c27,MATR_b3c26,MATR_b2c20,MATR_b3c25",500.0,1156.0,,0.49730610894039273
5,3.225085496902466,3.225081443786621,0.00414425740018487,0.0,0.0,0.001,,True,160,"MATR_b3c40,MATR_b4c39,MATR_b3c19,MATR_b1c0,MATR_b3c0,MATR_b1c33,MATR_b4c44,MATR_b1c43,MATR_b2c0,MATR_b4c0,MATR_b2c45,MATR_b1c38,MATR_b2c4,MATR_b4c35","MATR_b4c43,MATR_b4c4,MATR_b1c31,MATR_b4c25,MATR_b2c17,MATR_b1c1,MATR_b1c7,MATR_b2c28",453.0,2154.0,,0.5778154022991657
6,1.1194182634353638,1.1194064617156982,0.009816601872444153,0.0,0.0,0.0012,2.5325064659118652,False,120,"MATR_b3c38,MATR_b4c41,MATR_b2c44,MATR_b1c32,MATR_b1c45,MATR_b2c17,MATR_b2c4,MATR_b1c41,MATR_b2c2,MATR_b4c22,MATR_b2c13,MATR_b2c26,MATR_b1c38","MATR_b4c30,MATR_b4c17,MATR_b1c9,MATR_b1c17,MATR_b1c16,MATR_b3c10,MATR_b3c26,MATR_b2c11",476.0,1076.0,,0.676519769243896
7,1.0603693723678589,1.0603448152542114,0.017520632594823837,0.0,0.0,0.0014,0.1829439401626587,False,160,"MATR_b4c27,MATR_b4c43,MATR_b4c22,MATR_b3c40,MATR_b4c19,MATR_b2c4,MATR_b1c28,MATR_b3c19,MATR_b4c23,MATR_b1c16","MATR_b2c18,MATR_b2c10,MATR_b1c38,MATR_b2c28,MATR_b1c15,MATR_b1c40,MATR_b3c39,MATR_b4c13",486.0,1154.0,,0.738541953265667
8,2.471855640411377,2.471835136413574,0.012789374217391014,0.0,0.0,0.0016,,True,180,"MATR_b1c26,MATR_b3c22,MATR_b4c35,MATR_b2c25,MATR_b3c34,MATR_b2c18,MATR_b1c28,MATR_b4c2,MATR_b3c39,MATR_b4c23,MATR_b4c44,MATR_b1c20,MATR_b2c17","MATR_b4c8,MATR_b2c0,MATR_b4c22,MATR_b2c36,MATR_b4c39,MATR_b1c39,MATR_b3c12,MATR_b1c0",299.0,1858.0,,0.8086622939445078
9,0.950039267539978,0.950013279914856,0.014445151202380657,0.0,0.0,0.0018,1.02693772315979,False,240,"MATR_b2c11,MATR_b2c44,MATR_b2c35,MATR_b3c27,MATR_b3c25,MATR_b1c16,MATR_b4c43,MATR_b1c38,MATR_b1c1,MATR_b4c14,MATR_b4c44,MATR_b4c30,MATR_b3c8,MATR_b2c17,MATR_b1c39,MATR_b4c35","MATR_b4c4,MATR_b1c40,MATR_b4c19,MATR_b2c38,MATR_b1c20,MATR_b1c7,MATR_b1c32,MATR_b1c29",464.0,991.0,,0.8713779682293534
10,1.1326364278793335,1.1325976848602295,0.01937722973525524,0.0,0.0,0.002,0.7138065099716187,False,100,"MATR_b1c41,MATR_b2c10,MATR_b4c14,MATR_b2c43,MATR_b1c7,MATR_b2c5,MATR_b2c45,MATR_b2c11,MATR_b1c32,MATR_b2c27","MATR_b2c20,MATR_b1c31,MATR_b3c11,MATR_b4c16,MATR_b4c26,MATR_b3c35,MATR_b2c42,MATR_b2c26",465.0,1091.0,,0.9230072619393468
