step,loss,nll,kl,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
12,1.2593388557434082,1.2592546939849854,0.035068266093730927,0.0024,1.619268774986267,False,140,"MATR_b2c17,MATR_b1c32,MATR_b2c43,MATR_b3c41,MATR_b1c33,MATR_b1c24,MATR_b3c28,MATR_b2c31,MATR_b2c2,MATR_b3c26,MATR_b1c31,MATR_b4c37,MATR_b2c46,MATR_b1c15,MATR_b2c28","MATR_b2c6,MATR_b3c19,MATR_b2c47,MATR_b4c33,MATR_b3c34,MATR_b4c24,MATR_b4c4,MATR_b4c8",505.0,1156.0,,1.760794024914503
13,1.163825273513794,1.1637622117996216,0.024267129600048065,0.0026,0.9866814017295837,False,180,"MATR_b3c0,MATR_b4c13,MATR_b2c39,MATR_b1c1,MATR_b3c25,MATR_b3c21,MATR_b2c5,MATR_b2c23,MATR_b3c19,MATR_b4c27,MATR_b3c8,MATR_b1c9","MATR_b2c0,MATR_b3c35,MATR_b4c37,MATR_b4c40,MATR_b2c13,MATR_b3c5,MATR_b4c0,MATR_b1c29",299.0,1091.0,,1.814897847827524
14,0.7390022873878479,0.7389769554138184,0.009050767868757248,0.0028,1.6133460998535156,False,260,"MATR_b1c20,MATR_b1c38,MATR_b2c42,MATR_b4c26,MATR_b4c33,MATR_b1c33,MATR_b2c2,MATR_b4c23,MATR_b3c44,MATR_b4c41,MATR_b4c24,MATR_b4c43,MATR_b4c30,MATR_b4c40,MATR_b1c32,MATR_b2c17","MATR_b1c40,MATR_b3c11,MATR_b3c13,MATR_b2c34,MATR_b2c47,MATR_b3c41,MATR_b1c39,MATR_b1c26",498.0,964.0,,1.8862092238850892
15,1.0137748718261719,1.0136499404907227,0.041644297540187836,0.003,4.273101806640625,False,200,"MATR_b1c28,MATR_b1c9,MATR_b4c28,MATR_b4c43,MATR_b3c19,MATR_b1c0,MATR_b1c17,MATR_b4c35,MATR_b2c32","MATR_b2c29,MATR_b1c29,MATR_b2c13,MATR_b4c33,MATR_b2c6,MATR_b4c14,MATR_b1c45,MATR_b4c30",482.0,915.0,,1.92813948309049
16,0.9426050782203674,0.9425475597381592,0.01797487959265709,0.0032,0.5733745098114014,False,260,"MATR_b3c0,MATR_b2c10,MATR_b3c35,MATR_b4c0,MATR_b2c39,MATR_b4c16,MATR_b2c6,MATR_b3c26,MATR_b1c23,MATR_b4c40,MATR_b2c43,MATR_b1c32,MATR_b2c44","MATR_b2c29,MATR_b3c44,MATR_b2c13,MATR_b4c19,MATR_b2c18,MATR_b3c27,MATR_b1c36,MATR_b4c28",482.0,991.0,,1.9762066579423845
17,0.9664589762687683,0.966442346572876,0.004899004008620977,0.0034,1.6201361417770386,False,240,"MATR_b1c45,MATR_b3c39,MATR_b2c14,MATR_b2c42,MATR_b4c23,MATR_b2c46,MATR_b2c17,MATR_b3c21,MATR_b3c41,MATR_b3c8,MATR_b3c44,MATR_b4c22,MATR_b1c24,MATR_b2c39,MATR_b1c43,MATR_b3c16","MATR_b2c32,MATR_b1c41,MATR_b3c5,MATR_b3c22,MATR_b3c27,MATR_b1c16,MATR_b4c41,MATR_b2c5",479.0,1049.0,,2.0286228130571544
18,0.8908224105834961,0.8908085823059082,0.0038361612241715193,0.0036,2.40492844581604,False,260,"MATR_b3c5,MATR_b3c27,MATR_b1c17,MATR_b2c42,MATR_b4c4,MATR_b2c6,MATR_b1c26,MATR_b1c24,MATR_b1c39,MATR_b2c5,MATR_b3c25,MATR_b1c32,MATR_b2c43,MATR_b1c0,MATR_b4c38,MATR_b4c13","MATR_b3c0,MATR_b4c39,MATR_b4c16,MATR_b4c14,MATR_b1c7,MATR_b3c11,MATR_b1c38,MATR_b3c35",607.0,1091.0,,2.082744779996574
19,1.1632325649261475,1.1630619764328003,0.04489868879318237,0.0038,3.8364827632904053,False,260,"MATR_b1c36,MATR_b2c42,MATR_b1c9,MATR_b4c37,MATR_b3c12,MATR_b2c36,MATR_b3c35,MATR_b4c8,MATR_b1c33,MATR_b3c44,MATR_b3c25,MATR_b2c20,MATR_b1c26,MATR_b4c4,MATR_b1c41,MATR_b3c34","MATR_b3c40,MATR_b4c31,MATR_b2c14,MATR_b2c6,MATR_b4c26,MATR_b4c35,MATR_b2c29,MATR_b4c27",476.0,1081.0,,2.1356430831365287
20,3.6936018466949463,3.6934852600097656,0.029121115803718567,0.004,,True,240,"MATR_b3c11,MATR_b2c47,MATR_b2c32,MATR_b2c13,MATR_b2c36,MATR_b3c26,MATR_b2c38,MATR_b4c28,MATR_b4c39,MATR_b2c18,MATR_b4c27,MATR_b1c26","MATR_b1c31,MATR_b4c30,MATR_b4c16,MATR_b3c44,MATR_b4c38,MATR_b3c5,MATR_b1c1,MATR_b2c34",498.0,2154.0,,2.1777796000242233
21,3.677433729171753,3.6773176193237305,0.02764325775206089,0.0042,12.714731216430664,False,280,"MATR_b4c17,MATR_b4c13,MATR_b1c33,MATR_b4c31,MATR_b1c0,MATR_b4c28,MATR_b3c44,MATR_b2c17","MATR_b4c8,MATR_b4c27,MATR_b1c1,MATR_b1c16,MATR_b1c43,MATR_b3c28,MATR_b1c7,MATR_b2c35",462.0,2154.0,,2.2198080830276012
22,2.8951809406280518,2.895045757293701,0.030737167224287987,0.0044,9.75389289855957,False,300,"MATR_b4c0,MATR_b1c31,MATR_b2c36,MATR_b4c30,MATR_b2c39,MATR_b4c13,MATR_b3c39,MATR_b3c12,MATR_b2c47","MATR_b3c28,MATR_b3c38,MATR_b1c43,MATR_b1c32,MATR_b3c26,MATR_b1c16,MATR_b3c10,MATR_b3c8",539.0,1932.0,,2.2631597188301384
23,2.7337148189544678,2.733658790588379,0.012203395366668701,0.0046,8.22675895690918,False,200,"MATR_b4c44,MATR_b4c14,MATR_b1c23,MATR_b1c0,MATR_b1c45,MATR_b2c31,MATR_b3c11,MATR_b1c28","MATR_b4c20,MATR_b2c34,MATR_b1c43,MATR_b1c17,MATR_b2c28,MATR_b3c38,MATR_b2c38,MATR_b1c40",464.0,1932.0,,2.2971866349689662
24,0.9702972173690796,0.9702620506286621,0.007320690900087357,0.0048,3.4137938022613525,False,220,"MATR_b4c41,MATR_b3c19,MATR_b3c12,MATR_b4c43,MATR_b1c36,MATR_b2c32,MATR_b1c32,MATR_b2c31,MATR_b4c39,MATR_b2c17,MATR_b1c7,MATR_b4c22","MATR_b2c42,MATR_b2c43,MATR_b1c28,MATR_b3c28,MATR_b4c4,MATR_b2c36,MATR_b4c26,MATR_b1c33",461.0,858.0,,2.338822999969125
25,1.1268277168273926,1.126744270324707,0.01669681817293167,0.005,1.689801573753357,False,160,"MATR_b2c27,MATR_b1c33,MATR_b4c25,MATR_b4c19,MATR_b3c27,MATR_b2c35,MATR_b3c22,MATR_b3c13,MATR_b2c23,MATR_b2c20,MATR_b2c5","MATR_b3c25,MATR_b1c26,MATR_b2c10,MATR_b3c34,MATR_b3c11,MATR_b2c6,MATR_b1c44,MATR_b4c38",510.0,1156.0,,2.3759014108218253
26,1.2239282131195068,1.2238571643829346,0.013674648478627205,0.0052,0.9491909742355347,False,200,"MATR_b4c23,MATR_b4c43,MATR_b1c17,MATR_b1c7,MATR_b1c26,MATR_b2c27,MATR_b4c2,MATR_b3c16,MATR_b2c43,MATR_b4c20","MATR_b1c20,MATR_b2c17,MATR_b3c39,MATR_b4c0,MATR_b1c24,MATR_b2c14,MATR_b1c31,MATR_b2c42",465.0,1154.0,,2.4135845717974007
27,1.1354408264160156,1.1353440284729004,0.01791756972670555,0.0054,1.9701950550079346,False,140,"MATR_b2c26,MATR_b2c17,MATR_b3c5,MATR_b1c24,MATR_b2c39,MATR_b1c29,MATR_b4c37,MATR_b3c39,MATR_b3c8,MATR_b2c32,MATR_b2c31,MATR_b4c24,MATR_b1c36","MATR_b3c40,MATR_b2c38,MATR_b4c30,MATR_b2c35,MATR_b3c28,MATR_b2c20,MATR_b3c34,MATR_b3c11",462.0,1156.0,,2.4478211221285164
28,1.0976604223251343,1.097304344177246,0.06358678638935089,0.0056,0.634925365447998,False,120,"MATR_b1c38,MATR_b4c31,MATR_b2c1,MATR_b2c18,MATR_b3c28,MATR_b3c38,MATR_b4c26,MATR_b3c41,MATR_b2c25,MATR_b2c39,MATR_b2c29,MATR_b4c38","MATR_b2c4,MATR_b2c34,MATR_b1c41,MATR_b1c16,MATR_b1c17,MATR_b3c8,MATR_b2c17,MATR_b1c24",443.0,1049.0,,2.4818393108434975
29,2.5387697219848633,2.5387539863586426,0.0026928726583719254,0.0058,6.368753910064697,False,180,"MATR_b3c26,MATR_b4c44,MATR_b3c8,MATR_b4c25,MATR_b2c29,MATR_b4c17,MATR_b2c42,MATR_b2c5,MATR_b1c20,MATR_b3c34,MATR_b3c27,MATR_b2c39,MATR_b4c23,MATR_b4c16","MATR_b2c45,MATR_b2c20,MATR_b2c23,MATR_b4c8,MATR_b3c38,MATR_b2c6,MATR_b4c37,MATR_b4c27",486.0,1932.0,,2.520970488898456
30,2.222257137298584,2.221942901611328,0.05236951261758804,0.006,5.901933193206787,False,160,"MATR_b1c40,MATR_b1c15,MATR_b2c35,MATR_b2c36,MATR_b1c9,MATR_b4c23,MATR_b3c10,MATR_b1c36,MATR_b2c14,MATR_b2c32","MATR_b3c13,MATR_b3c26,MATR_b4c8,MATR_b2c18,MATR_b3c41,MATR_b4c44,MATR_b1c0,MATR_b3c11",486.0,1858.0,,2.5535053238272667
31,0.9595889449119568,0.9595233201980591,0.010588016360998154,0.0062,1.3273757696151733,False,200,"MATR_b4c35,MATR_b3c19,MATR_b1c28,MATR_b3c4,MATR_b2c45,MATR_b4c17,MATR_b2c31,MATR_b3c27,MATR_b4c30,MATR_b1c0,MATR_b3c8,MATR_b3c25,MATR_b2c27,MATR_b1c29,MATR_b2c14","MATR_b4c39,MATR_b4c25,MATR_b3c41,MATR_b1c38,MATR_b4c31,MATR_b1c23,MATR_b3c13,MATR_b2c38",453.0,1012.0,,2.6013917890377343
32,2.3681533336639404,2.3680572509765625,0.015005897730588913,0.0064,6.102395057678223,False,260,"MATR_b1c7,MATR_b2c26,MATR_b4c28,MATR_b1c17,MATR_b1c29,MATR_b3c41,MATR_b2c32,MATR_b4c17,MATR_b4c0,MATR_b3c44","MATR_b2c27,MATR_b4c19,MATR_b1c16,MATR_b1c0,MATR_b1c20,MATR_b4c31,MATR_b3c34,MATR_b4c44",467.0,1858.0,,2.643373082857579
33,1.090834379196167,1.090775728225708,0.008892111480236053,0.0066,0.7181068658828735,False,140,"MATR_b2c39,MATR_b2c34,MATR_b2c0,MATR_b4c17,MATR_b3c8,MATR_b3c40,MATR_b3c0,MATR_b2c23,MATR_b2c18,MATR_b2c45,MATR_b4c28,MATR_b2c42,MATR_b3c21,MATR_b1c7","MATR_b1c15,MATR_b3c19,MATR_b2c26,MATR_b4c22,MATR_b4c27,MATR_b2c31,MATR_b4c16,MATR_b3c27",470.0,1152.0,,2.6784870051778853
34,2.2498462200164795,2.2496047019958496,0.03552154451608658,0.0068,5.349864482879639,False,120,"MATR_b1c7,MATR_b4c4,MATR_b2c44,MATR_b1c31,MATR_b2c45,MATR_b2c26,MATR_b3c11,MATR_b1c36,MATR_b2c29","MATR_b3c27,MATR_b4c14,MATR_b2c46,MATR_b1c20,MATR_b4c28,MATR_b3c38,MATR_b4c8,MATR_b1c40",428.0,1932.0,,2.7080736998468637
35,1.1166832447052002,1.1166317462921143,0.00735175795853138,0.007,1.0657614469528198,False,300,"MATR_b4c24,MATR_b2c5,MATR_b2c42,MATR_b4c20,MATR_b4c31,MATR_b2c18,MATR_b3c44,MATR_b2c2,MATR_b1c45,MATR_b4c40,MATR_b2c20,MATR_b4c38,MATR_b3c19,MATR_b2c36","MATR_b2c47,MATR_b3c34,MATR_b4c22,MATR_b2c11,MATR_b2c27,MATR_b1c15,MATR_b4c16,MATR_b3c25",467.0,1156.0,,2.7642207187600434
36,0.9654703736305237,0.965361475944519,0.01512567512691021,0.0072,3.039987087249756,False,300,"MATR_b3c27,MATR_b2c2,MATR_b1c39,MATR_b2c6,MATR_b2c10,MATR_b2c38,MATR_b2c23,MATR_b3c16,MATR_b1c40,MATR_b4c38,MATR_b3c40,MATR_b2c4,MATR_b2c36","MATR_b4c39,MATR_b4c17,MATR_b1c7,MATR_b1c28,MATR_b4c44,MATR_b4c16,MATR_b3c13,MATR_b3c4",738.0,1045.0,,2.817602491006255
