epoch,optimizer_step,train_recursive_mse,validation_recursive_mse,gradient_norm_max,learning_rate,elapsed_seconds
1,8,0.6799863013735064,0.4479605257511139,2.459388256072998,0.001,1.0649099401198328
2,16,0.3942657146322889,0.17556141316890717,2.108257532119751,0.001,1.8900669980794191
3,24,0.08132225830573467,0.03900478780269623,1.7964000701904297,0.001,2.716623676009476
4,32,0.03213280866367189,0.00017128459876403213,2.371394395828247,0.001,3.540156146977097
5,40,0.01251621125110209,0.0026643394958227873,0.6769508123397827,0.001,4.363850835012272
6,48,0.005231146188891322,0.011218356899917126,0.5836960673332214,0.001,5.174298100173473
7,56,0.003400957675358422,0.004350058734416962,0.38638895750045776,0.001,5.995130378054455
8,64,0.0012739811256969745,0.00043991292477585375,0.17218264937400818,0.001,6.80777834309265
9,72,0.0013958206477971522,0.003739818697795272,0.179364874958992,0.001,7.629037806997076
10,80,0.0010168117727454775,0.005463944748044014,0.0972064882516861,0.001,8.449491832172498
11,88,0.0008999795713437429,0.002201774623245001,0.06919866055250168,0.001,9.274067252175882
12,96,0.0009077327171312109,0.002950768219307065,0.0650697872042656,0.001,10.097773082088679
13,104,0.0008703095724614757,0.003822218393906951,0.030928265303373337,0.001,10.917729367967695
14,112,0.0008637141625852564,0.0031239588279277086,0.03404007479548454,0.001,11.737692271126434
15,120,0.0008598410692443271,0.003284453647211194,0.028847046196460724,0.001,12.560611804015934
16,128,0.0008584636218065732,0.003395667765289545,0.032724663615226746,0.001,13.497291945153847
17,136,0.0008579825173513813,0.0031237450893968344,0.03285834193229675,0.001,14.3217118519824
18,144,0.0008554547372973525,0.003386744065210223,0.02241947129368782,0.001,15.146326447138563
19,152,0.0008547235312690571,0.0032818615436553955,0.02955637499690056,0.001,15.966417761985213
20,160,0.0008526135100931033,0.003323495388031006,0.013125565834343433,0.001,16.78788835904561
21,168,0.0008519403092414413,0.003352522850036621,0.03169088438153267,0.001,17.611460127169266
22,176,0.0008516042972580494,0.0033154331613332033,0.01890217699110508,0.001,18.438022090122104
23,184,0.0008503660826014031,0.0034258326049894094,0.02149062603712082,0.001,19.26039277203381
24,192,0.0008490770115291378,0.0033411153126507998,0.011404135264456272,0.001,20.08576586097479
25,200,0.0008497588964448201,0.0033694885205477476,0.0279516763985157,0.001,20.90333053912036
26,208,0.0008506949021918325,0.0034910456743091345,0.03221319243311882,0.001,21.72401924012229
27,216,0.0008561720765879048,0.0032522976398468018,0.04802480340003967,0.001,22.545411630999297
28,224,0.0008480916970037037,0.003552230540663004,0.04792795702815056,0.001,23.372007312020287
29,232,0.0008439689995302349,0.003180592553690076,0.01896899752318859,0.001,24.191743286093697
30,240,0.0008469811405844127,0.0036035110242664814,0.023947738111019135,0.001,25.017174568027258
31,248,0.0008421966283653523,0.003357365494593978,0.030356762930750847,0.001,25.837910739006475
32,256,0.0008525381875535501,0.0035301384050399065,0.04225301742553711,0.001,26.664370252052322
33,264,0.0008518577588587588,0.0035617544781416655,0.0548405759036541,0.001,27.487113774055615
34,272,0.0008502862394622956,0.003464171662926674,0.04540129005908966,0.001,28.316465821117163
35,280,0.0008425278509640751,0.0036527980118989944,0.03647400438785553,0.001,29.144461599178612
36,288,0.0008381716380633914,0.003569258376955986,0.025908103212714195,0.001,30.08212183904834
37,296,0.0008313348123312554,0.0038318985607475042,0.02371024899184704,0.001,30.905491068027914
38,304,0.0008273963652813129,0.003733862191438675,0.020207002758979797,0.001,31.73112389119342
39,312,0.000822283863087447,0.004034866578876972,0.024309776723384857,0.001,32.54763367702253
40,320,0.0008158299085695382,0.004101830534636974,0.018886389210820198,0.001,33.36855570413172
41,328,0.0008060729805032439,0.004407244268804789,0.01784377545118332,0.001,34.19233809201978
42,336,0.0007915623791844901,0.004662988241761923,0.014123242348432541,0.001,35.01316043105908
43,344,0.0007676613172006454,0.004690499976277351,0.017440779134631157,0.001,35.83991806814447
44,352,0.0007426454043470724,0.004540916066616774,0.03317457437515259,0.001,36.6667999799829
45,360,0.0007027945094713729,0.004555015359073877,0.04271853342652321,0.001,37.49239108618349
46,368,0.0006451182663356958,0.004118578974157572,0.04723396152257919,0.001,38.32101511396468
47,376,0.0005568212629228746,0.0028135234024375677,0.022386521100997925,0.001,39.14820549613796
48,384,0.00042073615294837906,0.0016194410854950547,0.017242690548300743,0.001,39.97871480602771
49,392,0.0002965785077530786,0.00098699692171067,0.02277912199497223,0.001,40.81023372709751
50,400,0.0002502502543420563,0.0009385509765706956,0.030411306768655777,0.001,41.634375353110954
51,408,0.0002059614150446783,0.000906919885892421,0.023426149040460587,0.001,42.460566635010764
52,416,0.00017914726454753668,0.0006551003316417336,0.010528055019676685,0.001,43.28217820008285
53,424,0.00016236907796018376,0.0005314877489581704,0.014037269167602062,0.001,44.10359455505386
54,432,0.0001506261793862652,0.0006375301745720208,0.009290444664657116,0.001,44.92417461099103
55,440,0.00014213128335165164,0.0004994054324924946,0.007494129706174135,0.001,45.749053044011816
56,448,0.0001355396593644071,0.0005035893409512937,0.012236190028488636,0.001,46.56976096704602
57,456,0.00013131334813020384,0.0005162894958630204,0.00855663325637579,0.001,47.39567456417717
58,464,0.00012844438607483445,0.0004117482458241284,0.01364292111247778,0.001,48.214522298192605
59,472,0.00012673222695940305,0.0005167927010916173,0.012184417806565762,0.001,49.041344040073454
60,480,0.0001238147500815751,0.0004251884820405394,0.008814305067062378,0.001,49.86775007005781
61,488,0.00012222259298785886,0.0004615184443537146,0.012298163026571274,0.001,50.80685787415132
62,496,0.00012075743336574891,0.00043064946657978,0.011418810114264488,0.001,51.627320202067494
63,504,0.00011961947268375036,0.00045495686936192214,0.01515867467969656,0.001,52.455716144060716
64,512,0.00012012293265263602,0.00042297347681596875,0.016215026378631592,0.001,53.28159828111529
65,520,0.00011716396304853671,0.0004944494576193392,0.0193837508559227,0.001,54.11139562004246
66,528,0.00011619933497490456,0.00037737004458904266,0.01720558851957321,0.001,54.9366964190267
67,536,0.00011442152429100831,0.00045268802205100656,0.008150337263941765,0.001,55.75589413405396
68,544,0.00011400833046367731,0.0004430411499924958,0.009912433102726936,0.001,56.58345862105489
69,552,0.00011292850249529207,0.0003332263440825045,0.011411325074732304,0.001,57.405160184018314
70,560,0.00011185253979679434,0.0004068069683853537,0.010151594877243042,0.001,58.232830298133194
71,568,0.00011141985904762862,0.00042594174738042057,0.026633331552147865,0.001,59.063406247179955
72,576,0.0001128520591333292,0.00034041187609545887,0.015271252952516079,0.001,59.89278777712025
73,584,0.00011098753278987735,0.0003765186411328614,0.008742130361497402,0.001,60.72257372713648
74,592,0.0001091965919009718,0.0003145557420793921,0.020968211814761162,0.001,61.54485718719661
75,600,0.0001079757028533307,0.00038926611887291074,0.011237533763051033,0.001,62.35968670807779
76,608,0.00010747268614633985,0.00038119734381325543,0.019311359152197838,0.001,63.188223666045815
77,616,0.00010775209981387023,0.0003727784496732056,0.010025192983448505,0.001,64.01001704204828
78,624,0.00010691925752189206,0.0003382584545761347,0.00829529669135809,0.001,64.82737058214843
79,632,0.00010607783354784501,0.00036146584898233414,0.031245628371834755,0.001,65.64995283004828
80,640,0.00010722063391330391,0.0003311421605758369,0.011881781741976738,0.001,66.46831506397575
81,648,0.00010610088171858973,0.00042054508230648935,0.019958779215812683,0.001,67.29913701303303
82,656,0.00010616242959480823,0.00033925031311810017,0.011674084700644016,0.001,68.12581433798186
83,664,0.00010518562933763241,0.0002971519425045699,0.02412920631468296,0.001,68.95048689912073
