fast_step,mae,rmse,r2,r2_nan_reason,max_absolute_error,final_cycle_absolute_error,pre_eol_mae,post_eol_mae,prediction_point_count,true_eol_cycle,predicted_eol_cycle_discrete,predicted_eol_cycle_interpolated,true_rul,predicted_rul,signed_rul_error,absolute_rul_error,relative_absolute_rul_error,crossing_found,adaptation_mode
1,0.42506421043081705,0.48732773614155644,-29.09738843666578,,0.6840085128810122,0.5814761399942786,0.20849386575645246,0.6354844844653414,972,579,232.0,231.39695212854062,479.0,132.0,-347.0,347.0,0.7244258872651357,True,fast_1
3,0.3361493328785348,0.401521605573695,-19.431694778734524,,0.6249860896799793,0.562721264706865,0.13306046298660187,0.5334709731995,972,579,269.0,268.735708572675,479.0,169.0,-310.0,310.0,0.6471816283924844,True,fast_3
5,0.27179703455517046,0.33455222652527566,-13.184512120277763,,0.5781911402284862,0.5416063267457635,0.09839824261759555,0.44027172286774324,972,579,298.0,297.32271858160954,479.0,198.0,-281.0,281.0,0.5866388308977035,True,fast_5
10,0.03822782011701427,0.05255010328383316,0.6500276759787489,,0.13650427574066293,0.13339463884948188,0.011028813792368126,0.06465444086651834,972,579,701.0,700.5279461279458,479.0,601.0,122.0,122.0,0.2546972860125261,True,fast_10
15,0.2354166255421264,0.29399985754965147,-9.95420321934095,,0.5467868163525821,0.5180493641364724,0.08321874937073284,0.3832924524916142,972,579,316.0,315.55183434190616,479.0,216.0,-263.0,263.0,0.5490605427974948,True,fast_15
20,0.14061417692637626,0.1781375114937114,-3.0215855877165065,,0.3889377016294152,0.3889377016294152,0.052863634628870934,0.22587281741421605,972,579,366.0,365.26712844817104,479.0,266.0,-213.0,213.0,0.44467640918580376,True,fast_20
