iteration,source,support_loss,query_loss,alpha
1,CALCE_CX2_16.pkl,0.91401606798172,0.43682175874710083,0.003301240038126707
1,CALCE_CX2_33.pkl,0.9456800818443298,0.36955755949020386,0.0
1,CALCE_CX2_34.pkl,0.9660430550575256,0.3373258113861084,0.0
1,CALCE_CX2_35.pkl,1.0119744539260864,0.3925137519836426,0.13907116651535034
1,CALCE_CX2_36.pkl,0.9785868525505066,0.3141823410987854,0.0
1,CALCE_CX2_38.pkl,0.9855157732963562,0.30076470971107483,0.8576275706291199
2,CALCE_CX2_16.pkl,0.8753190636634827,0.40591487288475037,0.0033218273892998695
2,CALCE_CX2_33.pkl,0.9064001441001892,0.34218162298202515,0.0
2,CALCE_CX2_34.pkl,0.9263098835945129,0.31072160601615906,7.75582987790949e-23
2,CALCE_CX2_35.pkl,0.9709871411323547,0.36485907435417175,0.13902944326400757
2,CALCE_CX2_36.pkl,0.9389024376869202,0.28933677077293396,0.0
2,CALCE_CX2_38.pkl,0.9453786611557007,0.2766464948654175,0.8576487302780151
