step,support_loss,is_reported_step
1,0.000895092380233109,True
2,0.0008450510213151574,False
3,0.0010332567617297173,True
4,0.0007341389427892864,False
5,0.0005237103905528784,True
6,0.00073236133903265,False
7,0.0007172757177613676,False
8,0.0008056061924435198,False
9,0.00047787517542019486,False
10,0.0007100948132574558,True
11,0.0005740668275393546,False
12,0.0010549467988312244,False
13,0.0009321014513261616,False
14,0.0008475016220472753,False
15,0.0010020191548392177,True
16,0.0007204267312772572,False
17,0.0008096352103166282,False
18,0.0004998858785256743,False
19,0.0009067591745406389,False
20,0.0005670513492077589,True
