step,support_loss
1,0.0011625784682109952
2,0.0004834721330553293
3,0.0007175927748903632
4,0.000854294456075877
5,0.0008975477539934218
6,0.0005179722793400288
7,0.00038488057907670736
8,0.0007292219088412821
9,0.000863706402014941
10,0.00046507452498190105
11,0.000573953497223556
12,0.0006432774243876338
13,0.0008449335000477731
14,0.001197619130834937
15,0.0008817573543637991
16,0.0007692299550399184
17,0.0006815104279667139
18,0.00044523770338855684
19,0.0009458304848521948
20,0.0008908259333111346
21,0.0008053543278947473
22,0.0006477040005847812
23,0.0006604735972359776
24,0.0006801994750276208
25,0.0009516213904134929
26,0.000871704367455095
27,0.0007511170697398484
