step,loss,nll,kl,consistency_loss,consistency_weight,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
5155,-0.09919234365224838,-0.13126517832279205,0.002646699547767639,0.14713068306446075,0.2,1.0,20.682748794555664,False,100->120,"MATR_b3c41,MATR_b4c13,MATR_b3c34,MATR_b2c35,MATR_b4c26,MATR_b3c38,MATR_b4c37,MATR_b1c0,MATR_b1c29,MATR_b2c34,MATR_b2c5,MATR_b2c14,MATR_b2c2","MATR_b2c32,MATR_b3c22,MATR_b4c30,MATR_b2c36,MATR_b4c2,MATR_b3c39,MATR_b1c43,MATR_b4c4",518.0,1154.0,,402.7350127962418
5156,-0.8173304796218872,-0.8194196224212646,0.0010990649461746216,0.004950252361595631,0.2,1.0,115.52986907958984,False,160->180,"MATR_b3c16,MATR_b4c17,MATR_b3c0,MATR_b2c5,MATR_b1c43,MATR_b2c35,MATR_b2c29,MATR_b3c35,MATR_b2c18,MATR_b2c39,MATR_b4c16,MATR_b1c24,MATR_b4c19,MATR_b2c43,MATR_b4c23","MATR_b4c20,MATR_b3c28,MATR_b4c40,MATR_b1c1,MATR_b4c8,MATR_b3c4,MATR_b2c28,MATR_b1c16",508.0,2154.0,,402.8099304372445
5157,-1.0930273532867432,-1.0963414907455444,0.0022949278354644775,0.005095997825264931,0.2,1.0,41.20665740966797,False,140->160,"MATR_b4c8,MATR_b4c31,MATR_b3c44,MATR_b3c35,MATR_b3c13,MATR_b2c18,MATR_b1c38,MATR_b2c42","MATR_b2c46,MATR_b2c25,MATR_b3c28,MATR_b3c40,MATR_b3c27,MATR_b1c29,MATR_b1c39,MATR_b4c41",428.0,915.0,,402.8697911412455
5158,-1.1793029308319092,-1.1802055835723877,0.0008369758725166321,0.0003276839852333069,0.2,1.0,93.22612762451172,False,280->300,"MATR_b1c43,MATR_b4c19,MATR_b4c28,MATR_b2c6,MATR_b1c16,MATR_b4c30,MATR_b1c23,MATR_b4c35,MATR_b2c36,MATR_b1c39,MATR_b4c2,MATR_b2c11,MATR_b3c25,MATR_b4c8","MATR_b2c5,MATR_b3c13,MATR_b3c4,MATR_b1c0,MATR_b4c43,MATR_b4c26,MATR_b4c0,MATR_b2c47",476.0,1858.0,,402.97530654398724
5159,-0.6887203454971313,-0.6907025575637817,0.0010580644011497498,0.0046205902472138405,0.2,1.0,178.13014221191406,False,240->260,"MATR_b2c5,MATR_b1c24,MATR_b2c29,MATR_b2c39,MATR_b3c40,MATR_b3c0,MATR_b1c31,MATR_b3c22,MATR_b4c37,MATR_b3c11,MATR_b1c39,MATR_b1c38","MATR_b1c23,MATR_b2c27,MATR_b3c21,MATR_b4c5,MATR_b3c39,MATR_b1c40,MATR_b4c16,MATR_b1c15",467.0,1154.0,,403.06230885721743
5160,-0.6212362051010132,-0.6223089098930359,0.0004901513457298279,0.002912933472543955,0.2,1.0,105.87003326416016,False,140->160,"MATR_b2c39,MATR_b2c10,MATR_b4c40,MATR_b4c5,MATR_b2c0,MATR_b1c9,MATR_b1c26,MATR_b4c23,MATR_b2c45,MATR_b1c44,MATR_b2c6,MATR_b3c39,MATR_b4c8,MATR_b4c31,MATR_b2c27,MATR_b2c13","MATR_b1c24,MATR_b4c28,MATR_b4c37,MATR_b4c13,MATR_b4c30,MATR_b2c14,MATR_b2c35,MATR_b1c36",462.0,1015.0,,403.13354776985943
5161,-1.010912537574768,-1.0208444595336914,0.003202185034751892,0.033648744225502014,0.2,1.0,54.73832321166992,False,100->120,"MATR_b4c24,MATR_b4c23,MATR_b2c10,MATR_b3c41,MATR_b1c39,MATR_b3c0,MATR_b3c10,MATR_b2c28","MATR_b2c35,MATR_b1c24,MATR_b4c44,MATR_b4c25,MATR_b4c43,MATR_b2c46,MATR_b2c29,MATR_b2c18",428.0,1015.0,,403.1897158380598
5162,-0.9832973480224609,-0.9860631227493286,0.0015525221824645996,0.006066190544515848,0.2,1.0,57.36017990112305,False,160->180,"MATR_b1c9,MATR_b2c43,MATR_b2c42,MATR_b3c11,MATR_b1c40,MATR_b4c25,MATR_b3c35,MATR_b4c27,MATR_b2c32,MATR_b4c26","MATR_b2c44,MATR_b2c17,MATR_b4c40,MATR_b3c44,MATR_b4c35,MATR_b1c15,MATR_b1c7,MATR_b2c31",455.0,1081.0,,403.2562265358865
5163,-0.08767121285200119,-0.08894111216068268,0.0005913153290748596,0.003392916638404131,0.2,1.0,178.6238555908203,False,280->300,"MATR_b3c0,MATR_b2c35,MATR_b2c31,MATR_b2c47,MATR_b4c30,MATR_b3c13,MATR_b3c11,MATR_b3c19,MATR_b4c20,MATR_b4c33,MATR_b4c40,MATR_b1c7,MATR_b4c43,MATR_b3c27","MATR_b2c13,MATR_b3c34,MATR_b4c8,MATR_b2c45,MATR_b4c41,MATR_b3c41,MATR_b2c26,MATR_b1c24",470.0,1156.0,,403.36184617411345
5164,-0.5933490991592407,-0.5954111218452454,0.0007872730493545532,0.006373465061187744,0.2,1.0,137.23585510253906,False,200->220,"MATR_b4c20,MATR_b3c38,MATR_b4c28,MATR_b2c42,MATR_b4c14,MATR_b1c32,MATR_b1c9,MATR_b4c44,MATR_b4c0,MATR_b4c4,MATR_b1c20,MATR_b1c7,MATR_b3c13,MATR_b1c38,MATR_b1c40","MATR_b4c38,MATR_b2c20,MATR_b4c22,MATR_b4c26,MATR_b4c19,MATR_b3c5,MATR_b3c22,MATR_b2c11",476.0,1055.0,,403.44845549203455
5165,-1.054862141609192,-1.0560555458068848,0.0006906837224960327,0.002513257786631584,0.2,1.0,141.8861846923828,False,180->200,"MATR_b1c9,MATR_b2c44,MATR_b4c20,MATR_b3c16,MATR_b3c27,MATR_b1c20,MATR_b3c40,MATR_b1c45,MATR_b2c47,MATR_b2c28,MATR_b3c10,MATR_b1c41,MATR_b4c16,MATR_b4c33,MATR_b3c44,MATR_b4c40","MATR_b1c29,MATR_b1c23,MATR_b4c37,MATR_b1c33,MATR_b2c14,MATR_b1c24,MATR_b1c0,MATR_b2c10",484.0,1858.0,,403.53223070083186
5166,-0.6200299263000488,-0.6245939135551453,0.002416945993900299,0.010735375806689262,0.2,1.0,39.53908920288086,False,100->120,"MATR_b2c20,MATR_b1c33,MATR_b2c25,MATR_b1c20,MATR_b4c17,MATR_b4c28,MATR_b1c36,MATR_b3c22,MATR_b4c43,MATR_b4c23,MATR_b1c16","MATR_b4c39,MATR_b2c29,MATR_b2c23,MATR_b3c21,MATR_b2c27,MATR_b2c4,MATR_b4c31,MATR_b2c28",443.0,770.0,,403.5902069262229
5167,-1.3261827230453491,-1.3277353048324585,0.0011050105094909668,0.002238278277218342,0.2,1.0,82.51167297363281,False,260->280,"MATR_b2c29,MATR_b3c10,MATR_b2c11,MATR_b3c35,MATR_b2c35,MATR_b1c26,MATR_b4c8,MATR_b4c2,MATR_b3c22","MATR_b2c6,MATR_b1c20,MATR_b3c5,MATR_b4c23,MATR_b1c32,MATR_b1c29,MATR_b2c42,MATR_b3c44",465.0,1038.0,,403.6696266690269
5168,-1.4803643226623535,-1.4820022583007812,0.0011955127120018005,0.002212223596870899,0.2,1.0,46.9869270324707,False,260->280,"MATR_b4c16,MATR_b2c27,MATR_b4c27,MATR_b4c41,MATR_b4c2,MATR_b2c20,MATR_b1c44,MATR_b2c17,MATR_b2c28,MATR_b3c10,MATR_b1c39,MATR_b2c14","MATR_b3c4,MATR_b1c36,MATR_b3c35,MATR_b3c26,MATR_b4c26,MATR_b3c41,MATR_b3c11,MATR_b3c27",476.0,1091.0,,403.7610458638519
5169,-0.7553034424781799,-0.7591679096221924,0.003084219992160797,0.0039012953639030457,0.2,1.0,30.70459747314453,False,120->140,"MATR_b3c4,MATR_b3c11,MATR_b2c17,MATR_b2c46,MATR_b3c44,MATR_b1c40,MATR_b2c1,MATR_b3c35,MATR_b1c0,MATR_b4c44,MATR_b2c14","MATR_b4c0,MATR_b2c32,MATR_b4c20,MATR_b3c25,MATR_b1c17,MATR_b2c20,MATR_b2c35,MATR_b4c38",462.0,1055.0,,403.8222554740496
5170,-1.4912512302398682,-1.49354088306427,0.001925244927406311,0.001822201767936349,0.2,1.0,84.95863342285156,False,180->200,"MATR_b3c13,MATR_b3c12,MATR_b2c42,MATR_b4c28,MATR_b1c20,MATR_b3c8,MATR_b1c16,MATR_b1c15","MATR_b4c14,MATR_b4c26,MATR_b4c20,MATR_b2c46,MATR_b3c40,MATR_b2c5,MATR_b2c25,MATR_b2c20",428.0,794.0,,403.88832562603056
5171,-1.3425216674804688,-1.3444371223449707,0.0014863237738609314,0.002145590726286173,0.2,1.0,69.15731811523438,False,180->200,"MATR_b1c38,MATR_b2c2,MATR_b1c16,MATR_b4c23,MATR_b1c1,MATR_b1c43,MATR_b2c42,MATR_b3c13,MATR_b1c20,MATR_b1c9,MATR_b2c47,MATR_b2c17,MATR_b1c44","MATR_b2c28,MATR_b4c35,MATR_b1c23,MATR_b3c40,MATR_b2c4,MATR_b3c22,MATR_b2c13,MATR_b4c43",443.0,1081.0,,403.96357554988936
