step,loss,nll,kl,consistency_loss,consistency_weight,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
1,1.1246417760849,1.124640941619873,0.004234386142343283,0.0,0.0,0.0002,0.9888394474983215,False,180,"MATR_b3c0,MATR_b2c45,MATR_b3c39,MATR_b2c23,MATR_b1c45,MATR_b4c2,MATR_b4c24,MATR_b2c5,MATR_b3c38,MATR_b4c27,MATR_b1c29,MATR_b2c0,MATR_b4c41","MATR_b4c23,MATR_b3c26,MATR_b4c30,MATR_b4c5,MATR_b4c44,MATR_b1c44,MATR_b2c11,MATR_b2c44",455.0,1038.0,,0.15630035335198045
2,1.0640298128128052,1.0640125274658203,0.04328158125281334,0.0,0.0,0.0004,inf,True,160,"MATR_b4c13,MATR_b1c43,MATR_b4c19,MATR_b3c0,MATR_b1c29,MATR_b3c8,MATR_b3c19,MATR_b4c23,MATR_b2c36,MATR_b4c38","MATR_b4c22,MATR_b2c42,MATR_b2c6,MATR_b2c2,MATR_b1c15,MATR_b2c13,MATR_b3c27,MATR_b3c40",437.0,847.0,,0.27213161904364824
3,1.1142933368682861,1.1142826080322266,0.017791345715522766,0.0,0.0,0.0006,1.8534575700759888,False,300,"MATR_b2c47,MATR_b4c25,MATR_b2c35,MATR_b4c4,MATR_b3c16,MATR_b1c23,MATR_b4c26,MATR_b4c19,MATR_b2c42,MATR_b2c5,MATR_b1c7,MATR_b4c8,MATR_b4c0,MATR_b2c2,MATR_b2c20,MATR_b2c26","MATR_b2c29,MATR_b1c29,MATR_b4c14,MATR_b3c8,MATR_b4c44,MATR_b3c26,MATR_b2c43,MATR_b2c44",455.0,1025.0,,0.4156640633009374
4,1.2196853160858154,1.2196602821350098,0.03125787898898125,0.0,0.0,0.0008,3.634775400161743,False,200,"MATR_b4c14,MATR_b2c18,MATR_b4c5,MATR_b1c16,MATR_b1c15,MATR_b2c35,MATR_b2c13,MATR_b4c39,MATR_b4c22,MATR_b3c8,MATR_b3c4","MATR_b1c32,MATR_b2c34,MATR_b2c27,MATR_b1c26,MATR_b2c20,MATR_b2c25,MATR_b2c26,MATR_b4c38",460.0,1055.0,,0.5034266202710569
5,1.994449257850647,1.994439721107483,0.009586155414581299,0.0,0.0,0.001,5.115908622741699,False,200,"MATR_b4c2,MATR_b4c5,MATR_b2c2,MATR_b3c34,MATR_b4c38,MATR_b4c31,MATR_b4c4,MATR_b4c20,MATR_b2c44,MATR_b3c19,MATR_b4c0,MATR_b1c7,MATR_b4c8,MATR_b2c28","MATR_b3c39,MATR_b4c39,MATR_b4c26,MATR_b1c28,MATR_b3c16,MATR_b1c45,MATR_b3c28,MATR_b2c47",476.0,1635.0,,0.5789599693380296
6,1.3400871753692627,1.3400559425354004,0.02605840191245079,0.0,0.0,0.0012,1.7231106758117676,False,220,"MATR_b2c14,MATR_b3c25,MATR_b3c38,MATR_b1c32,MATR_b4c41,MATR_b2c45,MATR_b1c1,MATR_b3c11,MATR_b4c40,MATR_b3c8,MATR_b4c22","MATR_b2c2,MATR_b3c39,MATR_b3c44,MATR_b4c0,MATR_b2c29,MATR_b2c6,MATR_b3c19,MATR_b1c16",437.0,1154.0,,0.6531421123072505
7,1.0861735343933105,1.086113452911377,0.04293001443147659,0.0,0.0,0.0014,1.110282301902771,False,200,"MATR_b3c28,MATR_b3c27,MATR_b4c25,MATR_b3c16,MATR_b4c33,MATR_b1c36,MATR_b1c33,MATR_b2c23,MATR_b2c10","MATR_b2c20,MATR_b1c45,MATR_b1c29,MATR_b3c4,MATR_b2c11,MATR_b3c22,MATR_b3c0,MATR_b4c13",476.0,1045.0,,0.7176921791397035
8,2.370434522628784,2.3703255653381348,0.068171925842762,0.0,0.0,0.0016,,True,140,"MATR_b2c23,MATR_b4c27,MATR_b4c25,MATR_b4c28,MATR_b4c19,MATR_b4c0,MATR_b3c21,MATR_b2c46,MATR_b1c1","MATR_b4c22,MATR_b1c33,MATR_b4c31,MATR_b1c0,MATR_b1c23,MATR_b1c26,MATR_b1c40,MATR_b3c40",559.0,1858.0,,0.7770272139459848
9,0.9999568462371826,0.9999517202377319,0.0028576767072081566,0.0,0.0,0.0018,0.7626539468765259,False,120,"MATR_b1c20,MATR_b1c43,MATR_b4c33,MATR_b4c27,MATR_b4c38,MATR_b2c43,MATR_b3c40,MATR_b2c38,MATR_b4c39,MATR_b1c0,MATR_b2c45,MATR_b4c30,MATR_b2c29,MATR_b1c23","MATR_b2c4,MATR_b2c2,MATR_b4c17,MATR_b3c10,MATR_b4c43,MATR_b4c2,MATR_b1c44,MATR_b1c31",437.0,1076.0,,0.8487147791311145
10,0.9107380509376526,0.910722553730011,0.0077498238533735275,0.0,0.0,0.002,1.75829017162323,False,200,"MATR_b2c18,MATR_b4c35,MATR_b2c14,MATR_b2c44,MATR_b1c7,MATR_b3c10,MATR_b4c4,MATR_b4c30,MATR_b4c43,MATR_b2c45,MATR_b2c29,MATR_b3c13,MATR_b4c37,MATR_b2c42","MATR_b1c24,MATR_b4c22,MATR_b3c44,MATR_b4c44,MATR_b2c36,MATR_b4c39,MATR_b3c25,MATR_b4c8",534.0,1015.0,,0.9136390681378543
11,0.9884658455848694,0.9884099960327148,0.02539769560098648,0.0,0.0,0.0022,1.0969666242599487,False,100,"MATR_b2c18,MATR_b2c26,MATR_b2c10,MATR_b4c4,MATR_b2c39,MATR_b4c24,MATR_b4c37,MATR_b1c20,MATR_b1c28","MATR_b3c25,MATR_b1c17,MATR_b4c2,MATR_b2c23,MATR_b1c32,MATR_b2c5,MATR_b1c29,MATR_b2c46",428.0,988.0,,0.9543226482346654
