step,support_loss
1,0.0009510461241006851
2,0.0003780585539061576
3,0.0005279855104163289
4,0.0006266152486205101
5,0.0006797229289077222
6,0.0003751819021999836
7,0.00027351491735316813
8,0.0005500396364368498
9,0.0007060962379910052
10,0.0003599997144192457
11,0.0004417607851792127
12,0.0005050356849096715
13,0.0006370706250891089
14,0.0009107103105634451
15,0.0006681146332994103
16,0.0005522968713194132
17,0.0005447463481687009
18,0.0003317702212370932
19,0.0007202097913250327
20,0.0006506090285256505
21,0.0005861246609129012
22,0.0004769346269313246
23,0.0005296586896292865
24,0.0005156674305908382
25,0.0007045248057693243
26,0.000710291147697717
27,0.0005682848859578371
