step,support_loss,is_reported_step
1,0.00045969709753990173,True
2,0.0003432779049035162,False
3,0.00042005337309092283,True
4,0.00046272878535091877,False
5,0.0004500684735830873,True
6,0.00014626064512412995,False
7,0.0005433127516880631,False
8,0.00041173474164679646,False
9,6.783303979318589e-05,False
10,0.00011418927897466347,True
11,0.00013358578144107014,False
12,0.0004972378956153989,False
13,0.00038249819772318006,False
14,0.0004146280698478222,False
15,0.00039379583904519677,True
16,0.00042943874723277986,False
17,0.0002952879585791379,False
18,0.0003926426579710096,False
19,0.0005503750289790332,False
20,0.00010702255531214178,True
