fold,seed,model,cell_id,alpha,beta,status,reason,future_rmse,current_soh_abs_error,nll,coverage_95,interval_width_95,inference_latency_ms,inference_latency_median_ms,inference_latency_std_ms,current_cycle,num_context_points,num_target_points,reference_cycles
0,42,hs_anp,MATR_SYNTH_02,0.3,0.0,ok,,0.03341981481006553,0.026646050583937875,-1.8840177785875192,0.19047619047619047,0.025952959854030174,37.110700039193034,37.110700039193034,0.0,8,7,21,
0,42,hs_anp,MATR_SYNTH_02,0.3,0.5,ok,,0.03341981481006553,0.026646050583937875,-1.8840177785875192,0.19047619047619047,0.025952959854030174,37.110700039193034,37.110700039193034,0.0,8,7,21,
0,42,hs_anp,MATR_SYNTH_02,0.3,1.0,ok,,0.03341981481006553,0.026646050583937875,-1.8840177785875192,0.19047619047619047,0.025952959854030174,37.110700039193034,37.110700039193034,0.0,8,7,21,
0,42,hs_anp,MATR_SYNTH_02,0.7,0.0,ok,,0.04590688728066141,0.023553432121178997,-1.278824758863909,0.1,0.028036644280079525,29.562000185251236,29.562000185251236,0.0,19,16,10,
0,42,hs_anp,MATR_SYNTH_02,0.7,0.5,ok,,0.04590688728066141,0.023553432121178997,-1.278824758863909,0.1,0.028036644280079525,29.562000185251236,29.562000185251236,0.0,19,16,10,
0,42,hs_anp,MATR_SYNTH_02,0.7,1.0,ok,,0.04590688728066141,0.023553432121178997,-1.278824758863909,0.1,0.028036644280079525,29.562000185251236,29.562000185251236,0.0,19,16,10,
0,42,hs_anp,MATR_SYNTH_03,0.3,0.0,ok,,0.0350813080151703,0.023850251846195714,-1.8074677233360164,0.14285714285714285,0.028857761766296397,40.1482000015676,40.1482000015676,0.0,8,7,21,
0,42,hs_anp,MATR_SYNTH_03,0.3,0.5,ok,,0.0350813080151703,0.023850251846195714,-1.8074677233360164,0.14285714285714285,0.028857761766296397,40.1482000015676,40.1482000015676,0.0,8,7,21,
0,42,hs_anp,MATR_SYNTH_03,0.3,1.0,ok,,0.0350813080151703,0.023850251846195714,-1.8074677233360164,0.14285714285714285,0.028857761766296397,40.1482000015676,40.1482000015676,0.0,8,7,21,
0,42,hs_anp,MATR_SYNTH_03,0.7,0.0,ok,,0.04688162297852835,0.024540565637880873,-0.9032625665676202,0.0,0.02115529058185316,44.14099990390241,44.14099990390241,0.0,19,16,10,
0,42,hs_anp,MATR_SYNTH_03,0.7,0.5,ok,,0.04688162297852835,0.024540565637880873,-0.9032625665676202,0.0,0.02115529058185316,44.14099990390241,44.14099990390241,0.0,19,16,10,
0,42,hs_anp,MATR_SYNTH_03,0.7,1.0,ok,,0.04688162297852835,0.024540565637880873,-0.9032625665676202,0.0,0.02115529058185316,44.14099990390241,44.14099990390241,0.0,19,16,10,
