step,support_loss,is_reported_step
1,0.1845780313014984,True
2,0.001148380571976304,False
3,0.0014817628543823957,True
4,0.0011216879356652498,False
5,0.00080149743007496,True
6,0.0009848140180110931,False
7,0.0012661097571253777,False
8,0.0012250517029315233,False
9,0.0004934551543556154,False
10,0.0009272807510569692,True
11,0.0008260086760856211,False
12,0.0014980749692767859,False
13,0.0012854652013629675,False
14,0.0013839156599715352,False
15,0.0012177813332527876,True
16,0.0009354985086247325,False
17,0.0009636462200433016,False
18,0.0008392259478569031,False
19,0.001265369588509202,False
20,0.0007649810868315399,True
