step,loss,nll,kl,kl_weight,gradient_norm,optimizer_step_skipped,amp_scale_before,amp_scale_after,batch_sampling_attempts,batch_sampling_seconds,batch_collation_seconds,batch_transfer_seconds,batch_cells,batch_current_cycles,batch_betas,context_points_min,context_points_max,target_points_min,target_points_max,target_soh_raw_min,target_soh_raw_max,target_normalized_min,target_normalized_max,prediction_mean_min,prediction_mean_max,prediction_std_min,prediction_std_max,prior_std_min,prior_std_max,posterior_std_min,posterior_std_max,iv_observed_fraction_mean,gpu_allocated_mb,gpu_reserved_mb,learning_rate,validation_rmse,elapsed_seconds,nonfinite_gradient_parameters,validation_cell_rmse
655,0.3035285472869873,0.30067574977874756,0.021777024492621422,0.131,27.812095642089844,False,512.0,512.0,16,0.0031906459480524063,0.0005568498745560646,0.00036780722439289093,HUST_9-1|HUST_2-5|HUST_6-1|HUST_4-1|HUST_1-2|HUST_10-4|HUST_4-1|HUST_7-8|HUST_10-2|HUST_7-1|HUST_9-3|HUST_10-3|HUST_1-8|HUST_4-1|HUST_2-3|HUST_4-7,1578|598|1072|533|1845|437|550|481|662|582|408|919|973|1372|1125|978,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,12,120,128,128,0.8115353888888837,1.0832026944444428,-2.384554386138916,1.025915503501892,-2.361328125,0.900390625,0.12267792969942093,0.568963885307312,0.16136878728866577,0.6284068822860718,0.16223914921283722,0.6302291750907898,0.0,69.810546875,198.0,0.0001,,9.84972753468901,,
656,0.3134622871875763,0.3117448091506958,0.013090433552861214,0.1312,35.0858154296875,False,512.0,512.0,16,0.00287977559491992,0.0005614683032035828,0.0003383518196642399,HUST_10-4|HUST_9-5|HUST_9-3|HUST_5-7|HUST_4-4|HUST_4-4|HUST_9-1|HUST_2-3|HUST_1-6|HUST_4-6|HUST_7-1|HUST_9-4|HUST_8-2|HUST_9-7|HUST_1-2|HUST_6-4,1431|785|698|830|653|382|1552|448|463|508|534|742|508|1421|1291|941,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,23,119,128,128,0.81275236363636,1.0649607575757545,-2.369276762008667,0.796908974647522,-2.248046875,0.81005859375,0.13620270788669586,0.5709765553474426,0.16238462924957275,0.6303431987762451,0.16282179951667786,0.6339138150215149,0.0,69.775390625,198.0,0.0001,,9.863249387592077,,
657,0.5243152976036072,0.5220576524734497,0.01718125306069851,0.1314,126.37086486816406,False,512.0,512.0,16,0.0033155702985823154,0.0007598376832902431,0.00041279103606939316,HUST_2-3|HUST_5-6|HUST_9-5|HUST_7-4|HUST_8-2|HUST_1-4|HUST_10-6|HUST_5-6|HUST_7-1|HUST_4-1|HUST_7-4|HUST_9-2|HUST_4-8|HUST_9-2|HUST_8-6|HUST_6-1,530|1796|1235|698|618|1147|941|1110|1098|636|495|701|1063|430|1011|429,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,21,125,128,128,0.8118593181818177,1.0803803737373736,-2.3804879188537598,0.9904844760894775,-2.50390625,0.80419921875,0.13206419348716736,0.5923749208450317,0.16253022849559784,0.6278381943702698,0.16355283558368683,0.6286913752555847,0.0,69.9873046875,198.0,0.0001,,9.878238369710743,,
658,0.5380986332893372,0.5352774262428284,0.02143792249262333,0.1316,179.585205078125,False,512.0,512.0,16,0.0034312857314944267,0.0006840173155069351,0.0003892560489475727,HUST_5-3|HUST_2-8|HUST_9-3|HUST_10-3|HUST_10-2|HUST_9-2|HUST_9-8|HUST_10-5|HUST_10-6|HUST_9-1|HUST_9-4|HUST_8-6|HUST_9-1|HUST_7-1|HUST_6-5|HUST_9-4,894|447|949|778|510|1293|1181|646|1012|914|404|521|596|520|887|819,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,25,127,128,128,0.8139950252525259,1.085048792929293,-2.3536765575408936,1.049091100692749,-2.41796875,0.83203125,0.1441953331232071,0.6069459319114685,0.16355283558368683,0.6259074211120605,0.16384610533714294,0.6219457387924194,0.0,70.0576171875,198.0,0.0001,,9.892061715945601,,
659,0.2845582365989685,0.2824782729148865,0.015781182795763016,0.1318,120.84906768798828,False,512.0,512.0,16,0.0028044958598911762,0.0005646441131830215,0.00036905892193317413,HUST_6-2|HUST_10-8|HUST_7-4|HUST_8-8|HUST_4-5|HUST_4-4|HUST_7-4|HUST_4-4|HUST_10-3|HUST_4-5|HUST_7-4|HUST_4-7|HUST_8-4|HUST_8-1|HUST_5-3|HUST_1-4,1417|324|405|799|1053|528|745|1026|650|406|474|1207|1033|265|1429|874,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9,119,128,128,0.8118593181818177,1.0653122449494936,-2.3804879188537598,0.8013215065002441,-2.330078125,0.6982421875,0.1560966819524765,0.5426656603813171,0.16355283558368683,0.6276676654815674,0.16399294137954712,0.625453770160675,0.0,69.775390625,198.0,0.0001,,9.90524475602433,,
660,0.3395226001739502,0.3353833556175232,0.031357914209365845,0.132,65.93511199951172,False,512.0,512.0,16,0.0032588038593530655,0.0007359343580901623,0.00040115881711244583,HUST_6-8|HUST_8-8|HUST_9-5|HUST_9-5|HUST_8-7|HUST_1-6|HUST_9-8|HUST_9-7|HUST_6-4|HUST_9-1|HUST_1-8|HUST_1-4|HUST_4-8|HUST_1-2|HUST_4-5|HUST_2-2,1225|1083|1586|437|692|830|466|1159|1173|540|1490|1135|615|1597|1079|1389,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,11,124,128,128,0.8137709772727303,1.0787980404040411,-2.3564891815185547,0.9706200957298279,-2.328125,0.84521484375,0.155256986618042,0.6329697966575623,0.16399294137954712,0.6218327879905701,0.1650240570306778,0.6354321241378784,0.0,69.9521484375,198.0,0.0001,,9.9201257256791,,
661,0.24706117808818817,0.24284547567367554,0.03188878670334816,0.1322,23.942462921142578,False,512.0,512.0,16,0.0031524249352514744,0.0005408497527241707,0.00036375923082232475,HUST_6-2|HUST_7-8|HUST_4-6|HUST_10-6|HUST_9-5|HUST_5-3|HUST_9-3|HUST_6-8|HUST_6-8|HUST_8-6|HUST_2-8|HUST_10-1|HUST_2-8|HUST_2-8|HUST_1-6|HUST_2-6,1002|806|359|466|645|1068|578|882|654|1246|726|1197|554|353|748|804,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,13,116,128,128,0.8115353888888837,1.0973298737373751,-2.384554386138916,1.203265905380249,-2.259765625,0.91064453125,0.14186792075634003,0.6284068822860718,0.16487638652324677,0.6238677501678467,0.16546781361103058,0.6326267123222351,0.0,69.669921875,198.0,0.0001,,9.934222141746432,,
662,0.43435177206993103,0.43070316314697266,0.02755756862461567,0.1324,91.32085418701172,False,512.0,512.0,16,0.003305960912257433,0.0007545691914856434,0.00041748909279704094,HUST_4-4|HUST_9-8|HUST_2-8|HUST_9-1|HUST_5-3|HUST_4-7|HUST_7-8|HUST_3-6|HUST_9-8|HUST_2-3|HUST_1-4|HUST_6-2|HUST_2-6|HUST_2-2|HUST_10-1|HUST_7-8,1050|565|920|1320|726|959|546|970|668|895|497|818|1085|1196|740|664,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,28,126,128,128,0.8115353888888837,1.0675308005050475,-2.384554386138916,0.8291729092597961,-2.169921875,0.86474609375,0.14802038669586182,0.6247736811637878,0.16546781361103058,0.6183395385742188,0.1662098616361618,0.6189020276069641,0.0,70.0224609375,198.0,0.0001,,9.948762055952102,,
663,0.42598646879196167,0.42248064279556274,0.026439104229211807,0.1326,148.89895629882812,False,512.0,512.0,16,0.0033907797187566757,0.000546010211110115,0.00036585284397006035,HUST_6-5|HUST_5-7|HUST_4-4|HUST_8-8|HUST_4-1|HUST_1-2|HUST_6-8|HUST_10-6|HUST_10-8|HUST_9-7|HUST_5-6|HUST_2-8|HUST_4-1|HUST_10-5|HUST_2-2|HUST_5-7,1695|743|837|949|638|2062|1046|1023|590|757|1399|799|623|1053|943|650,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,12,120,128,128,0.8139448055555543,1.0625286111111065,-2.354306936264038,0.7663761377334595,-2.203125,0.7734375,0.15553641319274902,0.6251702904701233,0.16635864973068237,0.6157569885253906,0.166805699467659,0.616766631603241,0.0,69.810546875,198.0,0.0001,,9.962555315811187,,
664,0.4898504912853241,0.4869246482849121,0.02203184925019741,0.1328,179.09259033203125,False,512.0,512.0,16,0.003148408140987158,0.0006964597851037979,0.0003870530053973198,HUST_8-5|HUST_9-1|HUST_1-2|HUST_1-6|HUST_4-5|HUST_8-5|HUST_10-6|HUST_1-6|HUST_3-5|HUST_4-4|HUST_10-8|HUST_4-4|HUST_3-5|HUST_4-8|HUST_3-6|HUST_2-8,625|1062|1281|624|403|360|1810|783|1996|935|927|766|2115|655|523|461,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,120,128,128,0.812708194444444,1.0736292499999986,-2.369831085205078,0.9057319164276123,-2.048828125,0.9130859375,0.16966304183006287,0.6413294076919556,0.16695496439933777,0.6194085478782654,0.16740351915359497,0.6290898323059082,0.0,69.810546875,198.0,0.0001,,9.977830010931939,,
