epoch,task_balanced_teacher_forced_mse,task_balanced_recursive_mse,gradient_norm,learning_rate,elapsed_seconds
1,0.6105511287848154,0.5758682489395142,2.162186861038208,0.001,2.428979960968718
2,0.5757372329632441,0.5448910693327585,2.1096303462982178,0.001,4.768881283001974
3,0.5419007142384847,0.5144815345605215,2.0579681396484375,0.001,6.9838381700683385
4,0.5087966620922089,0.4843363215525945,2.0113818645477295,0.001,9.306932480074465
5,0.47600749631722766,0.4542493571837743,1.9688576459884644,0.001,11.507732521975413
6,0.44357453286647797,0.424066295226415,1.926973819732666,0.001,13.728650124976411
7,0.41108650465806323,0.3936655173699061,1.8866806030273438,0.001,16.066597670083866
8,0.37903499603271484,0.36294621725877124,1.8450422286987305,0.001,18.283243234967813
9,0.3466172367334366,0.3318333874146144,1.802736759185791,0.001,20.496886734152213
10,0.3138860911130905,0.3002675771713257,1.7584762573242188,0.001,22.83349207113497
11,0.28161145001649857,0.2682030548652013,1.7101753950119019,0.001,25.060472133103758
12,0.24883742133776346,0.23562714209159216,1.6560016870498657,0.001,27.39764315704815
13,0.21577021479606628,0.2025865837931633,1.5940169095993042,0.001,29.629228468984365
14,0.18323911726474762,0.16922968874375025,1.5220311880111694,0.001,31.858267304021865
15,0.15086921428640684,0.13588733226060867,1.4344477653503418,0.001,34.190942086977884
16,0.11920067543784778,0.10320467998584111,1.324666142463684,0.001,36.38314872304909
17,0.08895673354466756,0.07235523002843063,1.1858216524124146,0.001,38.69151294603944
18,0.06104570875565211,0.04541109843800465,1.0008575916290283,0.001,40.8833675859496
19,0.03781395126134157,0.02587498538196087,0.762816309928894,0.001,43.098661944968626
20,0.020907253647843998,0.01918672878916065,0.42168325185775757,0.001,45.43221261608414
21,0.01500032547240456,0.031032658647745848,0.045908525586128235,0.001,47.64944075094536
22,0.023412923871849973,0.05716341268271208,0.6164070963859558,0.001,49.97784629301168
23,0.04189517938842376,0.07716203791399796,1.174646258354187,0.001,52.190797126153484
24,0.056080980226397514,0.07861423740784328,1.4946497678756714,0.001,54.4027403939981
25,0.05744167665640513,0.06591188566138347,1.5084518194198608,0.001,56.73925197008066
26,0.04818452491114537,0.04873168437431256,1.2952412366867065,0.001,58.960301326122135
27,0.036430643095324435,0.0339200715534389,0.9979630708694458,0.001,61.29711033008061
28,0.02582933846861124,0.024199311699097354,0.6789730787277222,0.001,63.52055742708035
29,0.01880199780377249,0.019459376422067482,0.3946319818496704,0.001,65.7341438359581
30,0.015238671020294229,0.018415747210383415,0.1569305658340454,0.001,68.06310279504396
31,0.014583586249500513,0.01961746159940958,0.04302225634455681,0.001,70.2927996891085
32,0.0156991770491004,0.02187435096129775,0.18017056584358215,0.001,72.51185055798851
33,0.017768663354218006,0.024348285359640915,0.285712331533432,0.001,74.84900140808895
34,0.019758914442112047,0.026508997504909832,0.36134788393974304,0.001,77.06573725910857
35,0.021716805485387642,0.028059137985110283,0.41457629203796387,0.001,79.2895007811021
36,0.023065167013555765,0.028870211603740852,0.4462452530860901,0.001,81.62433501216583
37,0.02365360377977292,0.028932026587426662,0.46033111214637756,0.001,83.84730011108331
38,0.02377149447177847,0.02831570276369651,0.46035218238830566,0.001,86.06813838216476
39,0.023200986441224813,0.027148813630143803,0.4472533166408539,0.001,88.3967800301034
40,0.022241403659184773,0.02559341924885909,0.42539045214653015,0.001,90.60997829097323
41,0.020903858200957377,0.02384178526699543,0.3883293867111206,0.001,92.82958888309076
42,0.019335923561205465,0.02209650306031108,0.33746734261512756,0.001,95.16628772695549
43,0.017886926264812548,0.020540634791056316,0.2856331467628479,0.001,97.38107791612856
44,0.01655305502936244,0.019330839316050213,0.22694823145866394,0.001,99.59537485102192
45,0.015458653215318918,0.01857863614956538,0.15867206454277039,0.001,101.9284363151528
