epoch,source,teacher_forced_mse,recursive_mse,source_weight
1,CALCE_CX2_16.pkl,0.712177038192749,0.6740403771400452,0.16666666666666666
1,CALCE_CX2_33.pkl,0.6223463416099548,0.5871295928955078,0.16666666666666666
1,CALCE_CX2_34.pkl,0.5802866220474243,0.5464638471603394,0.16666666666666666
1,CALCE_CX2_35.pkl,0.6665396690368652,0.6301290392875671,0.16666666666666666
1,CALCE_CX2_36.pkl,0.5533153414726257,0.5203104019165039,0.16666666666666666
1,CALCE_CX2_38.pkl,0.5286417603492737,0.4971362352371216,0.16666666666666666
2,CALCE_CX2_16.pkl,0.6739497184753418,0.6400845646858215,0.16666666666666666
2,CALCE_CX2_33.pkl,0.5869758725166321,0.5557376146316528,0.16666666666666666
2,CALCE_CX2_34.pkl,0.5463595390319824,0.5162644386291504,0.16666666666666666
2,CALCE_CX2_35.pkl,0.6299917697906494,0.5975555181503296,0.16666666666666666
2,CALCE_CX2_36.pkl,0.5201479196548462,0.4908217787742615,0.16666666666666666
2,CALCE_CX2_38.pkl,0.4969985783100128,0.4688825011253357,0.16666666666666666
3,CALCE_CX2_16.pkl,0.6365482211112976,0.6066644191741943,0.16666666666666666
3,CALCE_CX2_33.pkl,0.5525279641151428,0.5249089002609253,0.16666666666666666
3,CALCE_CX2_34.pkl,0.5135034322738647,0.4866410791873932,0.16666666666666666
3,CALCE_CX2_35.pkl,0.594239354133606,0.5655324459075928,0.16666666666666666
3,CALCE_CX2_36.pkl,0.4882691502571106,0.4619167149066925,0.16666666666666666
3,CALCE_CX2_38.pkl,0.4663161635398865,0.44122564792633057,0.16666666666666666
4,CALCE_CX2_16.pkl,0.5999155640602112,0.5734420418739319,0.16666666666666666
4,CALCE_CX2_33.pkl,0.5191805958747864,0.49433523416519165,0.16666666666666666
4,CALCE_CX2_34.pkl,0.4812066853046417,0.45729944109916687,0.16666666666666666
4,CALCE_CX2_35.pkl,0.5593874454498291,0.5337380766868591,0.16666666666666666
4,CALCE_CX2_36.pkl,0.45676764845848083,0.4333091974258423,0.16666666666666666
4,CALCE_CX2_38.pkl,0.43632203340530396,0.4138939380645752,0.16666666666666666
5,CALCE_CX2_16.pkl,0.5638257265090942,0.5401827692985535,0.16666666666666666
5,CALCE_CX2_33.pkl,0.4857296347618103,0.4638066589832306,0.16666666666666666
5,CALCE_CX2_34.pkl,0.4491587281227112,0.4280409514904022,0.16666666666666666
5,CALCE_CX2_35.pkl,0.5242726802825928,0.5019509792327881,0.16666666666666666
5,CALCE_CX2_36.pkl,0.4263055622577667,0.40480735898017883,0.16666666666666666
5,CALCE_CX2_38.pkl,0.40675264596939087,0.3867074251174927,0.16666666666666666
6,CALCE_CX2_16.pkl,0.5271415710449219,0.5067049860954285,0.16666666666666666
6,CALCE_CX2_33.pkl,0.4525073766708374,0.4331650733947754,0.16666666666666666
6,CALCE_CX2_34.pkl,0.4182223975658417,0.39871832728385925,0.16666666666666666
6,CALCE_CX2_35.pkl,0.49061936140060425,0.47000211477279663,0.16666666666666666
6,CALCE_CX2_36.pkl,0.3953559696674347,0.376270592212677,0.16666666666666666
6,CALCE_CX2_38.pkl,0.3776005208492279,0.35953667759895325,0.16666666666666666
7,CALCE_CX2_16.pkl,0.49082401394844055,0.4728589653968811,0.16666666666666666
7,CALCE_CX2_33.pkl,0.420004278421402,0.40228497982025146,0.16666666666666666
7,CALCE_CX2_34.pkl,0.38648539781570435,0.36921727657318115,0.16666666666666666
7,CALCE_CX2_35.pkl,0.4554835557937622,0.4377549886703491,0.16666666666666666
7,CALCE_CX2_36.pkl,0.3648044764995575,0.34759119153022766,0.16666666666666666
7,CALCE_CX2_38.pkl,0.34891730546951294,0.33228570222854614,0.16666666666666666
8,CALCE_CX2_16.pkl,0.4545802175998688,0.4385131001472473,0.16666666666666666
8,CALCE_CX2_33.pkl,0.3877567648887634,0.37106120586395264,0.16666666666666666
8,CALCE_CX2_34.pkl,0.35573267936706543,0.33944517374038696,0.16666666666666666
8,CALCE_CX2_35.pkl,0.42186981439590454,0.40509212017059326,0.16666666666666666
8,CALCE_CX2_36.pkl,0.3345622420310974,0.3186837434768677,0.16666666666666666
8,CALCE_CX2_38.pkl,0.3197082579135895,0.3048819601535797,0.16666666666666666
9,CALCE_CX2_16.pkl,0.4189038872718811,0.4035579562187195,0.16666666666666666
9,CALCE_CX2_33.pkl,0.35466912388801575,0.3394140899181366,0.16666666666666666
9,CALCE_CX2_34.pkl,0.3243980407714844,0.3093358874320984,0.16666666666666666
9,CALCE_CX2_35.pkl,0.38724884390830994,0.37192007899284363,0.16666666666666666
9,CALCE_CX2_36.pkl,0.30377134680747986,0.2894904911518097,0.16666666666666666
9,CALCE_CX2_38.pkl,0.2907121777534485,0.27728182077407837,0.16666666666666666
10,CALCE_CX2_16.pkl,0.3810676038265228,0.3678928315639496,0.16666666666666666
10,CALCE_CX2_33.pkl,0.32062768936157227,0.3072783946990967,0.16666666666666666
10,CALCE_CX2_34.pkl,0.29317739605903625,0.2788407802581787,0.16666666666666666
10,CALCE_CX2_35.pkl,0.351534366607666,0.33815744519233704,0.16666666666666666
10,CALCE_CX2_36.pkl,0.2745652198791504,0.2599724531173706,0.16666666666666666
10,CALCE_CX2_38.pkl,0.26234427094459534,0.24946355819702148,0.16666666666666666
11,CALCE_CX2_16.pkl,0.3449961245059967,0.3314208388328552,0.16666666666666666
11,CALCE_CX2_33.pkl,0.28774625062942505,0.27460137009620667,0.16666666666666666
11,CALCE_CX2_34.pkl,0.2617281973361969,0.24792741239070892,0.16666666666666666
11,CALCE_CX2_35.pkl,0.3177002966403961,0.3037309944629669,0.16666666666666666
11,CALCE_CX2_36.pkl,0.24369819462299347,0.2301095575094223,0.16666666666666666
11,CALCE_CX2_38.pkl,0.23379963636398315,0.22142815589904785,0.16666666666666666
12,CALCE_CX2_16.pkl,0.3072146475315094,0.2940654158592224,0.16666666666666666
12,CALCE_CX2_33.pkl,0.25457465648651123,0.24136143922805786,0.16666666666666666
12,CALCE_CX2_34.pkl,0.22980494797229767,0.21659989655017853,0.16666666666666666
12,CALCE_CX2_35.pkl,0.28251346945762634,0.2685939073562622,0.16666666666666666
12,CALCE_CX2_36.pkl,0.21302106976509094,0.1999209076166153,0.16666666666666666
12,CALCE_CX2_38.pkl,0.20589573681354523,0.1932212859392166,0.16666666666666666
13,CALCE_CX2_16.pkl,0.2692725658416748,0.2557930052280426,0.16666666666666666
13,CALCE_CX2_33.pkl,0.222266286611557,0.20759421586990356,0.16666666666666666
13,CALCE_CX2_34.pkl,0.19770780205726624,0.18492582440376282,0.16666666666666666
13,CALCE_CX2_35.pkl,0.24586035311222076,0.23274998366832733,0.16666666666666666
13,CALCE_CX2_36.pkl,0.18305158615112305,0.16949336230754852,0.16666666666666666
13,CALCE_CX2_38.pkl,0.17646269500255585,0.16496311128139496,0.16666666666666666
14,CALCE_CX2_16.pkl,0.23145489394664764,0.21664941310882568,0.16666666666666666
14,CALCE_CX2_33.pkl,0.187964528799057,0.1734338402748108,0.16666666666666666
14,CALCE_CX2_34.pkl,0.16659440100193024,0.1530802994966507,0.16666666666666666
14,CALCE_CX2_35.pkl,0.21101169288158417,0.19629275798797607,0.16666666666666666
14,CALCE_CX2_36.pkl,0.15258513391017914,0.13902632892131805,0.16666666666666666
14,CALCE_CX2_38.pkl,0.14982405304908752,0.13689549267292023,0.16666666666666666
15,CALCE_CX2_16.pkl,0.19349095225334167,0.1768348664045334,0.16666666666666666
15,CALCE_CX2_33.pkl,0.1543714553117752,0.1391930729150772,0.16666666666666666
15,CALCE_CX2_34.pkl,0.1362825632095337,0.12142821401357651,0.16666666666666666
15,CALCE_CX2_35.pkl,0.17508138716220856,0.15948334336280823,0.16666666666666666
15,CALCE_CX2_36.pkl,0.1236829161643982,0.10891588032245636,0.16666666666666666
15,CALCE_CX2_38.pkl,0.12230601161718369,0.10946861654520035,0.16666666666666666
16,CALCE_CX2_16.pkl,0.15542960166931152,0.13682785630226135,0.16666666666666666
16,CALCE_CX2_33.pkl,0.12220402806997299,0.10549382865428925,0.16666666666666666
16,CALCE_CX2_34.pkl,0.10651903599500656,0.09065810590982437,0.16666666666666666
16,CALCE_CX2_35.pkl,0.13970907032489777,0.12287800014019012,0.16666666666666666
16,CALCE_CX2_36.pkl,0.09539474546909332,0.07989037781953812,0.16666666666666666
16,CALCE_CX2_38.pkl,0.09594757109880447,0.08347991108894348,0.16666666666666666
17,CALCE_CX2_16.pkl,0.11840178072452545,0.0975891649723053,0.16666666666666666
