step,loss,nll,kl,consistency_loss,consistency_weight,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
12,7.509912967681885,7.509664058685303,0.10364476591348648,0.0,0.0,0.0024,inf,True,180,"MATR_b2c41,MATR_b4c15,MATR_b1c20,MATR_b3c24,MATR_b3c44,MATR_b1c28,MATR_b3c15,MATR_b1c11,MATR_b2c37,MATR_b2c20,MATR_b3c31,MATR_b3c27,MATR_b4c14","MATR_b3c39,MATR_b1c0,MATR_b4c39,MATR_b1c21,MATR_b1c2,MATR_b2c45,MATR_b3c1,MATR_b1c1",486.0,2237.0,,1.010561359114945
13,1.0955160856246948,1.0954561233520508,0.023080965504050255,0.0,0.0,0.0026,1.9305822849273682,False,240,"MATR_b3c5,MATR_b4c14,MATR_b3c17,MATR_b1c11,MATR_b2c24,MATR_b2c20,MATR_b1c21,MATR_b1c15,MATR_b1c1,MATR_b3c31","MATR_b2c3,MATR_b4c32,MATR_b4c39,MATR_b2c2,MATR_b2c30,MATR_b1c42,MATR_b1c30,MATR_b3c4",334.0,1045.0,,1.0513753038831055
14,0.8579801321029663,0.8579409122467041,0.013996561989188194,0.0,0.0,0.0028,1.3829737901687622,False,120,"MATR_b3c1,MATR_b2c3,MATR_b1c38,MATR_b3c44,MATR_b4c32,MATR_b1c32,MATR_b2c22,MATR_b4c41,MATR_b4c12,MATR_b1c3","MATR_b2c19,MATR_b4c42,MATR_b4c21,MATR_b1c15,MATR_b2c40,MATR_b1c7,MATR_b2c35,MATR_b4c29",460.0,887.0,,1.0923172989860177
15,0.9884364604949951,0.9884148836135864,0.007182862609624863,0.0,0.0,0.003,1.0058419704437256,False,300,"MATR_b4c34,MATR_b2c21,MATR_b2c43,MATR_b3c17,MATR_b3c12,MATR_b1c26,MATR_b3c20,MATR_b1c25,MATR_b3c14,MATR_b1c38,MATR_b2c37,MATR_b2c2,MATR_b2c47,MATR_b2c30,MATR_b1c5","MATR_b4c42,MATR_b2c14,MATR_b3c40,MATR_b1c21,MATR_b4c9,MATR_b2c5,MATR_b1c17,MATR_b4c38",442.0,1055.0,,1.1567963701672852
16,0.6506918668746948,0.6506770849227905,0.0046140518970787525,0.0,0.0,0.0032,1.6761555671691895,False,220,"MATR_b1c42,MATR_b1c27,MATR_b2c43,MATR_b2c35,MATR_b3c35,MATR_b1c30,MATR_b2c47,MATR_b2c42,MATR_b3c44,MATR_b1c35,MATR_b4c34","MATR_b1c32,MATR_b4c15,MATR_b1c44,MATR_b1c17,MATR_b3c14,MATR_b2c10,MATR_b3c20,MATR_b3c40",560.0,858.0,,1.1971198581159115
17,0.7523956894874573,0.7523483037948608,0.01392998918890953,0.0,0.0,0.0034,1.7288146018981934,False,180,"MATR_b4c22,MATR_b1c5,MATR_b4c25,MATR_b2c23,MATR_b2c11,MATR_b2c40,MATR_b3c17,MATR_b1c2,MATR_b1c24,MATR_b2c42","MATR_b1c30,MATR_b2c14,MATR_b3c8,MATR_b1c25,MATR_b4c12,MATR_b3c12,MATR_b4c28,MATR_b1c7",484.0,930.0,,1.238434970844537
18,0.8677977919578552,0.8677507638931274,0.01305663026869297,0.0,0.0,0.0036,0.7235395908355713,False,120,"MATR_b2c21,MATR_b1c40,MATR_b3c25,MATR_b2c46,MATR_b1c3,MATR_b1c21,MATR_b2c25,MATR_b3c4,MATR_b4c32,MATR_b4c36,MATR_b1c28,MATR_b4c33,MATR_b3c14,MATR_b3c0","MATR_b2c40,MATR_b1c17,MATR_b4c40,MATR_b2c11,MATR_b4c15,MATR_b1c39,MATR_b1c18,MATR_b1c9",476.0,1052.0,,1.2766686957329512
19,0.8180513381958008,0.8180115222930908,0.010475823655724525,0.0,0.0,0.0038,1.69145929813385,False,120,"MATR_b1c40,MATR_b3c41,MATR_b1c27,MATR_b3c17,MATR_b2c43,MATR_b3c24,MATR_b2c40,MATR_b4c22,MATR_b4c36,MATR_b3c12,MATR_b4c41,MATR_b4c14","MATR_b2c45,MATR_b1c15,MATR_b2c22,MATR_b4c3,MATR_b1c7,MATR_b2c21,MATR_b2c24,MATR_b3c27",486.0,869.0,,1.313677289057523
20,1.0008536577224731,1.0008354187011719,0.004545937292277813,0.0,0.0,0.004,0.21725799143314362,False,120,"MATR_b2c46,MATR_b3c5,MATR_b1c11,MATR_b4c4,MATR_b4c38,MATR_b3c0,MATR_b2c31,MATR_b2c20,MATR_b3c31,MATR_b2c10,MATR_b4c41,MATR_b4c14","MATR_b2c19,MATR_b1c5,MATR_b2c14,MATR_b2c24,MATR_b1c17,MATR_b1c38,MATR_b3c30,MATR_b4c3",460.0,1071.0,,1.3447980899363756
21,2.5455172061920166,2.5452399253845215,0.06600712239742279,0.0,0.0,0.0042,8.958016395568848,False,220,"MATR_b1c9,MATR_b4c21,MATR_b1c15,MATR_b2c21,MATR_b2c10,MATR_b3c41,MATR_b2c11,MATR_b3c31,MATR_b4c15","MATR_b3c40,MATR_b1c35,MATR_b4c4,MATR_b3c25,MATR_b1c0,MATR_b3c4,MATR_b4c29,MATR_b4c40",656.0,1858.0,,1.382985739968717
