source,alpha
CALCE_CX2_16.pkl,0.07273033
CALCE_CX2_33.pkl,0.09551391
CALCE_CX2_34.pkl,0.010247922
CALCE_CX2_35.pkl,0.15111321
CALCE_CX2_36.pkl,0.0
CALCE_CX2_38.pkl,0.6703946
