method,adaptation_step,count,mae_cycles,median_absolute_error_cycles,rmse_cycles,mape_percent,mean_bias_cycles,within_10_percent_accuracy,within_15_percent_accuracy,r2,max_absolute_error_cycles,general_domain_accuracy,specific_domain_accuracy,general_representation_change,specific_representation_change,mean_absolute_specific_residual,y_general_mae_cycles
hybrid,0,24,383.7318420410156,294.37518310546875,523.8040642339279,24.423427759736256,20.604827880859375,0.5,0.5,-0.24832153949398506,1015.320068359375,0.25,0.125,1.4901161637936866e-08,-2.235174201281609e-08,13.303475856781006,380.07568359375
hybrid,1,24,385.9029032389323,290.376708984375,528.2092345938273,24.556263772937083,20.079315185546864,0.5,0.5,-0.26940649432065955,1043.472412109375,0.25,0.125,1.4901161637936866e-08,0.00024805715474935004,13.752203941345215,382.0167541503907
hybrid,2,24,388.0561014811198,287.3006591796875,532.6889476008371,24.692230904569016,19.852152506510407,0.5,0.5,-0.29102932928747527,1071.283203125,0.25,0.125,1.4901161637936866e-08,0.00091132771194675,14.262067556381226,383.9365641276042
hybrid,5,24,397.81060791015625,281.862060546875,546.5779158193269,25.306453572432154,20.290191650390625,0.5,0.5,-0.3592298301153869,1153.884033203125,0.25,0.125,1.4901161637936866e-08,0.004895918187685275,15.848045825958252,391.2586924235026
hybrid,10,24,416.95094807942706,280.60333251953125,571.246737400746,26.551121522221628,22.915537516276014,0.4166666666666667,0.5,-0.48469143079397337,1292.905517578125,0.25,0.125,1.4901161637936866e-08,0.01824510144069785,19.325100541114807,405.12370808919275
