step,support_loss
1,0.0005099737900309265
2,0.00017014119657687843
3,0.0001692210789769888
4,0.00021477164409589022
5,0.00033967921626754105
6,0.00017791696882341057
7,0.00011983625881839544
8,0.0001637926761759445
9,0.00037354842061176896
10,0.00013265834422782063
11,0.00022456439910456538
12,0.00017408405255991966
13,0.00039237705641426146
14,0.0003985701478086412
15,0.000289490184513852
16,0.00017004234541673213
17,0.00032859976636245847
18,0.00022405125491786748
19,0.00029744781204499304
20,0.0002840207307599485
21,0.00021125674538780004
22,0.00012350367614999413
23,0.00017752707935869694
24,0.00016710702038835734
25,0.0003292958717793226
26,0.0003746582951862365
27,0.0003207129775546491
