mode,mae,rmse,r2,r2_nan_reason,max_absolute_error,final_cycle_absolute_error,pre_eol_mae,post_eol_mae,prediction_point_count,true_eol_cycle,predicted_eol_cycle_discrete,predicted_eol_cycle_interpolated,true_rul,predicted_rul,signed_rul_error,absolute_rul_error,relative_absolute_rul_error,crossing_found,adaptation_mode
transfer_0,0.09995918711658403,0.11889267856976839,-0.7914173523630545,,0.2786475037161763,0.10411349947570259,0.15518624781387735,0.04630044051617124,972,579,101.0,100.51589141606559,479.0,1.0,-478.0,478.0,0.9979123173277662,True,transfer_0
transfer_fast_1,0.11561737221164946,0.1425331562551197,-1.5746509431430482,,0.29426674360183847,0.2924655478727668,0.043977829255508,0.18522252652400595,972,579,101.0,100.78219288373404,479.0,1.0,-478.0,478.0,0.9979123173277662,True,transfer_fast_1
transfer_fast_3,0.17339578183179616,0.19474761093105075,-3.8065208541541384,,0.3566555213346876,0.3548543256056159,0.09701112096425123,0.2476113042568551,972,579,101.0,100.95880533910423,479.0,1.0,-478.0,478.0,0.9979123173277662,True,transfer_fast_3
transfer_fast_5,0.17248891807222158,0.19394063617109,-3.766769867391612,,0.35575948470977914,0.35395828898070747,0.09609311361931047,0.24671526763194665,972,579,,,479.0,,,,,False,transfer_fast_5
transfer_fast_10,0.17074419157575274,0.19239585481382482,-3.691135478170219,,0.35404680484680306,0.3522456091177314,0.0943154038445286,0.24500258776897058,972,579,,,479.0,,,,,False,transfer_fast_10
transfer_fast_15,0.17000931732528582,0.19176108436958494,-3.6602316747020485,,0.3533589076414503,0.3515577119123786,0.09353217952466444,0.2443146905636178,972,579,,,479.0,,,,,False,transfer_fast_15
transfer_fast_20,0.16936678081743886,0.19120767290846677,-3.6333721670088845,,0.3527571987524427,0.35095600302337104,0.0928476221064045,0.24371298167461022,972,579,,,479.0,,,,,False,transfer_fast_20
transfer_full,0.15935563435118058,0.1825536158405949,-3.2234507333784173,,0.3430054020300306,0.34120420630095893,0.08256954573677219,0.23396118495219811,972,579,,,479.0,,,,,False,transfer_full
