epoch,meta_loss,checkpoint_selection_meta_loss,checkpoint_selection_metric,mean_support_loss,gradient_norm,elapsed_seconds,outer_learning_rate,CALCE_CX2_16_support_loss,CALCE_CX2_16_query_loss,CALCE_CX2_33_support_loss,CALCE_CX2_33_query_loss,CALCE_CX2_34_support_loss,CALCE_CX2_34_query_loss,CALCE_CX2_35_support_loss,CALCE_CX2_35_query_loss,CALCE_CX2_36_support_loss,CALCE_CX2_36_query_loss
1,0.5705973505973816,0.5391204416751861,deterministic_post_update_meta_query_loss,0.9274364709854126,2.010063145917637,2.613625479163602,0.001,0.9005095958709717,0.6524264812469482,0.9257293939590454,0.5663466453552246,0.9225471019744873,0.5266485214233398,0.9754087924957275,0.6069751381874084,0.9129871129989624,0.5005899667739868
2,0.5382869243621826,0.508801132440567,deterministic_post_update_meta_query_loss,0.8882899284362793,1.9666296697826766,5.489072452066466,0.001,0.862454891204834,0.6173083186149597,0.8872960805892944,0.5339909791946411,0.8829370141029358,0.4955509603023529,0.9354403018951416,0.573646068572998,0.8733211755752563,0.47093820571899414
3,0.5065628290176392,0.4786709487438202,deterministic_post_update_meta_query_loss,0.8496619462966919,1.9273918753556187,8.298093643970788,0.001,0.8254314661026001,0.5830121636390686,0.8492707014083862,0.5024392604827881,0.8458939790725708,0.4654320776462555,0.8940154314041138,0.5403338074684143,0.8336981534957886,0.4415968358516693
4,0.475020170211792,0.448594731092453,deterministic_post_update_meta_query_loss,0.8112974166870117,1.8902466801519113,11.101511624176055,0.001,0.7849053144454956,0.5486244559288025,0.8105278015136719,0.47113192081451416,0.806918740272522,0.4351988732814789,0.8570635318756104,0.5079188942909241,0.7970714569091797,0.4122265875339508
5,0.4432750344276428,0.41847496628761294,deterministic_post_update_meta_query_loss,0.7702807784080505,1.8544143539780447,14.032672874163836,0.001,0.7486295104026794,0.5141589045524597,0.7677111625671387,0.43934693932533264,0.7659931778907776,0.4051840007305145,0.8147028684616089,0.47489020228385925,0.7543668746948242,0.3827950656414032
6,0.4121417999267578,0.38820014595985414,deterministic_post_update_meta_query_loss,0.7314152717590332,1.8183187987875062,16.845944036031142,0.001,0.7085298299789429,0.48009002208709717,0.7306006550788879,0.408412367105484,0.7296485900878906,0.37570101022720337,0.7732645869255066,0.4428788125514984,0.7150328159332275,0.35362687706947327
7,0.3808968961238861,0.35767205953598025,deterministic_post_update_meta_query_loss,0.6938307285308838,1.783270086078146,19.67682648799382,0.001,0.6716629266738892,0.44494226574897766,0.6929298639297485,0.3777417242527008,0.686948299407959,0.3455372154712677,0.7377647161483765,0.41030147671699524,0.6798478364944458,0.32596179842948914
8,0.34931257367134094,0.32681034207344056,deterministic_post_update_meta_query_loss,0.6546708941459656,1.7460900023522195,22.50761190499179,0.001,0.6327815055847168,0.41117024421691895,0.6562137007713318,0.34630414843559265,0.6490808725357056,0.316177099943161,0.6950761079788208,0.3772912621498108,0.6402021646499634,0.2956200838088989
9,0.3173578679561615,0.2955530047416687,deterministic_post_update_meta_query_loss,0.6094179153442383,1.70631577614862,25.451171583030373,0.001,0.5865011215209961,0.37614142894744873,0.6073685884475708,0.3138301968574524,0.6042037010192871,0.2857270836830139,0.6510895490646362,0.3438332676887512,0.5979264974594116,0.2672572731971741
10,0.2850930392742157,0.2638652116060257,deterministic_post_update_meta_query_loss,0.568206250667572,1.6631585236766597,28.282997772097588,0.001,0.5490615367889404,0.3395411968231201,0.5655118227005005,0.2826312482357025,0.5683135986328125,0.25506699085235596,0.603184163570404,0.30979791283607483,0.5549601316452026,0.23842768371105194
11,0.25296926498413086,0.23175532817840577,deterministic_post_update_meta_query_loss,0.5238441824913025,1.6144612017422373,31.148548427037895,0.001,0.5015838146209717,0.3033156991004944,0.5224393606185913,0.25028979778289795,0.5182092189788818,0.22527462244033813,0.5633590221405029,0.2763693630695343,0.5136291980743408,0.20959684252738953
12,0.22076664865016937,0.1992989093065262,deterministic_post_update_meta_query_loss,0.48029398918151855,1.558453017159483,33.974714731099084,0.001,0.4615545868873596,0.26752448081970215,0.4811626970767975,0.2186255306005478,0.47728416323661804,0.1952826827764511,0.5171831846237183,0.24216780066490173,0.464285284280777,0.1802327185869217
13,0.1889258623123169,0.1666707992553711,deterministic_post_update_meta_query_loss,0.43219801783561707,1.4934841657236104,36.922351020155475,0.001,0.42103463411331177,0.2319064736366272,0.4313565492630005,0.1868952512741089,0.42948442697525024,0.1664288491010666,0.46051526069641113,0.20794641971588135,0.41859912872314453,0.15145231783390045
14,0.156339630484581,0.13421059846878053,deterministic_post_update_meta_query_loss,0.38802942633628845,1.41261493777894,39.78704683599062,0.001,0.36977076530456543,0.1936900019645691,0.3832949995994568,0.15420804917812347,0.39040607213974,0.13608165085315704,0.42197975516319275,0.17405268549919128,0.37469562888145447,0.12366577982902527
15,0.12488608807325363,0.10252942740917206,deterministic_post_update_meta_query_loss,0.33959951996803284,1.31157116418333,42.64590511796996,0.001,0.32989805936813354,0.15814276039600372,0.33715394139289856,0.12279289960861206,0.3359327018260956,0.10751998424530029,0.36791348457336426,0.14063449203968048,0.32709935307502747,0.0953403040766716
16,0.09420681744813919,0.07267586588859558,deterministic_post_update_meta_query_loss,0.2917095124721527,1.1803422381737816,45.6137557500042,0.001,0.2811066508293152,0.12127982079982758,0.2858380973339081,0.09289849549531937,0.28583526611328125,0.07964514940977097,0.32113832235336304,0.10687684267759323,0.2846291959285736,0.07033376395702362
17,0.06588560342788696,0.046366725116968155,deterministic_post_update_meta_query_loss,0.23957839608192444,1.0112217875492848,48.48295518499799,0.001,0.2290422022342682,0.08685251325368881,0.24348749220371246,0.06424263119697571,0.23330894112586975,0.05495170131325722,0.2648525834083557,0.07598558813333511,0.2272007167339325,0.047395605593919754
18,0.041554972529411316,0.02627648301422596,deterministic_post_update_meta_query_loss,0.19164197146892548,0.7893768045274395,51.32510933908634,0.001,0.1847291886806488,0.05543103441596031,0.19090384244918823,0.040834102779626846,0.1882033497095108,0.03417490795254707,0.2068648338317871,0.048702217638492584,0.18750861287117004,0.028632596135139465
19,0.023256542161107063,0.016105173900723458,deterministic_post_update_meta_query_loss,0.1391076147556305,0.49596866499662495,54.279304983094335,0.001,0.13235387206077576,0.02965761162340641,0.1353732794523239,0.02300024963915348,0.1324136108160019,0.01979895494878292,0.1536705642938614,0.027417082339525223,0.14172668755054474,0.016408810392022133
20,0.014048643410205841,0.01942941267043352,deterministic_post_update_meta_query_loss,0.09369133412837982,0.12336416808632372,57.13978320802562,0.001,0.07692085206508636,0.012001044116914272,0.10109718143939972,0.01413329504430294,0.09476934373378754,0.015118580311536789,0.10717160254716873,0.01530600804835558,0.08849769085645676,0.01368428859859705
21,0.016387231647968292,0.0351376585662365,deterministic_post_update_meta_query_loss,0.05671563372015953,0.31469808420819956,59.98589540296234,0.001,0.05168940871953964,0.0058501544408500195,0.05415607988834381,0.016535162925720215,0.05464676767587662,0.021820122376084328,0.06549663096666336,0.014601237140595913,0.057589270174503326,0.023129481822252274
22,0.029457557946443558,0.052819228172302245,deterministic_post_update_meta_query_loss,0.03354531526565552,0.7445143077579006,62.93226625607349,0.001,0.02844478189945221,0.010713678784668446,0.03841046988964081,0.03051145374774933,0.03464389219880104,0.03925707936286926,0.03771792724728584,0.02512221597135067,0.028509508818387985,0.04168335720896721
23,0.04387433081865311,0.06188522092998028,deterministic_post_update_meta_query_loss,0.02460823766887188,1.035506616987394,65.78017966402695,0.001,0.02362901344895363,0.020297111943364143,0.02764933928847313,0.04448247328400612,0.02335379086434841,0.05556593835353851,0.025058448314666748,0.03789099305868149,0.02335059456527233,0.061135124415159225
24,0.051090944558382034,0.06022282540798187,deterministic_post_update_meta_query_loss,0.017627036198973656,1.1372251094743289,68.62825932307169,0.001,0.02027791365981102,0.02539222314953804,0.012308124452829361,0.051129281520843506,0.019469566643238068,0.06467341631650925,0.018988829106092453,0.04462037608027458,0.017090748995542526,0.0696394219994545
25,0.050550688058137894,0.05102380998432636,deterministic_post_update_meta_query_loss,0.0136323943734169,1.1239388170419167,71.49567725509405,0.001,0.014189567416906357,0.024920547381043434,0.013278167694807053,0.05281304568052292,0.012534252367913723,0.06250672787427902,0.015831908211112022,0.04435929283499718,0.012328073382377625,0.06815385073423386
26,0.04277929291129112,0.03905889317393303,deterministic_post_update_meta_query_loss,0.009301227517426014,0.9805808309669973,74.47125666006468,0.001,0.00956636667251587,0.019382156431674957,0.00991237722337246,0.044755805283784866,0.009015550836920738,0.054667796939611435,0.008773923851549625,0.03679056838154793,0.009237915277481079,0.05830012634396553
27,0.033091671764850616,0.028063596785068513,deterministic_post_update_meta_query_loss,0.006663973908871412,0.7950408256338777,77.33125797100365,0.001,0.006183298770338297,0.013073524460196495,0.00509597035124898,0.03353039547801018,0.0070958686992526054,0.04330435022711754,0.008223521523177624,0.027801163494586945,0.006721206940710545,0.04774891957640648
28,0.024159083142876625,0.020136911794543265,deterministic_post_update_meta_query_loss,0.006433251779526472,0.5794525235336836,80.28769515501335,0.001,0.0053831664845347404,0.007830650545656681,0.006395843345671892,0.025181511417031288,0.005727730691432953,0.0325222946703434,0.009848272427916527,0.020447688177227974,0.004811247810721397,0.03481326624751091
29,0.017528226599097252,0.015816893242299557,deterministic_post_update_meta_query_loss,0.010895860381424427,0.3639062969159263,83.14725744514726,0.001,0.009118416346609592,0.00534402672201395,0.010971080511808395,0.017889482900500298,0.010245280340313911,0.023779740557074547,0.014485332183539867,0.015538671053946018,0.009659189730882645,0.0250892024487257
30,0.013912339694797993,0.014596091397106648,deterministic_post_update_meta_query_loss,0.01881006918847561,0.16917333782208138,86.00199156114832,0.001,0.016531307250261307,0.005768286995589733,0.018999170511960983,0.014359377324581146,0.018070852383971214,0.018179666250944138,0.023259742185473442,0.012906460091471672,0.01718927174806595,0.018347905948758125
31,0.013001957908272743,0.015479217655956745,deterministic_post_update_meta_query_loss,0.030427023768424988,0.013197344208218411,88.8541870941408,0.001,0.02707960456609726,0.008316563442349434,0.03059438243508339,0.013353741727769375,0.029847444966435432,0.015508824959397316,0.03539082035422325,0.013264977373182774,0.029222864657640457,0.014565681107342243
32,0.013893740251660347,0.017409414052963257,deterministic_post_update_meta_query_loss,0.04289122670888901,0.12968617768467483,91.80848147207871,0.001,0.0405217781662941,0.012532729655504227,0.04234979674220085,0.013976989313960075,0.043069642037153244,0.014480841346085072,0.048425741493701935,0.015411785803735256,0.04008917510509491,0.013066355139017105
33,0.015534979291260242,0.01955962907522917,deterministic_post_update_meta_query_loss,0.05423474311828613,0.22783560839656591,94.69149550702423,0.001,0.05113968998193741,0.01667727716267109,0.05254305899143219,0.01520136184990406,0.05376693606376648,0.015059122815728188,0.059701912105083466,0.017786016687750816,0.05402212589979172,0.012951120734214783
34,0.017580309882760048,0.02140721306204796,deterministic_post_update_meta_query_loss,0.0624496228992939,0.29837272415509675,97.54809288703837,0.001,0.058770760893821716,0.020368753001093864,0.06145856902003288,0.017207857221364975,0.06326974183320999,0.016094733029603958,0.06864427030086517,0.02064315788447857,0.06010477617383003,0.013587048277258873
35,0.019111042842268944,0.022689981013536455,deterministic_post_update_meta_query_loss,0.06790982931852341,0.3398337309023087,100.5095917719882,0.001,0.06485207378864288,0.023657765239477158,0.06745077669620514,0.01854175142943859,0.06754890829324722,0.017024783417582512,0.0748291164636612,0.02224796451628208,0.06486829370260239,0.01408294215798378
36,0.020599111914634705,0.02328296862542629,deterministic_post_update_meta_query_loss,0.07082673162221909,0.37582737011476897,103.36078047705814,0.001,0.06628290563821793,0.025879783555865288,0.07138688862323761,0.019923310726881027,0.06943509727716446,0.017549855634570122,0.07762797921895981,0.02487866021692753,0.06940080225467682,0.014763946644961834
37,0.021120121702551842,0.023202521726489067,deterministic_post_update_meta_query_loss,0.07069265097379684,0.3888400912343346,106.20695184008218,0.001,0.06647762656211853,0.02676193229854107,0.06993509829044342,0.020699618384242058,0.06983727961778641,0.01776479370892048,0.07797715812921524,0.025427311658859253,0.06923609226942062,0.014946949668228626
38,0.020979193970561028,0.02253391109406948,deterministic_post_update_meta_query_loss,0.06888990849256516,0.38904320605835385,109.16272600903176,0.001,0.06482937932014465,0.026392480358481407,0.06928664445877075,0.020120596513152122,0.06879100948572159,0.018276918679475784,0.07522299885749817,0.02527065947651863,0.0663195252418518,0.014835318550467491
39,0.020105896517634392,0.021424635499715804,deterministic_post_update_meta_query_loss,0.06602328270673752,0.3716102375019116,112.00338926608674,0.001,0.06157894805073738,0.024603167548775673,0.06531044095754623,0.019964316859841347,0.0650901347398758,0.017581049352884293,0.07495804876089096,0.02381271868944168,0.06317883729934692,0.014568227343261242
40,0.019300712272524834,0.02003244999796152,deterministic_post_update_meta_query_loss,0.06039854511618614,0.3511856462167161,114.8546846380923,0.001,0.0559673011302948,0.02402116358280182,0.06016958877444267,0.018794087693095207,0.05932885408401489,0.01686789095401764,0.06876131892204285,0.02273121103644371,0.05776563659310341,0.014089207164943218
41,0.017946723848581314,0.018540406599640846,deterministic_post_update_meta_query_loss,0.056047309190034866,0.3152029431516172,117.80642828601412,0.001,0.05284639447927475,0.02121938019990921,0.05642087012529373,0.017626585438847542,0.0542125403881073,0.016143565997481346,0.06480775773525238,0.021206965669989586,0.05194897577166557,0.01353711448609829
42,0.016573075205087662,0.017123254016041756,deterministic_post_update_meta_query_loss,0.049974068999290466,0.2711155874793311,120.66247643809766,0.001,0.045909423381090164,0.01861279085278511,0.049639470875263214,0.01637483388185501,0.049494512379169464,0.015455790795385838,0.05597499758005142,0.01949206180870533,0.048851944506168365,0.012929899618029594
43,0.015310699120163918,0.015929922834038733,deterministic_post_update_meta_query_loss,0.04440709576010704,0.2234284860021565,123.51442070305347,0.001,0.0412256196141243,0.016338834539055824,0.0439143180847168,0.015118502080440521,0.04277288541197777,0.014836604706943035,0.052278369665145874,0.017506780102849007,0.04184427857398987,0.012752773240208626
44,0.014232601039111614,0.01507556065917015,deterministic_post_update_meta_query_loss,0.03888246417045593,0.1643365467040999,126.38350283703767,0.001,0.03484136611223221,0.01367424800992012,0.03831987828016281,0.01408458687365055,0.03885580599308014,0.014553266577422619,0.04633016884326935,0.01586011052131653,0.036065101623535156,0.012990793213248253
45,0.013315476477146149,0.014616702497005463,deterministic_post_update_meta_query_loss,0.03415095806121826,0.1066498569809193,129.3331040169578,0.001,0.030109640210866928,0.011310356669127941,0.03397418558597565,0.013339141383767128,0.033650193363428116,0.014167530462145805,0.041091833263635635,0.014592624269425869,0.031928934156894684,0.013167729601264
46,0.012934586964547634,0.014548059180378914,deterministic_post_update_meta_query_loss,0.029157772660255432,0.04488477054350238,132.18705000402406,0.001,0.025981862097978592,0.0093533368781209,0.029488597065210342,0.013079292140901089,0.026575244963169098,0.014613560400903225,0.03639158606529236,0.013729210942983627,0.02735157683491707,0.013897527940571308
47,0.012812169268727303,0.014800680242478848,deterministic_post_update_meta_query_loss,0.02567635290324688,0.019846755706630755,135.03187196003273,0.001,0.022352995350956917,0.007912480272352695,0.02641860954463482,0.013105087913572788,0.02358771488070488,0.01512273121625185,0.03189576417207718,0.01304929330945015,0.024126684293150902,0.01487125176936388
48,0.013130567036569118,0.015257391799241304,deterministic_post_update_meta_query_loss,0.02193617820739746,0.07038994209622614,137.99847709806636,0.001,0.019058216363191605,0.0070560397580266,0.021404046565294266,0.01335617620497942,0.02114017866551876,0.016436206176877022,0.028482209891080856,0.012917846441268921,0.019596237689256668,0.015886567533016205
49,0.013371041975915432,0.015777411963790657,deterministic_post_update_meta_query_loss,0.019974475726485252,0.11747768464946895,140.84505728515796,0.001,0.016986597329378128,0.006228383164852858,0.019633503630757332,0.013629813678562641,0.01850946620106697,0.016959810629487038,0.02605450712144375,0.012752668000757694,0.018688304349780083,0.017284533008933067
50,0.013855970464646816,0.016225189529359342,deterministic_post_update_meta_query_loss,0.017945239320397377,0.15518191022037003,143.7002174661029,0.001,0.014377599582076073,0.005857828538864851,0.01739123836159706,0.01427727472037077,0.016990628093481064,0.017788566648960114,0.02431654930114746,0.012911560013890266,0.016650183126330376,0.018444616347551346
51,0.014181484468281269,0.01649843920022249,deterministic_post_update_meta_query_loss,0.017252523452043533,0.18359754203100065,146.55498965014704,0.001,0.014341406524181366,0.0056390101090073586,0.016465473920106888,0.014635786414146423,0.016325926408171654,0.018347883597016335,0.022587668150663376,0.012842128053307533,0.016542140394449234,0.019442612305283546
52,0.014364021830260754,0.016549985762685536,deterministic_post_update_meta_query_loss,0.016688209027051926,0.1967107465964933,149.52259447798133,0.001,0.014308583922684193,0.00550047354772687,0.015958469361066818,0.01490123849362135,0.015522466972470284,0.0188625305891037,0.02259572222828865,0.013036327436566353,0.015055798925459385,0.019519535824656487
53,0.014468836598098278,0.01638452196493745,deterministic_post_update_meta_query_loss,0.017395228147506714,0.20388397915293008,152.38891567406245,0.001,0.014399846084415913,0.005428345873951912,0.017036665230989456,0.014944605529308319,0.01604989729821682,0.018856698647141457,0.02375541627407074,0.013257603161036968,0.015734313055872917,0.019856929779052734
54,0.014278868213295937,0.016060675773769618,deterministic_post_update_meta_query_loss,0.01726423390209675,0.19059794142201206,155.24715768895112,0.001,0.014119856059551239,0.005440009757876396,0.01703622192144394,0.014750303700566292,0.016125064343214035,0.018732070922851562,0.023551391437649727,0.013286710716784,0.015488633885979652,0.019185245037078857
55,0.014053917489945889,0.01565604778006673,deterministic_post_update_meta_query_loss,0.018541991710662842,0.17448381059038584,158.12055737804621,0.001,0.015794869512319565,0.005590415559709072,0.01799767091870308,0.01440242026001215,0.0180607158690691,0.0182426106184721,0.025228703394532204,0.013279983773827553,0.01562800072133541,0.018754156306385994
56,0.013763698749244213,0.015254055056720972,deterministic_post_update_meta_query_loss,0.019944846630096436,0.1466400851481149,161.07222852297127,0.001,0.015930013731122017,0.005917754489928484,0.020531902089715004,0.013923238031566143,0.01906496286392212,0.017629919573664665,0.025486331433057785,0.012976223602890968,0.018711019307374954,0.018371356651186943
57,0.01338950451463461,0.014920358452945948,deterministic_post_update_meta_query_loss,0.02160961739718914,0.11387394660106197,163.92638562712818,0.001,0.01759197935461998,0.006248548626899719,0.021576393395662308,0.013387471437454224,0.02165013924241066,0.016946788877248764,0.02811162918806076,0.013041362166404724,0.019117942079901695,0.017323344945907593
58,0.013047128915786743,0.014691848307847977,deterministic_post_update_meta_query_loss,0.023644275963306427,0.08190772282184625,166.7818594011478,0.001,0.020082708448171616,0.006601853761821985,0.0248308964073658,0.013376113958656788,0.022706985473632812,0.01618175208568573,0.030124584212899208,0.012853898108005524,0.02047620341181755,0.016222022473812103
59,0.01293893437832594,0.01457908321171999,deterministic_post_update_meta_query_loss,0.025751203298568726,0.046705288049179894,169.74436263600364,0.001,0.022595016285777092,0.007342258468270302,0.025465140119194984,0.01309090293943882,0.024585090577602386,0.01570103131234646,0.03155592083930969,0.012970587238669395,0.024554844945669174,0.015589895658195019
60,0.012796016409993172,0.014568294025957584,deterministic_post_update_meta_query_loss,0.027667656540870667,0.01879592442540025,172.5948312471155,0.001,0.02432856336236,0.007839597761631012,0.02887742780148983,0.013101212680339813,0.026115626096725464,0.015219387598335743,0.034194253385066986,0.013024438172578812,0.0248224139213562,0.014795445837080479
61,0.012879028916358948,0.014631105400621892,deterministic_post_update_meta_query_loss,0.029287254437804222,0.01937659819822614,175.45360356313176,0.001,0.02684539183974266,0.008559197187423706,0.028279874473810196,0.01306518167257309,0.027916423976421356,0.015111029148101807,0.03673148527741432,0.013415569439530373,0.026663100346922874,0.01424416434019804
62,0.012949285097420216,0.01473173387348652,deterministic_post_update_meta_query_loss,0.031177550554275513,0.04500038273912569,178.4145912770182,0.001,0.026762237772345543,0.009422310627996922,0.030628610402345657,0.01281004212796688,0.02959345653653145,0.014681573957204819,0.03890516236424446,0.013814431615173817,0.029998283833265305,0.014018061570823193
63,0.01300415676087141,0.014836689829826355,deterministic_post_update_meta_query_loss,0.0326971560716629,0.06305725351258885,181.2762690540403,0.001,0.029407979920506477,0.009733131155371666,0.031755413860082626,0.013087203726172447,0.0334596261382103,0.014534363523125648,0.038888655602931976,0.013964079320430756,0.029974110424518585,0.013702008873224258
64,0.013128980994224548,0.014919066242873669,deterministic_post_update_meta_query_loss,0.03383597359061241,0.07875607564531353,184.13861079816706,0.001,0.028559114784002304,0.010397190228104591,0.033999793231487274,0.013246884569525719,0.03344050794839859,0.014366614632308483,0.04187728464603424,0.014016450382769108,0.031303152441978455,0.013617761433124542
65,0.013179267756640911,0.014962096698582172,deterministic_post_update_meta_query_loss,0.03512311354279518,0.08905823772043504,187.11088669113815,0.001,0.0313868373632431,0.01060087513178587,0.03374600410461426,0.013359480537474155,0.03374611213803291,0.014429042115807533,0.04322731867432594,0.014197132550179958,0.03350929915904999,0.013309808447957039
