fold,seed,model,cell_id,alpha,beta,status,reason,future_rmse,current_soh_abs_error,nll,coverage_95,interval_width_95,inference_latency_ms,inference_latency_median_ms,inference_latency_std_ms,current_cycle,num_context_points,num_target_points,reference_cycles
0,42,soh_only_anp,MATR_b1c14,0.3,0.0,ok,,0.027240864485005,0.0007695315754119,-2.96576460507202,1.0,0.1191903003052478,0.6600577849894762,0.650312751531601,0.0401166514549966,263,128,616,"5,6,7,8,9,10"
0,42,soh_only_anp,MATR_b1c14,0.5,0.0,ok,,0.0052206675419404,6.156116321442973e-05,-3.6790859763476313,1.0,0.0750190574995194,0.6645546527579427,0.6543549243360758,0.0377934368861858,439,128,440,"5,6,7,8,9,10"
0,42,soh_only_anp,MATR_b1c14,0.7,0.0,ok,,0.0093438242251769,0.0013510581953449,-3.5777857844369847,1.0,0.0474764971079603,0.7140829926356673,0.7022302597761154,0.0388024939007928,614,128,265,"5,6,7,8,9,10"
0,42,soh_only_anp,MATR_b1c18,0.3,0.0,ok,,0.0569079936257856,0.0008765562020939,-2.0959539856813945,0.7619047619047619,0.1105368696694584,0.6953369826078415,0.6566043011844158,0.1431362299585393,206,128,483,"5,6,7,8,9,10"
0,42,soh_only_anp,MATR_b1c18,0.5,0.0,ok,,0.0199764777881387,0.0026643936543436,-2.9945068744644576,0.9971014492753624,0.123651661531354,0.6933925440534949,0.6837951950728893,0.0346494037668074,344,128,345,"5,6,7,8,9,10"
0,42,soh_only_anp,MATR_b1c18,0.7,0.0,ok,,0.0204249204696105,0.004515420912685,-1.9792447205469856,0.3894230769230769,0.0391518086126272,0.6814684020355344,0.6651955191046,0.0544308546613424,481,128,208,"5,6,7,8,9,10"
0,42,soh_only_anp,MATR_b1c19,0.3,0.0,ok,,0.0541205256279886,0.0002374507501065,-1.9074731100590585,0.6467391304347826,0.0925950902482259,0.6616105558350682,0.6523013580590487,0.0388731103186324,235,128,552,"5,6,7,8,9,10"
0,42,soh_only_anp,MATR_b1c19,0.5,0.0,ok,,0.0394216797301646,0.0001233621805023,-2.1762805891462587,0.6015228426395939,0.0670464775762433,0.6712913746014237,0.6608376279473305,0.0373292331236495,393,128,394,"5,6,7,8,9,10"
0,42,soh_only_anp,MATR_b1c19,0.7,0.0,ok,,0.0160036522650518,0.0010051587616521,-3.597300640518524,0.9831223628691984,0.0414857118771245,0.666147144511342,0.6566140800714493,0.0361510945140869,550,128,237,"5,6,7,8,9,10"
0,42,soh_only_anp,MATR_b1c2,0.3,0.0,ok,,0.0107513293347756,0.0039392773777543,-2.866532290374539,0.9016602809706258,0.0620333671808352,0.6652465788647532,0.6558476015925407,0.0368029926166963,670,128,1566,"5,6,7,8,9,10"
