step,loss,nll,kl,kl_weight,gradient_norm,optimizer_step_skipped,amp_scale_before,amp_scale_after,batch_sampling_attempts,batch_cells,batch_current_cycles,batch_betas,context_points_min,context_points_max,target_points_min,target_points_max,target_soh_raw_min,target_soh_raw_max,target_normalized_min,target_normalized_max,prediction_mean_min,prediction_mean_max,prediction_std_min,prediction_std_max,prior_std_min,prior_std_max,posterior_std_min,posterior_std_max,iv_observed_fraction_mean,gpu_allocated_mb,gpu_reserved_mb,learning_rate,validation_rmse,elapsed_seconds,validation_cell_rmse
450,0.7515506148338318,0.6136458516120911,1.5322753190994263,0.09,4.7915496826171875,False,1024.0,1024.0,16,CALCE_CX2_36|CALCE_CX2_35|CALCE_CX2_37|CALCE_CX2_35|CALCE_CS2_36|CALCE_CX2_34|CALCE_CX2_34|CALCE_CX2_34|CALCE_CS2_36|CALCE_CX2_37|CALCE_CS2_36|CALCE_CX2_36|CALCE_CS2_35|CALCE_CS2_35|CALCE_CX2_37|CALCE_CX2_36,1022|438|487|828|432|668|384|338|322|575|522|1099|231|568|561|935,0.5|0.75|0.75|1|0.25|1|0.25|0.25|0|1|0.25|0.5|0.5|0|0.75|0.75,13,128,128,128,0.14823431507984228,0.910480426086182,-4.275669097900391,0.8433316349983215,-2.322265625,0.828125,0.22230763733386993,1.1167534589767456,0.5829482674598694,1.797592282295227,0.5587708353996277,1.6358572244644165,0.523193359375,65.5927734375,176.0,0.0001,,938.5684950938448,
451,1.0996707677841187,0.9580928087234497,1.5696009397506714,0.0902,65.07381439208984,False,1024.0,1024.0,16,CALCE_CX2_16|CALCE_CX2_34|CALCE_CX2_16|CALCE_CS2_34|CALCE_CS2_35|CALCE_CX2_16|CALCE_CS2_34|CALCE_CS2_35|CALCE_CX2_34|CALCE_CX2_37|CALCE_CS2_36|CALCE_CS2_36|CALCE_CX2_34|CALCE_CX2_35|CALCE_CX2_34|CALCE_CS2_35,699|311|702|400|531|802|343|225|836|623|513|429|414|1050|616|413,0.5|0.25|1|0.25|1|0|0.75|1|0|1|0.75|0.5|0.25|1|0.75|0,8,123,128,128,0.1477539087091628,0.9114994504087182,-4.278895378112793,0.8501750826835632,-1.822265625,0.880859375,0.20205727219581604,0.8490868806838989,0.584134042263031,1.798406958580017,0.5622231364250183,1.6421512365341187,0.552490234375,65.5927734375,176.0,0.0001,,940.543333876878,
452,0.6599341630935669,0.5523244142532349,1.1903736591339111,0.0904,26.86039924621582,False,1024.0,1024.0,16,CALCE_CX2_34|CALCE_CS2_35|CALCE_CS2_34|CALCE_CX2_16|CALCE_CX2_37|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_36|CALCE_CS2_36|CALCE_CX2_34|CALCE_CS2_36|CALCE_CX2_16|CALCE_CX2_36|CALCE_CX2_34|CALCE_CX2_35|CALCE_CX2_37,516|359|431|629|392|671|757|757|246|549|440|462|1007|942|609|566,0|0.75|0.25|0.75|1|0.75|0.75|0.25|0.75|0.25|1|0.75|0.75|0.25|0.75|0.25,9,109,128,128,0.1477539087091628,0.9396928967937609,-4.278895378112793,1.0395132303237915,-1.759765625,0.8779296875,0.1823578178882599,1.0732381343841553,0.5828944444656372,1.8098257780075073,0.5691754817962646,1.541854977607727,0.572998046875,65.5908203125,176.0,0.0001,,942.7654297552072,
453,0.8105063438415527,0.6593436002731323,1.6684629917144775,0.0906,27.143320083618164,False,1024.0,1024.0,16,CALCE_CS2_35|CALCE_CX2_37|CALCE_CX2_16|CALCE_CX2_37|CALCE_CX2_16|CALCE_CS2_36|CALCE_CS2_36|CALCE_CX2_37|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_35|CALCE_CS2_35|CALCE_CS2_36|CALCE_CS2_35|CALCE_CX2_34|CALCE_CS2_35,239|438|581|333|920|389|296|597|384|441|330|556|306|314|922|342,0|0.25|0.75|0.5|0.25|0|1|0.75|1|0|0.5|0.25|0.75|0|1|1,17,123,128,128,0.14823431507984228,0.9314682251356076,-4.275669097900391,0.9842789769172668,-1.9677734375,0.87890625,0.20636717975139618,1.0442347526550293,0.5843498110771179,1.812276005744934,0.5722504258155823,1.5881837606430054,0.486083984375,65.5927734375,176.0,0.0001,,944.5878184479661,
454,0.7627207040786743,0.647277295589447,1.271403193473816,0.0908,23.870458602905273,False,1024.0,1024.0,16,CALCE_CS2_35|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_35|CALCE_CX2_37|CALCE_CX2_34|CALCE_CX2_34|CALCE_CS2_36|CALCE_CS2_35|CALCE_CX2_34|CALCE_CX2_35|CALCE_CX2_34|CALCE_CX2_35|CALCE_CX2_16|CALCE_CX2_36|CALCE_CS2_36,485|730|340|1021|639|563|1068|337|307|770|569|1064|948|519|370|240,1|0.75|1|0.5|1|1|0.75|0.75|1|0|0.75|0.5|0.25|1|0|0.75,11,126,128,128,0.1477539087091628,0.940210365321379,-4.278895378112793,1.0429884195327759,-2.126953125,0.7705078125,0.19748052954673767,1.0237935781478882,0.5844576954841614,1.8139102458953857,0.5679066777229309,1.606872797012329,0.679443359375,65.5927734375,176.0,0.0001,,946.7932664020918,
455,1.163987159729004,0.9173252582550049,2.7105705738067627,0.091,13.225662231445312,False,1024.0,1024.0,16,CALCE_CX2_36|CALCE_CS2_36|CALCE_CS2_36|CALCE_CX2_35|CALCE_CS2_36|CALCE_CX2_34|CALCE_CS2_35|CALCE_CS2_35|CALCE_CX2_37|CALCE_CX2_36|CALCE_CX2_37|CALCE_CX2_37|CALCE_CS2_36|CALCE_CS2_34|CALCE_CX2_34|CALCE_CS2_35,536|333|643|666|606|451|561|476|272|885|614|606|229|480|618|617,0|0.5|0.25|0.75|0.5|1|0.5|0|0.75|0.75|0.75|0.25|0.25|0.75|0.75|0.25,13,125,128,128,0.1477539087091628,0.9452615861727975,-4.278895378112793,1.0769107341766357,-2.71484375,0.74560546875,0.21002213656902313,1.226858139038086,0.5844037532806396,1.8155449628829956,0.5561660528182983,1.56263267993927,0.49365234375,65.5927734375,176.0,0.0001,,948.7168605979532,
456,1.007625699043274,0.8589037656784058,1.6307225227355957,0.0912,27.735002517700195,False,1024.0,1024.0,16,CALCE_CX2_35|CALCE_CS2_34|CALCE_CS2_35|CALCE_CX2_36|CALCE_CX2_36|CALCE_CS2_36|CALCE_CS2_36|CALCE_CX2_37|CALCE_CS2_36|CALCE_CX2_36|CALCE_CX2_16|CALCE_CX2_36|CALCE_CS2_35|CALCE_CX2_35|CALCE_CX2_36|CALCE_CX2_35,923|372|502|1048|1200|423|231|450|312|841|268|396|594|754|597|748,1|0|1|0.25|0|0|0.25|0.75|1|0.5|0.75|1|0.75|0.75|0.25|0.5,11,128,128,128,0.1477539087091628,0.9407686340193706,-4.278895378112793,1.046737551689148,-2.263671875,0.79638671875,0.20582391321659088,1.2504297494888306,0.58586186170578,1.8229073286056519,0.5748045444488525,1.5074865818023682,0.5390625,65.5927734375,176.0,0.0001,,950.9777475539595,
457,0.867262601852417,0.689717173576355,1.9425103664398193,0.0914,17.549108505249023,False,1024.0,1024.0,16,CALCE_CS2_36|CALCE_CS2_35|CALCE_CS2_36|CALCE_CS2_35|CALCE_CS2_35|CALCE_CX2_37|CALCE_CS2_35|CALCE_CS2_36|CALCE_CX2_35|CALCE_CX2_34|CALCE_CX2_37|CALCE_CX2_37|CALCE_CX2_16|CALCE_CX2_36|CALCE_CX2_35|CALCE_CS2_34,633|317|636|418|254|370|211|381|565|734|719|323|603|557|384|301,0|0.75|0.25|0.5|0.5|0.5|0.75|0.25|0.75|0.5|0.25|1|0.5|0.25|1|0.5,22,123,128,128,0.1477539087091628,0.9287967363885626,-4.278895378112793,0.9663380980491638,-2.634765625,0.7978515625,0.18711094558238983,1.3039295673370361,0.5844576954841614,1.824544906616211,0.556998610496521,1.6848828792572021,0.509033203125,65.5927734375,176.0,0.0001,,952.8680200078525,
458,0.6015220284461975,0.4687323272228241,1.4496691226959229,0.0916,30.529708862304688,False,1024.0,1024.0,16,CALCE_CX2_16|CALCE_CS2_36|CALCE_CS2_35|CALCE_CX2_35|CALCE_CX2_36|CALCE_CS2_34|CALCE_CX2_16|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_16|CALCE_CX2_36|CALCE_CX2_34|CALCE_CX2_37|CALCE_CX2_36|CALCE_CX2_37|CALCE_CX2_34,561|378|601|416|1240|130|990|591|212|950|317|726|333|996|416|487,0.25|0.75|0|0.75|0.5|0.75|1|0.5|0.25|0.25|0.5|0|0.5|0.5|1|0,14,128,128,128,0.14889132486437023,0.9847773346190377,-4.271256923675537,1.3422858715057373,-1.90234375,0.75927734375,0.19453920423984528,1.0697084665298462,0.5844037532806396,1.8286409378051758,0.5721442103385925,1.7088052034378052,0.459228515625,65.5927734375,176.0,0.0001,,955.1322367191315,
459,0.9987130165100098,0.8387697339057922,1.7423015832901,0.0918,37.333740234375,False,1024.0,1024.0,16,CALCE_CS2_36|CALCE_CS2_34|CALCE_CX2_34|CALCE_CX2_34|CALCE_CX2_16|CALCE_CX2_35|CALCE_CX2_36|CALCE_CS2_35|CALCE_CX2_16|CALCE_CS2_34|CALCE_CS2_36|CALCE_CS2_35|CALCE_CX2_36|CALCE_CS2_36|CALCE_CX2_35|CALCE_CS2_36,278|462|983|505|833|1065|352|564|734|208|452|219|765|480|758|236,0.25|0.25|0.5|0.75|1|0.5|1|0.5|0.25|1|0.75|0|0.75|0|0.25|0.25,8,126,128,128,0.1477539087091628,0.9559450656712962,-4.278895378112793,1.1486575603485107,-2.0859375,0.91357421875,0.2268071174621582,1.2819736003875732,0.5851594805717468,1.833560585975647,0.560965895652771,1.6880650520324707,0.494140625,65.5927734375,176.0,0.0001,,957.1532211592421,
