epoch,meta_loss,checkpoint_selection_meta_loss,checkpoint_selection_metric,mean_support_loss,gradient_norm,elapsed_seconds,outer_learning_rate,CALCE_CX2_16_support_loss,CALCE_CX2_16_query_loss,CALCE_CX2_33_support_loss,CALCE_CX2_33_query_loss,CALCE_CX2_34_support_loss,CALCE_CX2_34_query_loss,CALCE_CX2_35_support_loss,CALCE_CX2_35_query_loss,CALCE_CX2_36_support_loss,CALCE_CX2_36_query_loss
1,0.5979679822921753,0.5648750722408294,deterministic_post_update_meta_query_loss,0.9274364709854126,2.0890757290445388,2.608202608069405,0.001,0.9005095958709717,0.681523859500885,0.9257293939590454,0.5935737490653992,0.9225471019744873,0.5526623129844666,0.9754087924957275,0.6359483003616333,0.9129871129989624,0.5261316895484924
2,0.5646666884422302,0.5337960004806519,deterministic_post_update_meta_query_loss,0.8864478468894958,2.0407681597984944,5.500166632933542,0.001,0.8606835007667542,0.6454256176948547,0.8854900598526001,0.5602781176567078,0.8812420964241028,0.5207002758979797,0.933326244354248,0.6016175746917725,0.8714970350265503,0.4953119456768036
3,0.532158374786377,0.5031241357326508,deterministic_post_update_meta_query_loss,0.8460917472839355,1.9967375010694846,8.314198462991044,0.001,0.8218457698822021,0.6103033423423767,0.8456505537033081,0.5279155373573303,0.8422064185142517,0.4897541105747223,0.8909053802490234,0.567686915397644,0.8298503756523132,0.46513187885284424
4,0.5001001358032227,0.47268221378326414,deterministic_post_update_meta_query_loss,0.8063610196113586,1.955842458647319,11.149539066944271,0.001,0.7812117338180542,0.5755317211151123,0.8054538369178772,0.4960586130619049,0.8017438650131226,0.45903220772743225,0.8517340421676636,0.5346331000328064,0.7916615009307861,0.43524494767189026
5,0.4680992066860199,0.44231263399124143,deterministic_post_update_meta_query_loss,0.7653096914291382,1.9176813322770334,13.990168499061838,0.001,0.7428909540176392,0.5407558679580688,0.7635204195976257,0.46407368779182434,0.7604231834411621,0.42867159843444824,0.8089838027954102,0.5013546943664551,0.7507298588752747,0.4056403934955597
6,0.4366719424724579,0.4118751108646393,deterministic_post_update_meta_query_loss,0.7255245447158813,1.8799422135355972,16.936506646918133,0.001,0.7025730609893799,0.5064621567726135,0.7246570587158203,0.4328118562698364,0.7224719524383545,0.3988575339317322,0.7678319215774536,0.469094842672348,0.7100886702537537,0.3761332333087921
7,0.40518149733543396,0.38125131726264955,deterministic_post_update_meta_query_loss,0.6860539317131042,1.8438912447110547,19.783462624065578,0.001,0.663837194442749,0.4712253212928772,0.6853036284446716,0.4018360674381256,0.6812618374824524,0.3685901463031769,0.7285251021385193,0.4362611770629883,0.6713418960571289,0.34799495339393616
8,0.37345224618911743,0.35033918023109434,deterministic_post_update_meta_query_loss,0.6457526683807373,1.8068568415995685,22.638146612094715,0.001,0.6240189075469971,0.43731778860092163,0.6458693742752075,0.37021204829216003,0.6410630941390991,0.3389323353767395,0.6856459379196167,0.4031624495983124,0.6321660280227661,0.3176365792751312
9,0.34143897891044617,0.31905303001403806,deterministic_post_update_meta_query_loss,0.6018957495689392,1.7683773924229158,25.603717514080927,0.001,0.5800422430038452,0.4023648202419281,0.6004905104637146,0.3377838134765625,0.5964189767837524,0.30834102630615234,0.6419870257377625,0.3696756958961487,0.5905399322509766,0.28902947902679443
10,0.30904579162597656,0.2873293399810791,deterministic_post_update_meta_query_loss,0.5596303939819336,1.7274365524216884,28.45824263896793,0.001,0.5404225587844849,0.3657541871070862,0.5583765506744385,0.3064202070236206,0.5574579834938049,0.2774616777896881,0.5953460931777954,0.33566713333129883,0.5465489625930786,0.25992581248283386
