step,loss,nll,kl,consistency_loss,consistency_weight,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
13,1.8554116487503052,1.8553786277770996,0.01270903181284666,0.0,0.0,0.0026,4.094451427459717,False,220,"MATR_b2c42,MATR_b2c31,MATR_b1c27,MATR_b4c15,MATR_b4c13,MATR_b3c45,MATR_b4c34,MATR_b2c30,MATR_b4c22,MATR_b3c7","MATR_b1c4,MATR_b1c28,MATR_b4c8,MATR_b4c32,MATR_b2c46,MATR_b2c11,MATR_b3c22,MATR_b3c11",428.0,1705.0,,1.8304713051766157
14,1.1533288955688477,1.1533031463623047,0.009185610339045525,0.0,0.0,0.0028,2.891207218170166,False,320,"MATR_b3c13,MATR_b2c30,MATR_b2c43,MATR_b2c44,MATR_b3c38,MATR_b1c28,MATR_b2c14,MATR_b1c18,MATR_b4c23,MATR_b4c26,MATR_b2c4","MATR_b3c3,MATR_b2c40,MATR_b4c37,MATR_b1c31,MATR_b1c20,MATR_b2c25,MATR_b3c14,MATR_b2c38",460.0,1113.0,,1.8998063281178474
15,2.2506775856018066,2.2506392002105713,0.012778516858816147,0.0,0.0,0.003,7.210590362548828,False,340,"MATR_b2c27,MATR_b4c38,MATR_b3c26,MATR_b3c20,MATR_b4c6,MATR_b3c6,MATR_b4c10,MATR_b4c16","MATR_b1c42,MATR_b3c7,MATR_b1c43,MATR_b4c25,MATR_b2c28,MATR_b4c8,MATR_b4c18,MATR_b4c26",453.0,1834.0,,1.9473758502863348
16,1.1497005224227905,1.1496615409851074,0.012179413810372353,0.0,0.0,0.0032,4.313105583190918,False,360,"MATR_b4c5,MATR_b3c22,MATR_b1c16,MATR_b4c37,MATR_b1c19,MATR_b4c18,MATR_b3c19,MATR_b2c22,MATR_b2c27,MATR_b1c33,MATR_b3c44,MATR_b4c9,MATR_b2c26,MATR_b2c12,MATR_b3c28","MATR_b2c43,MATR_b2c40,MATR_b4c34,MATR_b2c32,MATR_b1c26,MATR_b4c16,MATR_b2c10,MATR_b2c4",443.0,909.0,,2.0167223350144923
17,3.5893630981445312,3.5892820358276367,0.02386605739593506,0.0,0.0,0.0034,,True,580,"MATR_b4c35,MATR_b1c31,MATR_b3c33,MATR_b3c31,MATR_b1c44,MATR_b4c38,MATR_b3c9,MATR_b3c44","MATR_b1c4,MATR_b3c14,MATR_b4c37,MATR_b1c1,MATR_b1c17,MATR_b1c26,MATR_b4c42,MATR_b4c16",774.0,2154.0,,2.103398999199271
18,0.8003286719322205,0.8002527952194214,0.021075842902064323,0.0,0.0,0.0036,2.5301878452301025,False,520,"MATR_b1c43,MATR_b1c29,MATR_b3c14,MATR_b1c32,MATR_b3c39,MATR_b4c4,MATR_b1c16,MATR_b1c14,MATR_b3c29,MATR_b4c29,MATR_b4c22,MATR_b3c22,MATR_b3c9,MATR_b3c7","MATR_b3c3,MATR_b3c20,MATR_b4c11,MATR_b4c37,MATR_b4c35,MATR_b4c6,MATR_b1c31,MATR_b3c6",665.0,1113.0,,2.1977102388627827
19,1.6632767915725708,1.6632311344146729,0.012025497853755951,0.0,0.0,0.0038,4.381436824798584,False,500,"MATR_b4c39,MATR_b4c18,MATR_b4c11,MATR_b4c22,MATR_b3c36,MATR_b3c24,MATR_b1c28,MATR_b4c32,MATR_b1c5,MATR_b3c20,MATR_b3c19","MATR_b1c33,MATR_b3c26,MATR_b3c6,MATR_b3c31,MATR_b4c38,MATR_b1c4,MATR_b4c44,MATR_b1c35",665.0,1705.0,,2.2760819899849594
20,1.0830286741256714,1.0830085277557373,0.005038129165768623,0.0,0.0,0.004,0.2710341215133667,False,460,"MATR_b2c14,MATR_b2c10,MATR_b1c19,MATR_b3c45,MATR_b2c38,MATR_b3c33,MATR_b3c35,MATR_b3c24,MATR_b4c34,MATR_b2c28,MATR_b1c18,MATR_b4c15,MATR_b3c36,MATR_b4c44","MATR_b1c36,MATR_b4c37,MATR_b4c33,MATR_b1c27,MATR_b4c18,MATR_b4c6,MATR_b3c17,MATR_b2c33",505.0,1313.0,,2.360056523233652
21,0.7087694406509399,0.7087395787239075,0.007113301195204258,0.0,0.0,0.0042,2.699702739715576,False,520,"MATR_b1c27,MATR_b1c26,MATR_b4c35,MATR_b3c9,MATR_b3c34,MATR_b4c30,MATR_b1c44,MATR_b1c5,MATR_b3c33,MATR_b3c1,MATR_b3c18,MATR_b3c38,MATR_b4c15,MATR_b4c29,MATR_b4c22,MATR_b4c5","MATR_b4c44,MATR_b3c29,MATR_b3c31,MATR_b1c36,MATR_b4c11,MATR_b1c33,MATR_b4c32,MATR_b4c38",704.0,1055.0,,2.463900191243738
22,0.9831051230430603,0.9830714464187622,0.0076507702469825745,0.0,0.0,0.0044,0.6844315528869629,False,60,"MATR_b2c18,MATR_b4c18,MATR_b3c38,MATR_b4c10,MATR_b1c43,MATR_b2c12,MATR_b2c27,MATR_b4c22,MATR_b2c25,MATR_b1c33,MATR_b4c27,MATR_b1c27,MATR_b2c30,MATR_b1c25,MATR_b1c18","MATR_b4c44,MATR_b1c16,MATR_b3c28,MATR_b4c5,MATR_b2c31,MATR_b3c31,MATR_b3c19,MATR_b4c30",491.0,1152.0,,2.5021755220368505
